gauge_id p_mean pet_mean et_mean aridity p_seasonality asynchronicity frac_snow high_prec_freq high_prec_dur high_prec_timing low_prec_freq low_prec_dur low_prec_timing
10500000 6.51179 3.07323 4.11203 0.47195 0.23414 0.08977 0.00000 3.25000 1.00000 djf 91.50000 2.19952 jja
11400000 5.38941 2.91665 3.45637 0.54118 0.25555 0.11224 0.00000 0.25000 1.00000 djf 46.65000 2.16977 jja
11500000 5.70191 2.92541 3.53560 0.51306 0.20522 0.10914 0.00000 0.10000 1.00000 jja 38.75000 2.08333 jja
12370000 5.19877 3.02499 3.71765 0.58187 0.60494 0.11230 0.00000 9.45000 1.03279 djf 155.80000 2.86924 jja
12500000 5.49805 3.04140 3.84662 0.55318 0.51149 0.11145 0.00000 6.60000 1.02326 djf 130.80000 2.70527 jja
12520000 5.65542 3.06087 3.89811 0.54123 0.49440 0.11054 0.00000 6.10000 1.04274 mam 120.80000 2.65787 jja
12700000 5.81787 3.07879 3.91967 0.52920 0.52884 0.11837 0.00000 3.25000 1.01562 djf 100.15000 2.84517 jja
13150000 6.41323 2.97787 3.73052 0.46433 0.14750 0.11085 0.00000 0.00000 0.00000 nan 20.35000 1.96618 jja
13470000 5.07795 3.07908 3.55272 0.60636 0.65144 0.12874 0.00000 12.95000 1.06148 djf 179.85000 3.28493 jja
13600002 4.89322 3.09220 3.59856 0.63194 0.65575 0.14043 0.00000 9.45000 1.03846 djf 156.35000 3.31601 jja
13710001 5.10046 3.09124 3.73284 0.60607 0.66773 0.12952 0.00000 5.90000 1.02609 djf 127.95000 3.37154 jja
13750000 5.42786 3.10547 3.81651 0.57214 0.61902 0.13338 0.00000 3.35000 1.00000 djf 108.60000 3.23696 jja
13870000 5.52056 3.12519 3.85387 0.56610 0.57175 0.14486 0.00000 2.05000 1.00000 djf 98.25000 3.39378 jja
13880000 5.55522 3.12795 3.86475 0.56306 0.56388 0.14555 0.00000 1.75000 1.00000 djf 95.75000 3.41355 jja
14100000 6.32973 3.00837 3.77217 0.47528 0.20203 0.11886 0.00000 0.00000 0.00000 nan 21.15000 2.07353 jja
14110000 8.53279 3.06426 4.30217 0.35912 -0.37261 0.13868 0.00000 0.90000 1.00000 jja 41.70000 1.75579 djf
14230000 9.81837 2.97093 4.32230 0.30259 -0.26914 0.12715 0.00000 2.45000 1.04255 jja 56.90000 1.61190 djf
14250000 8.97833 3.03108 4.30978 0.33760 -0.30570 0.13010 0.00000 0.65000 1.00000 jja 31.65000 1.65274 djf
14260000 9.50349 2.98663 4.22307 0.31427 -0.28483 0.13400 0.00000 1.95000 1.00000 jja 53.65000 1.91266 djf
14280001 9.46242 2.98801 4.22936 0.31578 -0.27048 0.13053 0.00000 1.65000 1.00000 jja 48.80000 1.87692 djf
14310000 8.95015 2.98206 4.25197 0.33319 -0.16094 0.09945 0.00000 3.90000 1.00000 jja 94.80000 1.64441 jja
14330000 9.07916 3.01794 4.28757 0.33240 -0.26986 0.12491 0.00000 0.35000 1.00000 jja 23.75000 1.79924 djf
14350000 8.92858 3.02776 4.33337 0.33911 -0.04646 0.08918 0.00000 2.30000 1.00000 mam 68.85000 1.44038 jja
14440000 6.01697 3.04423 4.03526 0.50594 -0.55077 0.13458 0.00000 8.55000 1.03012 mam 134.40000 2.56244 djf
14515000 5.69194 3.25310 3.89561 0.57153 -0.62206 0.18762 0.00000 8.10000 1.03846 mam 137.20000 2.81148 djf
14526000 4.98781 3.23919 2.92415 0.64942 -0.90939 0.17905 0.00000 18.40000 1.16088 jja 197.55000 3.82108 djf
14680001 5.61945 3.05247 4.13321 0.54320 -0.62398 0.17560 0.00000 11.95000 1.03463 mam 163.40000 2.85914 djf
15030000 6.55525 3.02733 3.81908 0.46182 0.04393 0.12295 0.00000 0.00000 0.00000 nan 6.10000 1.60526 jja
15130000 3.95258 3.21797 3.18818 0.81414 0.82544 0.19164 0.00000 6.95000 1.04511 djf 157.50000 4.41176 jja
15400000 4.12762 3.03224 3.01028 0.73462 0.80765 0.17063 0.00000 2.45000 1.06522 djf 124.45000 4.10726 jja
15550000 5.72703 3.19020 3.72504 0.55704 0.33931 0.20555 0.00000 7.55000 1.01342 djf 137.85000 3.18360 jja
15700000 4.38349 3.05600 3.11340 0.69716 0.78400 0.17580 0.00000 0.95000 1.05556 djf 108.05000 4.13985 jja
15800000 6.05082 3.10724 3.78911 0.51352 -0.08711 0.22197 0.00000 3.50000 1.00000 djf 115.60000 4.20364 jja
15910000 6.24857 3.11900 3.87893 0.49915 -0.48013 0.22650 0.00000 4.95000 1.00000 djf 122.70000 2.93541 jja
15930000 6.63502 3.07472 3.82639 0.46341 -0.31307 0.22360 0.00000 5.20000 1.00971 djf 129.40000 2.68465 jja
17050001 5.98117 3.04733 3.65489 0.50949 0.17439 0.14878 0.00000 0.00000 0.00000 nan 5.30000 1.60606 jja
17090000 5.63451 3.23278 4.28535 0.57375 -0.83847 0.26105 0.00000 12.30000 1.10811 mam 153.25000 2.91350 son
17200000 4.89851 3.28497 2.76866 0.67061 0.97330 0.20237 0.00000 11.85000 1.19697 djf 181.75000 5.00689 jja
17345000 6.29300 3.15189 3.58430 0.50086 -0.21056 0.24530 0.00000 8.80000 1.07317 djf 168.90000 3.78700 jja
17350000 6.00854 3.14312 3.46734 0.52311 0.01465 0.24410 0.00000 10.05000 1.08065 djf 168.80000 3.99527 jja
18200000 5.14721 3.18853 4.16010 0.61947 -0.90695 0.27298 0.00000 13.80000 1.13580 mam 167.45000 3.03902 son
18850000 5.40926 3.11404 3.48536 0.57569 -0.30785 0.23034 0.00000 1.75000 1.09375 djf 99.95000 5.04798 jja
19150000 5.93668 3.21015 4.33831 0.54073 -0.76154 0.25329 0.00000 6.95000 1.07752 mam 132.75000 2.94020 son
20200000 4.48439 3.05560 2.61349 0.68139 0.60604 0.15750 0.00000 16.15000 1.25194 djf 211.85000 5.25682 jja
20250000 4.39034 3.07059 2.63605 0.69940 0.68769 0.16107 0.00000 14.55000 1.22269 djf 200.00000 5.58659 jja
21500000 3.56126 3.25863 2.53345 0.91502 1.02266 0.18458 0.00000 16.55000 1.22140 djf 217.70000 7.69258 jja
21750000 3.71648 3.18989 2.46659 0.85831 0.00388 0.23753 0.00000 18.95000 1.19937 djf 236.85000 6.70014 jja
22050001 3.91807 3.25277 2.60828 0.83020 0.84374 0.19717 0.00000 10.65000 1.20339 djf 187.65000 8.60780 jja
22500000 4.08362 3.30205 2.64271 0.80861 0.64467 0.21462 0.00000 9.20000 1.19481 djf 178.40000 8.53589 jja
22680000 4.19154 3.46519 2.42262 0.82671 -0.20983 0.28478 0.00000 13.35000 1.13617 djf 203.05000 6.98967 jja
22700000 4.21337 3.47097 2.44063 0.82380 -0.20881 0.28478 0.00000 13.15000 1.14348 djf 201.70000 7.07719 jja
22850000 4.53338 3.54189 2.70732 0.78129 -0.57776 0.28873 0.00000 11.90000 1.11215 djf 196.50000 5.91867 jja
22900000 4.37235 3.48704 2.62726 0.79752 -0.34890 0.28295 0.00000 10.05000 1.09239 djf 188.35000 7.20268 jja
23100000 4.17203 3.34051 2.65564 0.80069 0.42456 0.23031 0.00000 7.35000 1.16667 djf 171.05000 8.88571 jja
23150000 4.57224 3.47293 2.80551 0.75957 -0.75712 0.29370 0.00000 10.80000 1.09645 djf 195.00000 5.05181 jja
23220000 4.00277 3.43935 2.55485 0.85924 -0.66151 0.31530 0.00000 13.30000 1.10833 djf 204.70000 5.59290 jja
23230000 4.46923 3.42564 2.83016 0.76649 -0.74548 0.30530 0.00000 10.05000 1.08649 djf 194.75000 5.52482 jja
23250000 4.32440 3.43582 2.73277 0.79452 -0.75116 0.30910 0.00000 10.55000 1.07653 djf 189.75000 5.82055 jja
23300000 4.20605 3.35167 2.67157 0.79687 0.26174 0.23948 0.00000 6.20000 1.14815 djf 165.65000 8.76455 jja
23600000 4.20282 3.35413 2.67469 0.79807 0.18917 0.24343 0.00000 5.75000 1.13861 djf 162.35000 8.65867 jja
23700000 4.19469 3.35408 2.67617 0.79960 0.16039 0.24551 0.00000 5.70000 1.14000 djf 161.05000 8.52116 jja
23710000 4.19467 3.35408 2.67617 0.79960 0.16034 0.24551 0.00000 5.70000 1.14000 djf 161.10000 8.52381 jja
24050000 4.31838 3.05056 2.73812 0.70641 0.91943 0.14080 0.00000 13.75000 1.18534 djf 198.45000 4.55683 jja
24200000 4.14053 3.11908 2.74367 0.75330 0.96410 0.14650 0.00000 12.05000 1.16990 djf 190.80000 5.43590 jja
24500000 4.20797 3.24914 2.86070 0.77214 1.01913 0.16000 0.00000 13.55000 1.23182 djf 197.75000 5.07051 jja
