gauge_id gauge_name gauge_region gauge_lat gauge_lon area_ana area_gsim area_gsim_quality
10100000 tabatinga amazon -4.23470 -69.94470 874000.00000 883138.50000 high
10200000 palmeiras_do_javari amazon -5.13890 -72.81360 16500.00000 16558.04000 high
10300000 santa_maria/flores amazon -4.53970 -71.40030 25200.00000 24565.50000 high
10500000 estirao_do_repouso amazon -4.34080 -70.90560 61400.00000 61581.51000 high
10800000 seringal_do_itui amazon -4.73330 -70.30000 nan 19289.80000 high
10900000 ladario amazon -4.73330 -70.30000 nan 19289.80000 high
10910000 ladario_-_jusante amazon -4.58360 -70.26440 36900.00000 36995.61000 high
11400000 sao_paulo_de_olivenca amazon -3.45690 -68.91190 1010000.00000 1018679.00000 high
11444900 ipiranga_novo amazon -2.92970 -69.69310 106000.00000 106103.40000 high
11450000 ipiranga_velho amazon -2.94170 -69.52280 nan 106728.40000 high
11500000 santo_antonio_do_ica amazon -3.10170 -67.93560 1130000.00000 1144059.00000 high
12100000 colocacao_caxias_novo amazon -4.65140 -68.32440 10700.00000 0.42590 caution
12150000 conceicao_(ex._ilha_da_nova_sorte) amazon -4.89670 -68.66330 17600.00000 17630.25000 high
12180000 tanibuca amazon -4.74500 -68.13530 12700.00000 12670.58000 high
12200000 barreira_alta amazon -4.22110 -67.89250 nan 35569.56000 high
12230000 barreira_branca amazon -4.32560 -67.34440 nan 10903.83000 high
12240000 porto_seguro amazon -3.33720 -67.49170 64400.00000 64459.76000 high
12351000 fonte_boa amazon -2.49140 -66.06170 1220000.00000 nan nan
12360000 foz_do_breu amazon -9.40970 -72.71580 7690.00000 7774.35700 high
12370000 thaumaturgo amazon -8.94580 -72.78440 16100.00000 16184.38000 high
12390000 porto_walter amazon -8.26720 -72.74110 22200.00000 22316.15000 high
12400000 serra_do_moa amazon -7.44830 -73.66440 1030.00000 999.63290 high
12420000 base_sao_salvador amazon -7.41250 -73.19140 5720.00000 5535.21100 high
12500000 cruzeiro_do_sul amazon -7.63330 -72.66030 37800.00000 38019.14000 high
12510000 seringal_bom_futuro amazon -7.84920 -72.05470 3400.00000 3439.88300 high
12520000 ipixuna amazon -7.05560 -71.68920 56100.00000 55632.32000 high
12530000 fazenda_paranacre amazon -7.95110 -71.48220 2070.00000 2053.16900 high
12540000 seringal_santo_amaro amazon -7.26670 -70.98330 7350.00000 7323.00500 high
12550000 eirunepe_-_montante amazon -6.68440 -69.88110 77300.00000 76952.00000 high
12560000 seringal_sao_luiz amazon -8.61810 -71.55170 nan 5294.95700 high
12600001 tarauaca_-_jusante amazon -8.14580 -70.71530 15600.00000 15714.67000 high
12640000 seringal_santa_helena amazon -8.68580 -70.55110 12800.00000 12971.83000 high
12650000 feijo amazon -8.16360 -70.35640 17000.00000 17300.21000 high
12680000 envira amazon -7.42810 -70.02250 49700.00000 50005.83000 high
12700000 santos_dumont amazon -6.44030 -68.24610 144000.00000 143941.20000 high
12840000 gaviao amazon -4.83920 -66.85060 164000.00000 164611.40000 high
12842000 forte_das_gracas amazon -3.64140 -66.10310 174000.00000 nan nan
12845000 vila_bittencourt amazon -1.39470 -69.42830 206000.00000 149153.70000 low
12850000 acanaui amazon -1.82110 -66.60920 249000.00000 248135.90000 high
