gauge_id sand_perc silt_perc clay_perc org_carbon_content bedrock_depth water_table_depth
10500000 36.91360 29.66130 33.43460 40.34850 1876.13180 42.69990
11400000 41.16410 27.73850 31.10310 48.60370 2020.14740 332.12800
11500000 41.77720 27.44380 30.78430 49.03890 2019.43160 256.69820
12370000 35.48390 30.21760 34.29280 7.19550 2306.76250 340.80160
12500000 35.11030 30.46310 34.42310 9.66340 2485.38210 215.70230
12520000 35.58630 30.30370 34.10950 11.18580 2594.99570 176.79960
12700000 34.87310 31.22320 33.90370 11.22730 2546.53490 178.89420
13150000 41.56960 27.65930 30.77620 39.85750 2088.23940 132.90090
13470000 38.85790 28.61520 32.54110 7.12840 2522.73440 499.70360
13600002 39.03520 28.46190 32.51510 7.03650 2462.61290 518.45950
13710001 36.46320 30.38700 33.15720 8.15670 2444.00530 449.20150
13750000 35.82940 30.93800 33.23930 11.50690 2427.86160 320.99740
13870000 36.26710 30.56820 33.17270 14.81510 2526.06420 209.69930
13880000 36.20740 30.68390 33.11650 15.01310 2526.34110 193.89990
14100000 40.28470 28.52300 31.19790 35.73590 2143.04160 115.50050
14110000 52.63910 19.94200 27.42260 24.45670 1755.73440 82.50000
14230000 56.06140 20.58350 23.36260 15.00530 2047.71760 7.20000
14250000 53.86480 20.53300 25.60760 21.79340 1856.95860 39.39980
14260000 53.02040 19.53410 27.44670 16.55330 2078.94960 5.29990
14280001 53.24520 19.73870 27.01800 17.23270 2102.57950 8.30000
14310000 52.03470 20.68800 27.28800 18.06960 2005.21280 0.00000
14330000 53.71060 20.62350 25.67130 20.88020 1951.58160 26.30000
14350000 54.83530 24.35300 20.82150 27.44060 2362.12760 0.00000
14440000 43.19810 19.25310 37.56550 13.21620 2182.51910 128.49770
14515000 42.40190 21.16080 36.44160 17.25320 2361.67600 690.82640
14526000 50.83000 18.43780 30.73170 11.74290 3358.39570 185.10090
14680001 40.43190 19.44250 40.14560 15.25150 2083.74600 872.69470
15030000 42.03870 26.93350 31.03320 32.48730 2136.98760 88.20000
15130000 55.32830 16.55510 28.11820 9.32670 2472.14980 1128.23840
15400000 44.62770 24.66450 30.71430 15.97920 2472.74610 426.17480
15550000 41.89310 19.58430 38.51740 10.56460 2352.73630 489.89350
15700000 44.44690 24.37460 31.18400 15.50160 2460.10050 402.50920
15800000 43.85070 20.65570 35.48850 11.05790 1861.14430 735.89650
