year month day streamflow_mm qual_control_by_ana qual_flag
1980 01 01 2.809991 1 1
1980 01 02 8.435141 1 1
1980 01 03 6.466183 1 1
1980 01 04 3.938691 1 1
1980 01 05 2.904846 1 1
1980 01 06 2.401880 1 1
1980 01 07 2.624674 1 1
1980 01 08 2.188908 1 1
1980 01 09 2.358459 1 1
1980 01 10 2.025302 1 1
1980 01 11 2.490016 1 1
1980 01 12 4.107208 1 1
1980 01 13 5.512203 1 1
1980 01 14 6.395365 1 1
1980 01 15 3.198975 1 1
1980 01 16 3.148833 1 1
1980 01 17 6.897814 1 1
1980 01 18 6.325322 1 1
1980 01 19 3.148833 1 1
1980 01 20 2.952920 1 1
1980 01 21 2.857289 1 1
1980 01 22 4.221189 1 1
1980 01 23 5.710184 1 1
1980 01 24 2.809991 1 1
1980 01 25 2.762951 1 1
1980 01 26 2.762951 1 1
1980 01 27 6.680189 1 1
1980 01 28 4.753878 1 1
1980 01 29 5.446812 1 1
1980 01 30 3.099209 1 1
1980 01 31 2.147296 1 1
1980 02 01 2.188908 1 1
1980 02 02 1.945955 1 1
1980 02 03 2.272908 1 1
1980 02 04 2.230779 1 1
1980 02 05 2.065622 1 1
1980 02 06 1.945955 1 1
1980 02 07 1.945955 1 1
1980 02 08 1.754176 1 1
1980 02 09 1.754176 1 1
1980 02 10 1.985499 1 1
1980 02 11 1.829647 1 1
1980 02 12 2.401880 1 1
1980 02 13 1.537069 1 1
1980 02 14 1.607887 1 1
1980 02 15 1.868158 1 1
1980 02 16 2.358459 1 1
1980 02 17 3.612513 1 1
1980 02 18 2.315554 1 1
1980 02 19 2.106201 1 1
1980 02 20 3.001252 1 1
1980 02 21 2.106201 1 1
1980 02 22 2.147296 1 1
1980 02 23 1.537069 1 1
1980 02 24 1.572220 1 1
1980 02 25 1.985499 1 1
1980 02 26 1.467801 1 1
1980 02 27 1.400085 1 1
1980 02 28 1.716958 1 1
1980 02 29 1.333918 1 1
1980 03 01 1.306263 1 1
1980 03 02 1.467801 1 1
1980 03 03 1.467801 1 1
1980 03 04 1.400085 1 1
1980 03 05 1.467801 1 1
1980 03 06 1.333918 1 1
1980 03 07 1.467801 1 1
1980 03 08 1.537069 1 1
1980 03 09 1.333918 1 1
1980 03 10 1.333918 1 1
1980 03 11 1.306263 1 1
1980 03 12 1.279900 1 1
1980 03 13 1.333918 1 1
1980 03 14 1.279900 1 1
1980 03 15 1.279900 1 1
1980 03 16 1.227949 1 1
1980 03 17 1.227949 1 1
1980 03 18 1.253795 1 1
1980 03 19 1.253795 1 1
1980 03 20 1.306263 1 1
