year month day precipitation_mswep
1980 01 01 5.095
1980 01 02 0.000
1980 01 03 0.000
1980 01 04 0.000
1980 01 05 0.158
1980 01 06 0.374
1980 01 07 19.075
1980 01 08 17.872
1980 01 09 5.246
1980 01 10 5.788
1980 01 11 2.665
1980 01 12 25.139
1980 01 13 13.024
1980 01 14 6.524
1980 01 15 25.531
1980 01 16 43.921
1980 01 17 7.371
1980 01 18 8.299
1980 01 19 4.219
1980 01 20 9.338
1980 01 21 8.537
1980 01 22 14.997
1980 01 23 8.153
1980 01 24 0.378
1980 01 25 2.948
1980 01 26 3.140
1980 01 27 34.627
1980 01 28 2.653
1980 01 29 5.713
1980 01 30 34.101
1980 01 31 8.816
1980 02 01 9.572
1980 02 02 29.698
1980 02 03 4.508
1980 02 04 0.000
1980 02 05 0.000
1980 02 06 0.000
1980 02 07 0.125
1980 02 08 2.251
1980 02 09 42.270
1980 02 10 1.195
1980 02 11 15.404
1980 02 12 16.052
1980 02 13 6.792
1980 02 14 57.849
1980 02 15 4.000
1980 02 16 1.482
1980 02 17 2.267
1980 02 18 61.814
1980 02 19 1.127
1980 02 20 0.000
1980 02 21 0.052
1980 02 22 1.414
1980 02 23 9.052
1980 02 24 18.827
1980 02 25 0.720
1980 02 26 9.214
1980 02 27 23.127
1980 02 28 25.551
1980 02 29 27.486
1980 03 01 0.187
1980 03 02 8.745
1980 03 03 0.017
1980 03 04 3.686
1980 03 05 6.895
1980 03 06 0.581
1980 03 07 0.000
1980 03 08 0.250
1980 03 09 1.269
1980 03 10 0.370
1980 03 11 0.000
1980 03 12 0.000
1980 03 13 0.117
1980 03 14 2.837
1980 03 15 3.022
1980 03 16 14.502
1980 03 17 6.741
1980 03 18 0.084
1980 03 19 0.000
1980 03 20 0.000
1980 03 21 0.000
1980 03 22 0.000
1980 03 23 0.000
1980 03 24 0.000
1980 03 25 0.000
1980 03 26 0.000
1980 03 27 0.000
1980 03 28 0.000
1980 03 29 0.000
1980 03 30 3.009
1980 03 31 5.011
1980 04 01 11.465
1980 04 02 24.832
1980 04 03 22.709
1980 04 04 12.044
1980 04 05 8.283
1980 04 06 2.174
1980 04 07 0.000
1980 04 08 3.705
