year month day precipitation_cpc
1980 01 01 0.379
1980 01 02 0.106
1980 01 03 0.000
1980 01 04 0.000
1980 01 05 0.113
1980 01 06 4.524
1980 01 07 4.158
1980 01 08 3.388
1980 01 09 1.638
1980 01 10 0.594
1980 01 11 0.000
1980 01 12 0.086
1980 01 13 0.171
1980 01 14 0.000
1980 01 15 0.000
1980 01 16 0.000
1980 01 17 3.490
1980 01 18 4.662
1980 01 19 0.981
1980 01 20 0.438
1980 01 21 0.091
1980 01 22 0.000
1980 01 23 0.408
1980 01 24 1.874
1980 01 25 0.000
1980 01 26 0.000
1980 01 27 0.151
1980 01 28 2.193
1980 01 29 0.072
1980 01 30 0.929
1980 01 31 11.640
1980 02 01 14.649
1980 02 02 0.310
1980 02 03 0.000
1980 02 04 1.220
1980 02 05 0.468
1980 02 06 2.556
1980 02 07 0.000
1980 02 08 0.000
1980 02 09 0.095
1980 02 10 7.446
1980 02 11 17.059
1980 02 12 2.345
1980 02 13 1.984
1980 02 14 0.000
1980 02 15 1.247
1980 02 16 9.386
1980 02 17 13.312
1980 02 18 1.385
1980 02 19 0.047
1980 02 20 0.159
1980 02 21 0.615
1980 02 22 1.417
1980 02 23 0.272
1980 02 24 2.634
1980 02 25 14.308
1980 02 26 0.383
1980 02 27 1.077
1980 02 28 0.328
1980 02 29 1.678
1980 03 01 7.821
1980 03 02 18.365
1980 03 03 7.577
1980 03 04 11.698
1980 03 05 10.242
1980 03 06 14.564
1980 03 07 14.412
1980 03 08 5.972
1980 03 09 0.122
1980 03 10 5.106
1980 03 11 10.518
1980 03 12 17.055
1980 03 13 12.550
1980 03 14 0.089
1980 03 15 0.343
1980 03 16 0.000
1980 03 17 0.000
1980 03 18 0.121
1980 03 19 0.000
1980 03 20 0.025
1980 03 21 0.012
1980 03 22 0.000
1980 03 23 0.020
1980 03 24 0.200
1980 03 25 8.728
1980 03 26 17.406
1980 03 27 17.264
1980 03 28 77.305
1980 03 29 40.620
1980 03 30 0.211
1980 03 31 0.050
1980 04 01 0.000
1980 04 02 0.000
1980 04 03 0.000
1980 04 04 0.000
1980 04 05 0.000
1980 04 06 0.000
1980 04 07 3.381
1980 04 08 1.041
1980 04 09 9.104
1980 04 10 2.510
1980 04 11 15.501
1980 04 12 59.461
1980 04 13 10.303
1980 04 14 0.012
1980 04 15 0.000
1980 04 16 0.000
1980 04 17 2.130
1980 04 18 17.780
1980 04 19 54.647
1980 04 20 28.679
1980 04 21 6.145
1980 04 22 0.000
1980 04 23 0.000
1980 04 24 0.000
1980 04 25 0.000
1980 04 26 0.000
1980 04 27 0.000
1980 04 28 0.000
1980 04 29 0.000
1980 04 30 0.013
1980 05 01 0.682
1980 05 02 0.219
1980 05 03 0.000
1980 05 04 0.000
1980 05 05 0.000
1980 05 06 0.000
1980 05 07 0.051
1980 05 08 0.478
1980 05 09 2.107
1980 05 10 0.537
1980 05 11 1.745
1980 05 12 0.000
1980 05 13 0.475
1980 05 14 0.000
1980 05 15 0.929
1980 05 16 5.016
1980 05 17 7.178
1980 05 18 3.324
1980 05 19 3.098
1980 05 20 2.855
1980 05 21 2.310
1980 05 22 3.760
1980 05 23 0.000
1980 05 24 0.000
1980 05 25 0.000
1980 05 26 0.133
1980 05 27 0.000
1980 05 28 0.000
1980 05 29 4.072
1980 05 30 27.024
1980 05 31 9.875
1980 06 01 8.008
1980 06 02 0.000
1980 06 03 0.000
1980 06 04 0.000
1980 06 05 0.115
1980 06 06 0.012
1980 06 07 0.000
1980 06 08 0.105
1980 06 09 0.000
1980 06 10 2.977
1980 06 11 23.869
1980 06 12 19.729
1980 06 13 23.283
1980 06 14 3.703
1980 06 15 0.000
1980 06 16 0.000
1980 06 17 0.000
1980 06 18 1.847
