year month day evapotransp_gleam
1980 01 01 2.166
1980 01 02 1.980
1980 01 03 3.062
1980 01 04 3.484
1980 01 05 4.514
1980 01 06 4.681
1980 01 07 4.235
1980 01 08 3.594
1980 01 09 3.176
1980 01 10 3.722
1980 01 11 3.571
1980 01 12 3.406
1980 01 13 2.222
1980 01 14 3.217
1980 01 15 3.033
1980 01 16 1.628
1980 01 17 2.466
1980 01 18 3.118
1980 01 19 4.871
1980 01 20 4.589
1980 01 21 4.937
1980 01 22 3.567
1980 01 23 4.955
1980 01 24 4.439
1980 01 25 3.951
1980 01 26 4.045
1980 01 27 3.130
1980 01 28 3.382
1980 01 29 3.192
1980 01 30 4.309
1980 01 31 4.562
1980 02 01 3.369
1980 02 02 3.415
1980 02 03 3.597
1980 02 04 4.268
1980 02 05 4.735
1980 02 06 4.729
1980 02 07 5.147
1980 02 08 4.943
1980 02 09 4.794
1980 02 10 4.053
1980 02 11 4.311
1980 02 12 4.400
1980 02 13 2.507
1980 02 14 3.529
1980 02 15 4.502
1980 02 16 2.475
1980 02 17 2.745
1980 02 18 3.360
1980 02 19 3.991
1980 02 20 4.095
1980 02 21 3.765
1980 02 22 4.155
1980 02 23 4.151
1980 02 24 3.924
1980 02 25 4.718
1980 02 26 4.383
1980 02 27 4.113
1980 02 28 4.168
1980 02 29 4.356
1980 03 01 4.480
1980 03 02 3.621
1980 03 03 3.671
1980 03 04 3.538
1980 03 05 3.712
1980 03 06 4.112
1980 03 07 3.579
1980 03 08 3.894
1980 03 09 4.467
1980 03 10 4.337
1980 03 11 4.995
1980 03 12 4.013
1980 03 13 3.560
1980 03 14 4.640
1980 03 15 3.190
1980 03 16 4.432
1980 03 17 3.049
1980 03 18 2.711
1980 03 19 3.442
1980 03 20 3.713
1980 03 21 3.632
1980 03 22 3.724
1980 03 23 3.557
1980 03 24 3.256
1980 03 25 3.704
1980 03 26 3.534
1980 03 27 3.159
1980 03 28 3.383
1980 03 29 2.850
1980 03 30 3.606
1980 03 31 3.077
1980 04 01 2.287
1980 04 02 3.053
1980 04 03 2.699
1980 04 04 3.336
1980 04 05 4.327
1980 04 06 2.165
1980 04 07 2.453
1980 04 08 3.140
1980 04 09 3.091
1980 04 10 3.277
1980 04 11 3.081
1980 04 12 3.416
1980 04 13 4.159
1980 04 14 3.030
1980 04 15 3.172
1980 04 16 1.880
1980 04 17 3.395
1980 04 18 2.660
1980 04 19 2.918
1980 04 20 2.631
1980 04 21 2.114
1980 04 22 2.157
1980 04 23 2.315
1980 04 24 1.743
1980 04 25 1.842
1980 04 26 1.844
1980 04 27 1.850
1980 04 28 2.507
1980 04 29 1.709
1980 04 30 2.189
1980 05 01 2.242
1980 05 02 1.350
1980 05 03 2.194
1980 05 04 2.466
1980 05 05 1.821
1980 05 06 2.056
1980 05 07 1.937
1980 05 08 2.335
1980 05 09 2.157
1980 05 10 2.152
1980 05 11 2.142
1980 05 12 2.104
1980 05 13 1.614
1980 05 14 1.598
1980 05 15 1.450
1980 05 16 2.021
1980 05 17 1.994
1980 05 18 1.701
1980 05 19 1.680
1980 05 20 1.607
1980 05 21 1.705
1980 05 22 2.242
1980 05 23 1.945
1980 05 24 1.369
1980 05 25 1.552
1980 05 26 1.494
1980 05 27 1.503
1980 05 28 1.548
1980 05 29 1.654
1980 05 30 1.857
1980 05 31 1.694
1980 06 01 1.247
1980 06 02 1.462
1980 06 03 1.993
1980 06 04 1.159
1980 06 05 0.469
1980 06 06 1.051
1980 06 07 1.124
1980 06 08 0.960
1980 06 09 1.516
1980 06 10 1.472
1980 06 11 1.489
1980 06 12 1.420
1980 06 13 1.542
1980 06 14 0.433
1980 06 15 1.424
1980 06 16 0.751
1980 06 17 1.421
1980 06 18 1.203
1980 06 19 1.525
1980 06 20 0.985
1980 06 21 1.326
1980 06 22 1.195
1980 06 23 0.978
1980 06 24 1.421
1980 06 25 1.647
1980 06 26 4.264
1980 06 27 0.717
1980 06 28 0.854
1980 06 29 1.184
1980 06 30 1.458
1980 07 01 1.683
1980 07 02 1.530
1980 07 03 0.986
1980 07 04 0.975
1980 07 05 1.107
1980 07 06 0.761
1980 07 07 0.889
1980 07 08 1.675
1980 07 09 1.487
1980 07 10 1.540
1980 07 11 1.876
1980 07 12 1.636
1980 07 13 1.656
1980 07 14 1.446
1980 07 15 0.271
1980 07 16 0.745
1980 07 17 1.577
1980 07 18 1.309
1980 07 19 1.473
1980 07 20 1.778
1980 07 21 1.784
1980 07 22 1.753
1980 07 23 1.684
1980 07 24 0.800
1980 07 25 1.823
1980 07 26 1.743
1980 07 27 1.805
1980 07 28 1.911
1980 07 29 1.868
1980 07 30 1.947
1980 07 31 0.201
1980 08 01 1.326
1980 08 02 1.878
1980 08 03 1.827
1980 08 04 2.410
1980 08 05 1.777
1980 08 06 1.742
1980 08 07 1.997
1980 08 08 1.948
1980 08 09 2.147
1980 08 10 1.427
1980 08 11 1.935
1980 08 12 1.990
1980 08 13 1.198
1980 08 14 1.563
1980 08 15 1.870
1980 08 16 3.336
1980 08 17 2.418
1980 08 18 3.100
1980 08 19 2.458
1980 08 20 2.368
1980 08 21 2.408
1980 08 22 2.399
1980 08 23 2.498
1980 08 24 2.824
1980 08 25 3.309
1980 08 26 2.361
1980 08 27 1.361
1980 08 28 0.876
1980 08 29 1.897
1980 08 30 1.426
1980 08 31 2.341
1980 09 01 2.650
1980 09 02 2.708
1980 09 03 2.744
1980 09 04 2.331
1980 09 05 1.089
1980 09 06 0.892
1980 09 07 2.028
1980 09 08 2.802
1980 09 09 2.816
1980 09 10 1.840
1980 09 11 1.919
1980 09 12 2.018
1980 09 13 1.732
1980 09 14 2.380
1980 09 15 2.566
1980 09 16 1.943
1980 09 17 0.825
1980 09 18 2.273
1980 09 19 4.345
1980 09 20 4.325
1980 09 21 2.473
1980 09 22 1.737
1980 09 23 1.992
1980 09 24 1.038
1980 09 25 1.340
1980 09 26 1.801
1980 09 27 2.922
1980 09 28 1.518
1980 09 29 2.305
1980 09 30 2.320
1980 10 01 2.641
1980 10 02 2.505
1980 10 03 3.067
1980 10 04 3.110
1980 10 05 2.737
1980 10 06 1.438
1980 10 07 1.113
1980 10 08 2.257
1980 10 09 4.315
1980 10 10 1.990
1980 10 11 2.035
1980 10 12 2.453
1980 10 13 2.306
1980 10 14 2.093
1980 10 15 2.757
1980 10 16 3.223
1980 10 17 3.152
1980 10 18 3.899
1980 10 19 3.525
1980 10 20 4.514
1980 10 21 3.821
1980 10 22 4.145
1980 10 23 3.083
1980 10 24 1.404
1980 10 25 2.203
1980 10 26 3.282
1980 10 27 3.701
1980 10 28 3.783
1980 10 29 4.259
1980 10 30 4.466
1980 10 31 2.840
1980 11 01 2.163
1980 11 02 1.241
1980 11 03 1.904
1980 11 04 2.340
1980 11 05 3.614
1980 11 06 3.248
1980 11 07 3.646
1980 11 08 2.312
1980 11 09 2.927
1980 11 10 3.213
1980 11 11 4.533
1980 11 12 1.462
1980 11 13 1.684
1980 11 14 2.244
1980 11 15 3.196
1980 11 16 3.540
1980 11 17 3.360
1980 11 18 3.521
1980 11 19 4.067
1980 11 20 3.899
1980 11 21 3.801
1980 11 22 4.168
1980 11 23 4.255
1980 11 24 2.091
1980 11 25 3.070
1980 11 26 2.649
1980 11 27 2.010
1980 11 28 2.934
1980 11 29 3.440
1980 11 30 3.598
1980 12 01 2.157
1980 12 02 2.228
1980 12 03 2.804
1980 12 04 4.777
1980 12 05 4.640
1980 12 06 5.049
1980 12 07 4.198
1980 12 08 3.337
1980 12 09 4.582
1980 12 10 4.132
1980 12 11 5.065
1980 12 12 4.853
1980 12 13 3.716
1980 12 14 3.420
1980 12 15 3.829
1980 12 16 4.855
1980 12 17 3.916
1980 12 18 4.648
1980 12 19 4.434
1980 12 20 4.826
1980 12 21 4.476
1980 12 22 4.920
1980 12 23 5.012
1980 12 24 4.788
1980 12 25 4.270
1980 12 26 3.620
1980 12 27 4.260
1980 12 28 4.756
1980 12 29 3.992
1980 12 30 4.381
1980 12 31 2.747
1981 01 01 2.595
1981 01 02 3.959
1981 01 03 4.526
1981 01 04 4.623
1981 01 05 5.018
1981 01 06 4.885
1981 01 07 3.810
1981 01 08 3.499
1981 01 09 3.614
1981 01 10 3.389
1981 01 11 2.214
1981 01 12 1.513
1981 01 13 3.456
1981 01 14 3.015
1981 01 15 2.927
1981 01 16 4.011
1981 01 17 4.797
1981 01 18 4.696
1981 01 19 4.052
1981 01 20 4.268
1981 01 21 3.147
1981 01 22 1.766
1981 01 23 2.625
1981 01 24 4.252
1981 01 25 4.635
1981 01 26 5.298
1981 01 27 4.862
1981 01 28 4.148
1981 01 29 4.435
1981 01 30 4.460
1981 01 31 3.848
1981 02 01 4.676
1981 02 02 4.504
1981 02 03 5.091
1981 02 04 4.878
1981 02 05 4.866
1981 02 06 4.297
1981 02 07 3.886
1981 02 08 3.688
1981 02 09 4.333
1981 02 10 3.658
1981 02 11 3.402
1981 02 12 4.330
1981 02 13 4.001
1981 02 14 4.294
1981 02 15 4.101
1981 02 16 4.116
1981 02 17 3.769
1981 02 18 3.873
1981 02 19 4.297
1981 02 20 3.578
1981 02 21 4.134
1981 02 22 4.136
1981 02 23 4.412
1981 02 24 3.808
1981 02 25 4.037
1981 02 26 4.244
1981 02 27 3.956
1981 02 28 4.391
1981 03 01 3.829
1981 03 02 4.227
1981 03 03 3.981
1981 03 04 4.323
1981 03 05 4.547
1981 03 06 3.851
1981 03 07 4.176
1981 03 08 3.262
1981 03 09 2.725
1981 03 10 4.264
1981 03 11 3.401
1981 03 12 4.335
1981 03 13 3.909
1981 03 14 3.207
1981 03 15 3.854
1981 03 16 4.419
1981 03 17 3.575
1981 03 18 2.432
1981 03 19 2.179
1981 03 20 2.392
1981 03 21 1.911
1981 03 22 2.782
1981 03 23 2.576
1981 03 24 3.120
1981 03 25 2.436
1981 03 26 2.922
1981 03 27 2.234
1981 03 28 1.377
1981 03 29 1.623
1981 03 30 3.010
1981 03 31 3.426
1981 04 01 3.113
1981 04 02 2.756
1981 04 03 2.527
1981 04 04 2.710
1981 04 05 3.443
1981 04 06 2.685
1981 04 07 3.041
1981 04 08 3.358
1981 04 09 2.440
1981 04 10 2.392
1981 04 11 2.085
1981 04 12 2.580
1981 04 13 1.396
1981 04 14 2.114
1981 04 15 3.040
1981 04 16 2.961
1981 04 17 2.164
1981 04 18 1.856
1981 04 19 1.876
1981 04 20 1.730
1981 04 21 2.078
1981 04 22 1.726
1981 04 23 2.487
1981 04 24 3.795
1981 04 25 2.047
1981 04 26 2.247
1981 04 27 2.274
1981 04 28 3.691
1981 04 29 3.284
1981 04 30 1.768
1981 05 01 0.987
1981 05 02 1.449
1981 05 03 1.811
1981 05 04 2.142
1981 05 05 1.870
1981 05 06 2.314
1981 05 07 1.827
1981 05 08 2.272
1981 05 09 1.415
1981 05 10 1.732
1981 05 11 1.910
1981 05 12 2.102
1981 05 13 1.908
1981 05 14 1.992
1981 05 15 2.080
1981 05 16 2.173
1981 05 17 2.033
1981 05 18 2.203
1981 05 19 1.672
1981 05 20 1.979
1981 05 21 1.535
1981 05 22 1.138
1981 05 23 1.672
1981 05 24 1.427
1981 05 25 1.522
1981 05 26 1.607
1981 05 27 1.628
1981 05 28 2.348
1981 05 29 1.551
1981 05 30 1.088
1981 05 31 1.188
1981 06 01 1.453
1981 06 02 1.203
1981 06 03 1.535
1981 06 04 2.064
1981 06 05 1.222
1981 06 06 1.209
1981 06 07 1.729
1981 06 08 1.851
1981 06 09 1.421
1981 06 10 0.846
1981 06 11 1.486
1981 06 12 1.440
1981 06 13 1.517
1981 06 14 1.979
1981 06 15 1.734
1981 06 16 1.343
1981 06 17 2.473
1981 06 18 0.894
1981 06 19 1.392
1981 06 20 0.507
1981 06 21 0.962
1981 06 22 1.226
1981 06 23 1.078
1981 06 24 0.840
1981 06 25 1.115
1981 06 26 1.395
1981 06 27 1.241
1981 06 28 1.314
1981 06 29 1.519
1981 06 30 1.523
1981 07 01 1.589
1981 07 02 1.607
1981 07 03 1.344
1981 07 04 0.793
1981 07 05 1.088
1981 07 06 1.174
1981 07 07 1.229
1981 07 08 0.797
1981 07 09 0.893
1981 07 10 0.993
1981 07 11 1.104
1981 07 12 1.396
1981 07 13 1.616
1981 07 14 1.659
1981 07 15 1.626
1981 07 16 1.584
1981 07 17 1.614
1981 07 18 1.022
1981 07 19 0.972
1981 07 20 1.500
1981 07 21 1.613
1981 07 22 1.414
1981 07 23 0.820
1981 07 24 0.480
1981 07 25 1.364
1981 07 26 1.709
1981 07 27 1.235
1981 07 28 1.290
1981 07 29 1.449
1981 07 30 1.304
