year month day evapotransp_mgb
1980 01 01 3.559
1980 01 02 3.601
1980 01 03 3.620
1980 01 04 3.673
1980 01 05 3.706
1980 01 06 3.738
1980 01 07 3.674
1980 01 08 3.661
1980 01 09 3.670
1980 01 10 3.727
1980 01 11 3.735
1980 01 12 3.748
1980 01 13 3.768
1980 01 14 3.796
1980 01 15 3.829
1980 01 16 3.850
1980 01 17 3.868
1980 01 18 3.816
1980 01 19 3.775
1980 01 20 3.767
1980 01 21 3.790
1980 01 22 3.785
1980 01 23 3.798
1980 01 24 3.789
1980 01 25 3.809
1980 01 26 3.799
1980 01 27 3.840
1980 01 28 3.843
1980 01 29 3.854
1980 01 30 3.866
1980 01 31 3.876
1980 02 01 4.057
1980 02 02 4.088
1980 02 03 4.099
1980 02 04 4.099
1980 02 05 4.098
1980 02 06 4.116
1980 02 07 4.141
1980 02 08 4.159
1980 02 09 4.170
1980 02 10 4.169
1980 02 11 4.096
1980 02 12 4.146
1980 02 13 4.176
1980 02 14 4.174
1980 02 15 4.172
1980 02 16 4.170
1980 02 17 4.167
1980 02 18 4.166
1980 02 19 4.164
1980 02 20 4.155
1980 02 21 4.143
1980 02 22 4.150
1980 02 23 4.072
1980 02 24 4.049
1980 02 25 4.089
1980 02 26 4.059
1980 02 27 4.056
1980 02 28 4.082
1980 02 29 3.982
1980 03 01 3.828
1980 03 02 3.843
1980 03 03 3.823
1980 03 04 3.851
1980 03 05 3.821
1980 03 06 3.806
1980 03 07 3.775
1980 03 08 3.758
1980 03 09 3.732
1980 03 10 3.709
1980 03 11 3.672
1980 03 12 3.684
1980 03 13 3.657
1980 03 14 3.691
1980 03 15 3.768
1980 03 16 3.758
1980 03 17 3.732
1980 03 18 3.617
1980 03 19 3.543
1980 03 20 3.583
1980 03 21 3.535
1980 03 22 3.515
1980 03 23 3.470
1980 03 24 3.484
1980 03 25 3.466
1980 03 26 3.429
1980 03 27 3.423
1980 03 28 3.430
1980 03 29 3.391
1980 03 30 3.428
1980 03 31 3.472
1980 04 01 3.658
1980 04 02 3.654
1980 04 03 3.642
1980 04 04 3.526
1980 04 05 3.493
1980 04 06 3.545
1980 04 07 3.606
1980 04 08 3.616
1980 04 09 3.603
1980 04 10 3.565
1980 04 11 3.484
1980 04 12 3.419
1980 04 13 3.418
1980 04 14 3.429
1980 04 15 3.402
1980 04 16 3.369
1980 04 17 3.389
1980 04 18 3.263
1980 04 19 3.220
1980 04 20 3.194
1980 04 21 3.168
1980 04 22 3.148
1980 04 23 3.122
1980 04 24 3.098
1980 04 25 3.107
1980 04 26 3.074
1980 04 27 3.043
1980 04 28 3.045
1980 04 29 3.020
1980 04 30 3.012
1980 05 01 3.257
1980 05 02 3.180
1980 05 03 3.223
1980 05 04 3.216
1980 05 05 3.161
1980 05 06 3.144
1980 05 07 3.103
1980 05 08 3.046
1980 05 09 3.018
1980 05 10 2.999
1980 05 11 2.963
1980 05 12 2.973
1980 05 13 2.946
1980 05 14 2.938
1980 05 15 2.929
1980 05 16 2.896
1980 05 17 2.913
1980 05 18 2.855
1980 05 19 2.857
1980 05 20 2.815
1980 05 21 2.792
1980 05 22 2.771
1980 05 23 2.769
1980 05 24 2.752
1980 05 25 2.728
1980 05 26 2.712
1980 05 27 2.693
1980 05 28 2.673
1980 05 29 2.660
1980 05 30 2.639
1980 05 31 2.635
1980 06 01 2.759
1980 06 02 2.667
1980 06 03 2.658
1980 06 04 2.649
1980 06 05 2.644
1980 06 06 2.608
1980 06 07 2.611
1980 06 08 2.594
1980 06 09 2.562
1980 06 10 2.549
1980 06 11 2.529
1980 06 12 2.508
1980 06 13 2.495
1980 06 14 2.508
1980 06 15 2.500
1980 06 16 2.486
1980 06 17 2.464
1980 06 18 2.425
1980 06 19 2.416
1980 06 20 2.414
1980 06 21 2.427
1980 06 22 2.442
1980 06 23 2.418
1980 06 24 2.406
1980 06 25 2.373
1980 06 26 2.392
