year month day potential_evapotransp_gleam
1980 01 01 4.602
1980 01 02 3.835
1980 01 03 4.534
1980 01 04 4.104
1980 01 05 4.446
1980 01 06 3.913
1980 01 07 2.244
1980 01 08 2.291
1980 01 09 2.514
1980 01 10 3.944
1980 01 11 4.348
1980 01 12 5.042
1980 01 13 3.870
1980 01 14 3.356
1980 01 15 2.802
1980 01 16 3.372
1980 01 17 3.348
1980 01 18 3.996
1980 01 19 4.784
1980 01 20 4.171
1980 01 21 5.138
1980 01 22 5.075
1980 01 23 4.132
1980 01 24 2.412
1980 01 25 0.477
1980 01 26 1.344
1980 01 27 3.185
1980 01 28 4.212
1980 01 29 3.433
1980 01 30 4.658
1980 01 31 2.148
1980 02 01 2.867
1980 02 02 3.546
1980 02 03 3.190
1980 02 04 4.882
1980 02 05 4.848
1980 02 06 4.585
1980 02 07 3.836
1980 02 08 4.223
1980 02 09 4.539
1980 02 10 2.682
1980 02 11 2.998
1980 02 12 2.967
1980 02 13 4.036
1980 02 14 3.943
1980 02 15 3.662
1980 02 16 4.510
1980 02 17 3.000
1980 02 18 2.448
1980 02 19 3.997
1980 02 20 4.040
1980 02 21 3.936
1980 02 22 3.833
1980 02 23 3.293
1980 02 24 2.433
1980 02 25 2.907
1980 02 26 2.652
1980 02 27 1.175
1980 02 28 1.100
1980 02 29 1.843
1980 03 01 3.703
1980 03 02 4.182
1980 03 03 3.803
1980 03 04 4.628
1980 03 05 4.444
1980 03 06 4.090
1980 03 07 4.261
1980 03 08 2.967
1980 03 09 3.641
1980 03 10 3.791
1980 03 11 2.916
1980 03 12 2.952
1980 03 13 2.496
1980 03 14 2.814
1980 03 15 2.694
1980 03 16 1.207
1980 03 17 2.708
1980 03 18 3.301
1980 03 19 3.388
1980 03 20 3.965
1980 03 21 3.492
1980 03 22 3.736
1980 03 23 3.630
1980 03 24 3.568
1980 03 25 3.425
1980 03 26 3.799
1980 03 27 3.535
1980 03 28 2.956
1980 03 29 1.374
1980 03 30 2.734
1980 03 31 1.789
1980 04 01 2.051
1980 04 02 2.554
1980 04 03 2.376
1980 04 04 1.776
1980 04 05 2.484
1980 04 06 2.243
1980 04 07 1.915
1980 04 08 1.312
1980 04 09 2.360
1980 04 10 2.363
1980 04 11 2.319
1980 04 12 1.643
1980 04 13 0.990
1980 04 14 0.581
1980 04 15 0.579
1980 04 16 1.331
1980 04 17 0.801
1980 04 18 2.841
1980 04 19 2.775
1980 04 20 2.915
1980 04 21 2.571
1980 04 22 2.697
1980 04 23 2.696
1980 04 24 2.434
1980 04 25 1.707
1980 04 26 1.434
1980 04 27 1.720
1980 04 28 2.376
1980 04 29 2.598
1980 04 30 2.302
1980 05 01 0.170
1980 05 02 0.451
1980 05 03 0.335
1980 05 04 1.823
1980 05 05 1.631
1980 05 06 1.709
1980 05 07 1.398
1980 05 08 0.494
1980 05 09 0.826
1980 05 10 0.931
1980 05 11 1.460
1980 05 12 1.580
1980 05 13 1.368
1980 05 14 1.524
1980 05 15 1.883
1980 05 16 1.590
1980 05 17 1.368
1980 05 18 1.469
1980 05 19 1.264
1980 05 20 1.009
1980 05 21 -0.002
1980 05 22 1.621
1980 05 23 0.897
1980 05 24 0.912
1980 05 25 1.284
1980 05 26 1.476
1980 05 27 1.643
1980 05 28 1.535
1980 05 29 1.200
1980 05 30 1.802
1980 05 31 1.560
1980 06 01 1.162
1980 06 02 0.530
1980 06 03 1.406
1980 06 04 0.774
1980 06 05 1.212
1980 06 06 1.099
1980 06 07 1.595
1980 06 08 1.385
1980 06 09 0.934
1980 06 10 1.385
1980 06 11 1.320
1980 06 12 1.088
1980 06 13 -0.078
1980 06 14 0.971
1980 06 15 0.517
1980 06 16 0.830
1980 06 17 1.197
1980 06 18 1.059
1980 06 19 1.240
1980 06 20 0.387
1980 06 21 0.336
1980 06 22 0.505
1980 06 23 0.517
1980 06 24 0.417
1980 06 25 0.324
1980 06 26 1.019
1980 06 27 0.620
1980 06 28 0.893
1980 06 29 1.424
1980 06 30 1.302
1980 07 01 -0.010
1980 07 02 0.090
1980 07 03 0.162
1980 07 04 0.460
1980 07 05 0.590
1980 07 06 0.991
1980 07 07 0.831
1980 07 08 1.426
1980 07 09 0.518
1980 07 10 0.288
1980 07 11 0.347
1980 07 12 0.897
1980 07 13 1.159
1980 07 14 1.286
1980 07 15 0.865
1980 07 16 0.958
1980 07 17 1.352
1980 07 18 1.347
1980 07 19 1.533
1980 07 20 1.449
1980 07 21 1.439
1980 07 22 1.445
1980 07 23 1.308
1980 07 24 1.473
1980 07 25 1.675
1980 07 26 1.715
1980 07 27 1.815
1980 07 28 1.104
1980 07 29 0.663
1980 07 30 0.161
1980 07 31 1.415
1980 08 01 1.606
1980 08 02 1.476
1980 08 03 1.201
1980 08 04 2.005
1980 08 05 1.200
1980 08 06 1.320
1980 08 07 1.619
1980 08 08 0.052
1980 08 09 1.370
1980 08 10 1.153
1980 08 11 1.367
1980 08 12 0.931
1980 08 13 0.772
1980 08 14 1.889
1980 08 15 2.345
1980 08 16 2.133
1980 08 17 0.742
1980 08 18 0.435
1980 08 19 1.157
1980 08 20 1.339
1980 08 21 2.052
1980 08 22 0.335
1980 08 23 1.965
1980 08 24 0.433
1980 08 25 0.640
1980 08 26 2.283
1980 08 27 2.324
1980 08 28 0.804
1980 08 29 0.671
1980 08 30 1.945
1980 08 31 1.562
1980 09 01 0.527
1980 09 02 0.790
1980 09 03 2.333
1980 09 04 2.307
1980 09 05 2.003
1980 09 06 2.634
1980 09 07 2.650
1980 09 08 2.931
1980 09 09 1.381
1980 09 10 1.393
1980 09 11 1.625
1980 09 12 1.350
1980 09 13 1.523
1980 09 14 2.146
1980 09 15 0.906
1980 09 16 2.217
1980 09 17 2.217
1980 09 18 2.205
1980 09 19 1.244
1980 09 20 1.254
1980 09 21 2.241
1980 09 22 3.273
1980 09 23 2.237
1980 09 24 1.913
1980 09 25 3.116
1980 09 26 1.998
1980 09 27 1.078
1980 09 28 0.427
1980 09 29 2.362
1980 09 30 3.628
1980 10 01 2.552
1980 10 02 3.654
1980 10 03 4.141
1980 10 04 4.079
1980 10 05 0.467
1980 10 06 2.810
1980 10 07 0.342
1980 10 08 0.779
1980 10 09 3.278
1980 10 10 1.677
1980 10 11 0.791
1980 10 12 0.981
1980 10 13 1.663
1980 10 14 2.725
1980 10 15 2.464
1980 10 16 3.583
1980 10 17 3.514
1980 10 18 3.672
1980 10 19 3.726
1980 10 20 3.690
1980 10 21 2.554
1980 10 22 1.368
1980 10 23 0.682
1980 10 24 0.713
1980 10 25 2.116
1980 10 26 4.049
