year month day temperature_min
1980 01 01 8.279
1980 01 02 7.750
1980 01 03 10.780
1980 01 04 12.432
1980 01 05 16.337
1980 01 06 13.165
1980 01 07 15.000
1980 01 08 17.075
1980 01 09 16.351
1980 01 10 15.032
1980 01 11 13.579
1980 01 12 13.451
1980 01 13 13.572
1980 01 14 12.984
1980 01 15 11.834
1980 01 16 14.165
1980 01 17 16.072
1980 01 18 16.266
1980 01 19 16.256
1980 01 20 15.908
1980 01 21 13.470
1980 01 22 14.877
1980 01 23 17.563
1980 01 24 16.795
1980 01 25 10.902
1980 01 26 13.768
1980 01 27 14.974
1980 01 28 17.006
1980 01 29 14.908
1980 01 30 15.451
1980 01 31 19.623
1980 02 01 15.227
1980 02 02 13.571
1980 02 03 15.741
1980 02 04 13.133
1980 02 05 17.114
1980 02 06 17.449
1980 02 07 17.541
1980 02 08 15.044
1980 02 09 15.906
1980 02 10 19.628
1980 02 11 17.197
1980 02 12 17.222
1980 02 13 16.773
1980 02 14 13.528
1980 02 15 17.197
1980 02 16 14.628
1980 02 17 16.834
1980 02 18 14.126
1980 02 19 10.174
1980 02 20 12.091
1980 02 21 12.578
1980 02 22 13.947
1980 02 23 15.200
1980 02 24 14.730
1980 02 25 16.957
1980 02 26 17.012
1980 02 27 16.920
1980 02 28 16.829
1980 02 29 17.418
1980 03 01 18.152
1980 03 02 17.677
1980 03 03 17.987
1980 03 04 16.963
1980 03 05 15.781
1980 03 06 16.381
1980 03 07 16.807
1980 03 08 16.467
1980 03 09 16.324
1980 03 10 18.125
1980 03 11 17.824
1980 03 12 17.001
1980 03 13 16.188
1980 03 14 15.807
1980 03 15 15.734
1980 03 16 12.301
1980 03 17 15.361
1980 03 18 17.074
1980 03 19 21.491
1980 03 20 16.834
1980 03 21 15.664
1980 03 22 17.029
1980 03 23 17.623
1980 03 24 18.283
1980 03 25 18.539
1980 03 26 18.866
1980 03 27 17.367
1980 03 28 17.267
1980 03 29 16.595
1980 03 30 15.768
1980 03 31 14.587
1980 04 01 12.217
1980 04 02 12.251
1980 04 03 13.133
1980 04 04 14.092
1980 04 05 14.046
1980 04 06 13.956
1980 04 07 13.533
1980 04 08 14.214
1980 04 09 13.681
1980 04 10 16.107
1980 04 11 15.870
1980 04 12 20.647
1980 04 13 13.863
1980 04 14 13.215
1980 04 15 7.103
1980 04 16 8.893
1980 04 17 12.264
1980 04 18 14.693
1980 04 19 12.129
1980 04 20 14.536
1980 04 21 14.153
1980 04 22 13.433
1980 04 23 15.149
1980 04 24 15.480
1980 04 25 14.120
1980 04 26 12.773
1980 04 27 13.598
1980 04 28 13.421
1980 04 29 13.084
1980 04 30 14.981
1980 05 01 13.376
1980 05 02 9.761
1980 05 03 7.351
1980 05 04 1.433
1980 05 05 3.094
1980 05 06 8.047
1980 05 07 13.237
1980 05 08 12.904
1980 05 09 12.525
1980 05 10 11.971
1980 05 11 12.213
1980 05 12 10.757
1980 05 13 13.508
1980 05 14 13.727
1980 05 15 12.299
1980 05 16 14.386
1980 05 17 13.296
1980 05 18 14.488
1980 05 19 13.494
1980 05 20 13.646
1980 05 21 14.580
1980 05 22 13.043
1980 05 23 8.525
1980 05 24 9.411
1980 05 25 10.083
1980 05 26 11.603
1980 05 27 10.433
1980 05 28 12.493
1980 05 29 13.971
1980 05 30 13.092
1980 05 31 14.422
1980 06 01 13.594
1980 06 02 6.276
1980 06 03 4.055
1980 06 04 -1.682
1980 06 05 0.286
1980 06 06 5.424
1980 06 07 9.104
1980 06 08 8.086
1980 06 09 9.032
1980 06 10 14.915
1980 06 11 12.979
1980 06 12 14.335
1980 06 13 9.724
1980 06 14 4.216
1980 06 15 0.926
1980 06 16 5.583
1980 06 17 6.699
1980 06 18 10.667
1980 06 19 7.315
1980 06 20 9.453
1980 06 21 7.312
1980 06 22 7.559
1980 06 23 5.663
1980 06 24 7.613
1980 06 25 12.523
1980 06 26 -9.351
1980 06 27 0.323
1980 06 28 0.519
1980 06 29 10.064
1980 06 30 14.067
1980 07 01 9.690
1980 07 02 2.955
1980 07 03 3.996
1980 07 04 5.620
1980 07 05 6.916
1980 07 06 8.438
1980 07 07 8.871
1980 07 08 11.543
1980 07 09 7.950
1980 07 10 4.226
1980 07 11 9.853
1980 07 12 11.457
1980 07 13 12.895
1980 07 14 14.034
1980 07 15 -0.159
1980 07 16 0.905
1980 07 17 5.292
1980 07 18 9.776
1980 07 19 12.140
1980 07 20 15.239
1980 07 21 8.095
1980 07 22 8.602
1980 07 23 7.208
1980 07 24 7.427
1980 07 25 7.858
1980 07 26 13.466
1980 07 27 8.827
1980 07 28 7.351
1980 07 29 13.970
1980 07 30 5.259
1980 07 31 -4.394
1980 08 01 -2.683
1980 08 02 5.419
1980 08 03 10.014
1980 08 04 10.172
1980 08 05 11.761
1980 08 06 8.577
1980 08 07 6.763
1980 08 08 7.701
1980 08 09 7.073
1980 08 10 10.736
1980 08 11 10.559
1980 08 12 8.729
1980 08 13 7.923
1980 08 14 9.633
1980 08 15 11.048
1980 08 16 12.895
1980 08 17 13.917
1980 08 18 14.563
1980 08 19 15.347
1980 08 20 13.992
1980 08 21 14.236
1980 08 22 13.448
1980 08 23 7.066
1980 08 24 7.311
1980 08 25 8.623
1980 08 26 6.484
1980 08 27 1.231
1980 08 28 3.350
1980 08 29 7.020
1980 08 30 10.127
1980 08 31 12.256
1980 09 01 12.106
1980 09 02 11.957
