year month day temperature_mean
1980 01 01 28.590
1980 01 02 29.142
1980 01 03 27.970
1980 01 04 28.258
1980 01 05 27.877
1980 01 06 29.808
1980 01 07 27.854
1980 01 08 29.427
1980 01 09 28.290
1980 01 10 28.335
1980 01 11 27.351
1980 01 12 27.606
1980 01 13 27.741
1980 01 14 27.516
1980 01 15 24.708
1980 01 16 24.822
1980 01 17 27.873
1980 01 18 28.197
1980 01 19 26.049
1980 01 20 27.331
1980 01 21 27.606
1980 01 22 28.220
1980 01 23 29.035
1980 01 24 27.232
1980 01 25 27.657
1980 01 26 28.735
1980 01 27 28.595
1980 01 28 27.519
1980 01 29 27.833
1980 01 30 28.035
1980 01 31 28.703
1980 02 01 28.023
1980 02 02 27.033
1980 02 03 30.278
1980 02 04 28.005
1980 02 05 28.390
1980 02 06 27.366
1980 02 07 26.793
1980 02 08 26.739
1980 02 09 27.295
1980 02 10 26.532
1980 02 11 26.741
1980 02 12 27.508
1980 02 13 27.216
1980 02 14 27.167
1980 02 15 28.140
1980 02 16 23.858
1980 02 17 25.782
1980 02 18 25.469
1980 02 19 23.321
1980 02 20 25.659
1980 02 21 24.711
1980 02 22 25.651
1980 02 23 24.571
1980 02 24 24.673
1980 02 25 25.824
1980 02 26 25.028
1980 02 27 25.136
1980 02 28 25.186
1980 02 29 25.437
1980 03 01 22.670
1980 03 02 24.774
1980 03 03 24.656
1980 03 04 24.275
1980 03 05 25.159
1980 03 06 25.239
1980 03 07 23.771
1980 03 08 22.651
1980 03 09 23.906
1980 03 10 26.228
1980 03 11 25.846
1980 03 12 25.776
1980 03 13 25.498
1980 03 14 25.609
1980 03 15 25.163
1980 03 16 25.680
1980 03 17 25.885
1980 03 18 24.943
1980 03 19 25.781
1980 03 20 15.356
1980 03 21 25.574
1980 03 22 26.411
1980 03 23 26.179
1980 03 24 25.842
1980 03 25 25.931
1980 03 26 25.841
1980 03 27 24.877
1980 03 28 27.548
1980 03 29 25.820
1980 03 30 26.054
1980 03 31 25.511
1980 04 01 25.698
1980 04 02 25.367
1980 04 03 26.787
1980 04 04 27.176
1980 04 05 26.076
1980 04 06 26.770
1980 04 07 27.013
1980 04 08 25.490
1980 04 09 25.978
1980 04 10 26.073
1980 04 11 25.430
1980 04 12 26.301
1980 04 13 26.216
1980 04 14 26.291
1980 04 15 26.676
1980 04 16 26.034
1980 04 17 26.200
1980 04 18 25.404
1980 04 19 26.515
1980 04 20 26.609
1980 04 21 26.492
1980 04 22 27.266
1980 04 23 25.811
1980 04 24 26.907
1980 04 25 25.951
1980 04 26 26.494
1980 04 27 25.729
1980 04 28 25.923
1980 04 29 26.204
1980 04 30 27.166
1980 05 01 26.208
1980 05 02 26.630
1980 05 03 26.896
1980 05 04 26.775
1980 05 05 26.312
1980 05 06 26.945
1980 05 07 26.373
1980 05 08 26.206
1980 05 09 25.977
1980 05 10 26.930
1980 05 11 27.605
1980 05 12 26.774
1980 05 13 26.201
1980 05 14 24.833
1980 05 15 26.373
1980 05 16 26.011
1980 05 17 27.347
1980 05 18 24.543
1980 05 19 25.202
1980 05 20 26.551
1980 05 21 25.671
1980 05 22 25.923
1980 05 23 26.130
1980 05 24 25.562
1980 05 25 26.800
1980 05 26 25.776
1980 05 27 25.032
1980 05 28 26.217
1980 05 29 24.797
1980 05 30 26.347
1980 05 31 26.183
1980 06 01 27.481
1980 06 02 26.402
1980 06 03 27.012
1980 06 04 27.250
1980 06 05 26.418
1980 06 06 26.805
1980 06 07 25.638
1980 06 08 26.298
1980 06 09 26.506
1980 06 10 26.442
1980 06 11 25.547
1980 06 12 25.203
1980 06 13 24.169
1980 06 14 24.812
1980 06 15 25.055
1980 06 16 26.728
1980 06 17 25.823
1980 06 18 27.129
1980 06 19 25.699
1980 06 20 27.028
1980 06 21 27.491
1980 06 22 28.066
1980 06 23 28.812
1980 06 24 28.325
1980 06 25 26.333
1980 06 26 26.364
1980 06 27 25.646
1980 06 28 26.362
1980 06 29 25.438
1980 06 30 25.916
1980 07 01 25.690
1980 07 02 26.810
1980 07 03 25.833
1980 07 04 26.200
1980 07 05 25.509
1980 07 06 25.604
1980 07 07 27.078
1980 07 08 28.431
1980 07 09 26.391
1980 07 10 27.440
1980 07 11 27.284
1980 07 12 26.173
1980 07 13 26.304
1980 07 14 26.781
1980 07 15 26.730
1980 07 16 26.082
1980 07 17 26.472
1980 07 18 24.431
1980 07 19 24.803
1980 07 20 26.032
1980 07 21 27.682
1980 07 22 27.080
1980 07 23 27.045
1980 07 24 26.323
1980 07 25 25.626
1980 07 26 25.759
1980 07 27 28.127
1980 07 28 27.163
1980 07 29 26.516
1980 07 30 27.307
1980 07 31 27.599
1980 08 01 28.357
1980 08 02 26.652
1980 08 03 26.549
1980 08 04 26.450
1980 08 05 26.891
1980 08 06 26.760
1980 08 07 27.817
1980 08 08 27.575
1980 08 09 27.964
1980 08 10 27.013
1980 08 11 27.341
1980 08 12 27.349
1980 08 13 26.598
1980 08 14 27.458
1980 08 15 25.410
1980 08 16 26.862
1980 08 17 27.586
1980 08 18 28.943
1980 08 19 27.932
1980 08 20 26.676
1980 08 21 28.369
1980 08 22 27.101
1980 08 23 27.653
1980 08 24 28.152
1980 08 25 28.922
1980 08 26 26.912
1980 08 27 27.200
1980 08 28 27.433
1980 08 29 27.604
1980 08 30 25.501
1980 08 31 26.744
1980 09 01 27.947
1980 09 02 28.120
1980 09 03 27.482
1980 09 04 25.775
1980 09 05 28.011
1980 09 06 27.864
1980 09 07 28.261
1980 09 08 28.937
