year month day temperature_max
1980 01 01 27.581
1980 01 02 28.488
1980 01 03 25.713
1980 01 04 25.570
1980 01 05 27.568
1980 01 06 26.846
1980 01 07 28.499
1980 01 08 29.520
1980 01 09 27.513
1980 01 10 28.480
1980 01 11 27.997
1980 01 12 25.475
1980 01 13 26.398
1980 01 14 26.360
1980 01 15 24.515
1980 01 16 26.986
1980 01 17 26.736
1980 01 18 27.807
1980 01 19 29.464
1980 01 20 29.327
1980 01 21 29.198
1980 01 22 30.390
1980 01 23 29.445
1980 01 24 30.443
1980 01 25 29.352
1980 01 26 28.652
1980 01 27 30.522
1980 01 28 29.552
1980 01 29 26.546
1980 01 30 29.381
1980 01 31 26.091
1980 02 01 27.225
1980 02 02 26.274
1980 02 03 26.385
1980 02 04 27.411
1980 02 05 27.583
1980 02 06 25.288
1980 02 07 28.195
1980 02 08 27.279
1980 02 09 25.998
1980 02 10 22.984
1980 02 11 26.718
1980 02 12 25.930
1980 02 13 28.172
1980 02 14 26.375
1980 02 15 23.642
1980 02 16 24.203
1980 02 17 21.703
1980 02 18 21.420
1980 02 19 25.564
1980 02 20 27.970
1980 02 21 28.049
1980 02 22 24.465
1980 02 23 26.159
1980 02 24 28.238
1980 02 25 29.240
1980 02 26 28.285
1980 02 27 28.289
1980 02 28 23.993
1980 02 29 28.966
1980 03 01 27.689
1980 03 02 28.576
1980 03 03 26.501
1980 03 04 28.336
1980 03 05 27.660
1980 03 06 27.489
1980 03 07 27.512
1980 03 08 27.537
1980 03 09 28.477
1980 03 10 28.576
1980 03 11 29.710
1980 03 12 30.486
1980 03 13 30.487
1980 03 14 30.861
1980 03 15 30.384
1980 03 16 28.777
1980 03 17 30.572
1980 03 18 30.599
1980 03 19 29.607
1980 03 20 29.829
1980 03 21 28.752
1980 03 22 31.440
1980 03 23 28.123
1980 03 24 30.728
1980 03 25 30.614
1980 03 26 30.517
1980 03 27 30.573
1980 03 28 30.578
1980 03 29 31.632
1980 03 30 30.761
1980 03 31 31.853
1980 04 01 32.689
1980 04 02 31.531
1980 04 03 29.736
1980 04 04 30.629
1980 04 05 31.549
1980 04 06 31.289
1980 04 07 29.571
1980 04 08 25.655
1980 04 09 27.423
1980 04 10 29.561
1980 04 11 30.627
1980 04 12 33.217
1980 04 13 32.788
1980 04 14 31.974
1980 04 15 31.378
1980 04 16 31.580
1980 04 17 33.567
1980 04 18 30.686
1980 04 19 30.626
1980 04 20 29.892
1980 04 21 29.690
1980 04 22 29.727
1980 04 23 30.706
1980 04 24 28.998
1980 04 25 30.683
1980 04 26 30.690
1980 04 27 29.758
1980 04 28 26.682
1980 04 29 27.779
1980 04 30 30.731
1980 05 01 30.981
1980 05 02 31.904
1980 05 03 31.835
1980 05 04 32.788
1980 05 05 32.542
1980 05 06 31.826
1980 05 07 31.824
1980 05 08 30.866
1980 05 09 29.910
1980 05 10 30.869
1980 05 11 30.904
1980 05 12 31.872
1980 05 13 28.953
1980 05 14 29.734
1980 05 15 29.869
1980 05 16 30.873
1980 05 17 31.846
1980 05 18 30.904
1980 05 19 31.871
1980 05 20 31.865
1980 05 21 28.443
1980 05 22 32.158
1980 05 23 31.006
1980 05 24 30.008
1980 05 25 30.006
1980 05 26 29.122
1980 05 27 30.862
1980 05 28 30.767
1980 05 29 30.006
1980 05 30 29.870
1980 05 31 29.867
1980 06 01 30.965
1980 06 02 30.942
1980 06 03 31.157
1980 06 04 31.915
1980 06 05 32.473
1980 06 06 30.926
1980 06 07 29.906
1980 06 08 28.973
1980 06 09 29.021
1980 06 10 29.870
1980 06 11 30.439
1980 06 12 31.540
1980 06 13 28.402
1980 06 14 28.430
1980 06 15 31.926
1980 06 16 31.908
1980 06 17 30.659
1980 06 18 27.942
1980 06 19 28.667
1980 06 20 29.905
1980 06 21 30.905
1980 06 22 30.099
1980 06 23 31.927
1980 06 24 29.958
1980 06 25 30.021
1980 06 26 30.905
1980 06 27 31.969
1980 06 28 31.476
1980 06 29 30.910
1980 06 30 28.784
1980 07 01 28.738
1980 07 02 29.926
1980 07 03 30.972
1980 07 04 30.924
1980 07 05 30.343
1980 07 06 29.976
1980 07 07 29.597
1980 07 08 29.111
1980 07 09 28.932
1980 07 10 29.742
1980 07 11 30.620
1980 07 12 30.652
1980 07 13 30.000
1980 07 14 31.162
1980 07 15 31.989
1980 07 16 32.920
1980 07 17 30.918
1980 07 18 28.088
1980 07 19 30.921
1980 07 20 30.864
1980 07 21 30.950
1980 07 22 31.908
1980 07 23 32.915
1980 07 24 32.930
1980 07 25 31.972
1980 07 26 29.892
1980 07 27 29.974
1980 07 28 31.918
1980 07 29 30.997
1980 07 30 31.005
1980 07 31 31.922
1980 08 01 34.156
1980 08 02 32.207
1980 08 03 27.390
1980 08 04 30.158
1980 08 05 30.162
1980 08 06 30.432
1980 08 07 32.211
1980 08 08 32.210
1980 08 09 32.211
1980 08 10 31.326
1980 08 11 32.187
1980 08 12 33.212
1980 08 13 32.257
1980 08 14 32.209
1980 08 15 31.321
1980 08 16 33.150
1980 08 17 34.050
1980 08 18 35.081
1980 08 19 34.186
1980 08 20 33.174
1980 08 21 33.823
1980 08 22 33.925
1980 08 23 34.194
1980 08 24 34.107
1980 08 25 34.152
1980 08 26 34.311
1980 08 27 36.095
1980 08 28 35.931
1980 08 29 31.268
1980 08 30 32.158
1980 08 31 32.194
1980 09 01 32.955
1980 09 02 33.816
1980 09 03 34.912
1980 09 04 36.812
1980 09 05 33.682
1980 09 06 31.424
1980 09 07 32.867
1980 09 08 33.732
1980 09 09 31.862
1980 09 10 32.912
1980 09 11 32.975
1980 09 12 32.973
1980 09 13 32.088
1980 09 14 32.920
1980 09 15 32.915
1980 09 16 35.711
1980 09 17 35.870
1980 09 18 32.559
1980 09 19 31.872
1980 09 20 34.912
1980 09 21 35.477
1980 09 22 34.872
1980 09 23 32.415
1980 09 24 26.700
1980 09 25 32.288
1980 09 26 33.682
1980 09 27 29.065
1980 09 28 29.817
1980 09 29 33.328
1980 09 30 30.185
1980 10 01 31.286
1980 10 02 31.477
1980 10 03 32.261
1980 10 04 31.392
1980 10 05 33.230
1980 10 06 34.286
1980 10 07 33.481
1980 10 08 33.334
1980 10 09 34.339
1980 10 10 36.070
1980 10 11 30.540
1980 10 12 31.494
1980 10 13 26.506
1980 10 14 30.968
1980 10 15 26.554
1980 10 16 25.464
1980 10 17 30.489
1980 10 18 31.291
1980 10 19 32.345
1980 10 20 33.339
1980 10 21 33.236
1980 10 22 34.282
1980 10 23 34.214
1980 10 24 33.871
1980 10 25 33.226
1980 10 26 33.331
1980 10 27 33.559
1980 10 28 35.172
1980 10 29 36.136
1980 10 30 35.155
1980 10 31 33.079
1980 11 01 31.432
1980 11 02 28.723
1980 11 03 28.664
1980 11 04 23.924
1980 11 05 23.209
1980 11 06 25.325
1980 11 07 23.783
1980 11 08 28.537
1980 11 09 28.719
1980 11 10 26.331
1980 11 11 29.948
1980 11 12 29.530
1980 11 13 26.797
1980 11 14 30.530
1980 11 15 27.724
1980 11 16 27.585
1980 11 17 30.217
1980 11 18 31.429
1980 11 19 29.486
1980 11 20 31.536
1980 11 21 29.436
1980 11 22 27.714
1980 11 23 31.087
1980 11 24 28.442
1980 11 25 26.677
1980 11 26 27.528
1980 11 27 28.427
1980 11 28 26.835
1980 11 29 28.446
1980 11 30 28.482
1980 12 01 28.916
1980 12 02 28.755
1980 12 03 27.072
1980 12 04 23.255
1980 12 05 28.755
1980 12 06 30.076
1980 12 07 31.056
1980 12 08 30.296
1980 12 09 29.876
1980 12 10 29.689
1980 12 11 29.850
1980 12 12 26.223
1980 12 13 28.816
1980 12 14 27.813
1980 12 15 23.098
1980 12 16 26.536
1980 12 17 23.189
1980 12 18 24.828
1980 12 19 24.863
1980 12 20 26.762
1980 12 21 29.493
1980 12 22 29.022
1980 12 23 26.075
1980 12 24 28.616
1980 12 25 29.963
1980 12 26 28.101
1980 12 27 28.984
1980 12 28 29.668
1980 12 29 28.925
1980 12 30 29.075
1980 12 31 24.261
1981 01 01 nan
1981 01 02 nan
1981 01 03 23.445
1981 01 04 27.821
1981 01 05 31.368
1981 01 06 28.601
1981 01 07 29.496
1981 01 08 29.446
1981 01 09 29.500
1981 01 10 30.811
1981 01 11 28.616
1981 01 12 24.671
1981 01 13 29.385
1981 01 14 27.388
1981 01 15 29.393
1981 01 16 28.392
1981 01 17 30.384
1981 01 18 30.388
1981 01 19 28.445
1981 01 20 30.386
1981 01 21 30.171
1981 01 22 26.495
1981 01 23 28.488
1981 01 24 28.442
1981 01 25 30.193
1981 01 26 30.356
1981 01 27 27.353
1981 01 28 27.483
1981 01 29 27.441
1981 01 30 29.389
1981 01 31 29.216
1981 02 01 27.948
1981 02 02 29.242
1981 02 03 29.280
1981 02 04 30.090
1981 02 05 31.041
1981 02 06 32.182
1981 02 07 31.109
1981 02 08 30.178
1981 02 09 29.348
1981 02 10 30.238
1981 02 11 28.975
1981 02 12 29.207
1981 02 13 30.198
1981 02 14 29.088
1981 02 15 29.235
1981 02 16 30.634
1981 02 17 29.239
1981 02 18 31.005
1981 02 19 31.343
1981 02 20 32.289
1981 02 21 32.288
1981 02 22 32.115
1981 02 23 31.238
1981 02 24 33.289
1981 02 25 32.949
1981 02 26 33.289
1981 02 27 34.115
1981 02 28 34.773
1981 03 01 34.511
1981 03 02 34.292
1981 03 03 34.079
1981 03 04 33.318
1981 03 05 32.318
1981 03 06 33.426
1981 03 07 30.326
1981 03 08 26.287
1981 03 09 30.815
1981 03 10 24.808
1981 03 11 25.971
1981 03 12 30.521
1981 03 13 31.561
1981 03 14 23.732
1981 03 15 30.209
1981 03 16 31.447
1981 03 17 31.403
1981 03 18 30.522
1981 03 19 27.578
1981 03 20 28.578
1981 03 21 27.630
1981 03 22 26.490
1981 03 23 27.574
1981 03 24 23.862
1981 03 25 24.735
1981 03 26 26.634
1981 03 27 24.894
1981 03 28 27.491
1981 03 29 25.604
1981 03 30 29.491
1981 03 31 28.308
1981 04 01 29.643
1981 04 02 25.354
1981 04 03 27.657
1981 04 04 28.599
1981 04 05 28.702
1981 04 06 28.872
1981 04 07 28.874
1981 04 08 28.877
1981 04 09 29.700
1981 04 10 30.737
1981 04 11 29.820
1981 04 12 29.796
1981 04 13 29.752
1981 04 14 29.874
1981 04 15 29.682
1981 04 16 29.026
1981 04 17 28.629
1981 04 18 25.765
1981 04 19 25.212
1981 04 20 22.119
1981 04 21 27.762
1981 04 22 26.171
1981 04 23 28.006
1981 04 24 27.868
1981 04 25 28.808
1981 04 26 28.820
1981 04 27 28.963
1981 04 28 27.998
1981 04 29 28.124
1981 04 30 28.760
1981 05 01 29.910
1981 05 02 28.900
1981 05 03 28.917
1981 05 04 28.975
1981 05 05 28.152
1981 05 06 28.006
1981 05 07 28.141
1981 05 08 27.977
1981 05 09 27.146
1981 05 10 28.009
1981 05 11 28.869
1981 05 12 28.130
1981 05 13 27.924
1981 05 14 28.003
1981 05 15 28.874
1981 05 16 30.873
1981 05 17 31.010
1981 05 18 28.973
1981 05 19 28.974
1981 05 20 28.978
1981 05 21 28.030
1981 05 22 26.991
1981 05 23 26.978
1981 05 24 27.864
1981 05 25 27.387
1981 05 26 29.898
1981 05 27 29.869
1981 05 28 29.872
1981 05 29 29.909
1981 05 30 29.923
1981 05 31 29.910
1981 06 01 29.074
1981 06 02 28.070
1981 06 03 29.014
1981 06 04 30.846
1981 06 05 31.044
1981 06 06 30.007
1981 06 07 27.751
1981 06 08 27.410
1981 06 09 28.960
1981 06 10 28.011
1981 06 11 28.076
1981 06 12 28.963
1981 06 13 29.048
1981 06 14 29.959
1981 06 15 29.799
1981 06 16 29.995
1981 06 17 30.944
1981 06 18 29.963
1981 06 19 30.962
1981 06 20 30.804
1981 06 21 29.795
1981 06 22 29.013
1981 06 23 27.119
1981 06 24 25.237
1981 06 25 28.795
1981 06 26 28.957
1981 06 27 27.797
1981 06 28 28.942
1981 06 29 30.014
1981 06 30 30.054
1981 07 01 30.920
1981 07 02 30.921
1981 07 03 31.865
1981 07 04 29.091
1981 07 05 28.922
1981 07 06 21.925
1981 07 07 20.352
1981 07 08 26.019
1981 07 09 27.972
1981 07 10 27.891
1981 07 11 29.868
1981 07 12 29.921
1981 07 13 30.862
1981 07 14 29.875
1981 07 15 28.890
1981 07 16 28.919
1981 07 17 29.920
1981 07 18 30.918
1981 07 19 31.440
1981 07 20 31.861
1981 07 21 30.862
1981 07 22 30.977
1981 07 23 30.973
1981 07 24 29.024
1981 07 25 28.035
1981 07 26 28.977
1981 07 27 28.974
1981 07 28 29.921
1981 07 29 29.974
1981 07 30 29.974
1981 07 31 29.891
1981 08 01 30.304
1981 08 02 31.159
1981 08 03 31.216
1981 08 04 30.157
1981 08 05 31.103
1981 08 06 30.158
1981 08 07 30.212
1981 08 08 30.972
1981 08 09 31.217
1981 08 10 32.157
1981 08 11 31.423
1981 08 12 31.362
1981 08 13 32.145
1981 08 14 35.075
1981 08 15 36.075
1981 08 16 36.048
1981 08 17 34.103
1981 08 18 30.284
1981 08 19 25.174
1981 08 20 31.157
1981 08 21 30.091
1981 08 22 29.312
1981 08 23 29.380
1981 08 24 30.273
1981 08 25 32.210
1981 08 26 34.207
1981 08 27 34.159
1981 08 28 34.190
1981 08 29 33.344
1981 08 30 34.047
1981 08 31 34.185
1981 09 01 31.173
1981 09 02 32.088
1981 09 03 32.545
1981 09 04 33.916
1981 09 05 34.977
1981 09 06 33.865
1981 09 07 33.921
1981 09 08 31.759
1981 09 09 30.979
1981 09 10 31.973
1981 09 11 31.112
1981 09 12 32.983
1981 09 13 34.812
1981 09 14 34.922
1981 09 15 33.624
1981 09 16 34.710
1981 09 17 35.865
1981 09 18 33.980
1981 09 19 33.815
1981 09 20 33.973
1981 09 21 34.945
1981 09 22 35.209
1981 09 23 33.026
1981 09 24 33.032
1981 09 25 33.980
1981 09 26 34.922
1981 09 27 34.453
1981 09 28 34.922
1981 09 29 34.870
1981 09 30 33.918
1981 10 01 27.312
1981 10 02 30.333
1981 10 03 30.156
1981 10 04 26.398
1981 10 05 32.382
1981 10 06 32.398
1981 10 07 33.230
1981 10 08 33.286
1981 10 09 32.340
1981 10 10 32.072
1981 10 11 31.956
1981 10 12 32.165
1981 10 13 27.548
1981 10 14 32.227
1981 10 15 34.274
1981 10 16 35.254
1981 10 17 34.255
1981 10 18 31.439
1981 10 19 31.169
1981 10 20 33.229
1981 10 21 34.214
1981 10 22 30.237
1981 10 23 28.390
1981 10 24 28.176
1981 10 25 32.172
1981 10 26 33.339
1981 10 27 33.395
1981 10 28 28.064
1981 10 29 31.371
1981 10 30 25.557
1981 10 31 25.168
1981 11 01 29.424
1981 11 02 27.429
1981 11 03 29.663
1981 11 04 32.591
1981 11 05 27.540
1981 11 06 29.590
1981 11 07 29.259
1981 11 08 29.573
1981 11 09 33.878
