gauge_id elev_gauge elev_mean slope_mean area
10500000 74.00000 154.40630 7.96140 61581.51000
11400000 61.00000 1146.48310 89.92080 1018679.00000
11500000 48.00000 1046.19130 81.89670 1144059.00000
12370000 220.00000 309.20440 12.96140 16184.38000
12500000 178.00000 272.07130 10.79750 38019.14000
12520000 149.00000 254.79590 10.01690 55632.32000
12700000 94.00000 238.54150 10.51350 143941.20000
13150000 20.00000 741.53210 57.47350 1781442.00000
13470000 191.00000 300.15200 12.27960 7215.19800
13600002 135.00000 250.95730 12.59500 23517.72000
13710001 104.00000 250.92950 12.29130 105814.30000
13750000 112.00000 225.77590 11.43570 154834.00000
13870000 51.00000 194.30830 10.55820 227861.40000
13880000 43.00000 189.84270 10.36910 237654.60000
14100000 6.00000 627.70190 48.20340 2200203.00000
14110000 80.00000 233.30130 21.72620 74513.71000
14230000 78.00000 160.63650 10.11850 23497.75000
14250000 80.00000 194.02050 16.42500 123844.40000
14260000 85.00000 215.32600 10.53740 39726.65000
14280001 73.00000 206.69520 10.36680 43867.04000
14310000 99.00000 156.67310 7.51790 4556.99500
14330000 64.00000 187.59340 14.06430 193303.70000
14350000 84.00000 105.96210 7.16310 13454.33000
14440000 52.00000 217.04250 36.61350 17771.58000
14515000 85.00000 417.06510 42.76830 49360.72000
14526000 80.00000 187.81920 21.82020 10020.33000
14680001 81.00000 395.74540 36.66500 12473.34000
15030000 6.00000 512.29860 40.90040 2930404.00000
15130000 170.00000 343.35420 25.29930 55983.24000
15400000 52.00000 642.37340 51.28620 995526.50000
15550000 68.00000 155.10460 19.81230 12376.43000
15700000 26.00000 570.89600 45.98770 1173701.00000
15800000 60.00000 203.69620 22.60790 70460.28000
15910000 43.00000 169.06300 24.86970 12688.68000
15930000 110.00000 178.36970 24.95360 5014.57000
17050001 10.00000 480.05210 39.42790 4720020.00000
17090000 19.00000 356.64170 37.18950 19697.75000
17200000 350.00000 473.73260 22.39250 10878.80000
17345000 457.00000 544.47780 23.85870 493.68630
17350000 300.00000 446.08650 35.97050 1009.80300
18200000 16.00000 350.77050 40.15950 12420.47000
18850000 89.00000 315.00840 23.69420 452452.10000
19150000 37.00000 275.56070 32.30070 51766.67000
20200000 568.00000 729.73100 36.18150 3668.81500
20250000 550.00000 730.45470 40.41110 10616.05000
21500000 419.00000 656.03140 39.85140 22854.52000
21750000 396.00000 671.71760 58.33480 1077.90000
22050001 233.00000 637.62090 45.57260 129156.20000
22500000 179.00000 549.06500 39.43780 187108.30000
22680000 224.00000 474.70940 25.05110 16951.10000
22700000 223.00000 463.92410 24.78480 18075.82000
22850000 201.00000 317.26540 20.82570 9412.25000
22900000 198.00000 406.27020 27.03460 44065.08000
23100000 168.00000 507.89310 36.21780 245742.30000
23150000 195.00000 275.52020 17.52540 2855.06600
23220000 254.00000 386.51980 20.10960 2980.43000
23230000 208.00000 332.02180 30.60680 4071.93700
23250000 184.00000 336.98900 27.04380 10025.80000
23300000 177.00000 481.25300 34.48000 278649.70000
23600000 148.00000 471.23980 34.21360 293998.40000
23700000 121.00000 465.16580 33.80890 302057.10000
23710000 122.00000 465.12570 33.80710 302107.80000
24050000 655.00000 776.75100 30.27480 2094.74000
24200000 313.00000 640.95920 37.87080 18467.51000
24500000 395.00000 602.23820 40.33440 5188.32300
24700000 294.00000 576.00030 37.71970 36855.57000
24750000 361.00000 650.16930 45.82070 6484.95000
24780000 349.00000 650.96070 39.77870 1334.36800
24800000 293.00000 578.28870 41.63150 12082.53000
24850000 287.00000 570.88060 38.25380 50231.80000
24900000 447.00000 648.30310 39.04520 2068.53200
24950000 304.00000 557.78710 41.66240 9084.48100
25100000 434.00000 658.96200 67.27070 232.55480
25130000 296.00000 458.95770 37.85480 5316.76400
25200000 252.00000 521.97700 34.92400 77159.90000
25700000 244.00000 484.70000 31.62180 93500.15000
25950000 215.00000 453.18710 29.39530 118346.00000
26040000 555.00000 676.10270 17.27940 5241.03200
26050000 346.00000 612.34770 19.16960 17517.37000
26100000 263.00000 564.09110 22.96600 25171.60000
26200000 229.00000 479.30430 20.63840 40779.91000
26300000 200.00000 413.06770 17.43620 59545.41000
26350000 190.00000 418.88780 23.24800 198426.90000
26720000 208.00000 267.19050 13.09540 6688.95900
27500000 162.00000 342.51090 19.07380 330989.30000
27550000 173.00000 239.41830 18.65740 1198.71700
28150000 164.00000 253.92180 23.69830 1587.48500
28300000 124.00000 327.98120 19.13720 377622.00000
28850000 102.00000 324.43800 19.30630 389438.20000
29050000 83.00000 380.36490 25.40310 709486.90000
29100000 103.00000 270.18500 38.19280 37541.79000
29700000 26.00000 366.85490 25.77250 774134.60000
30080000 75.00000 173.59210 13.97650 10153.80000
30400000 74.00000 176.45710 18.74100 30519.53000
31490000 40.00000 79.55550 14.89440 3421.23500
31520000 19.00000 75.10450 14.29380 4937.20900
31600000 64.00000 79.39640 8.03300 36.08910
31680000 40.00000 162.65150 24.08230 26257.79000
31700000 37.00000 145.99510 22.86190 32913.40000
32400000 35.00000 82.74060 14.77020 1777.99600
32550000 53.00000 129.42230 23.48460 4640.44000
32620000 11.00000 144.37450 19.68980 32825.99000
32830000 20.00000 72.54950 11.70250 3892.60700
33025000 136.00000 265.70850 28.33790 5496.67600
33170000 34.00000 229.83630 42.47520 5872.54300
33190000 10.00000 198.49550 30.46450 35353.15000
33205000 173.00000 338.08990 28.27450 3757.06900
33215000 142.00000 287.49070 27.44520 3030.53100
33250000 85.00000 273.48490 26.33170 13186.40000
33260000 59.00000 259.62460 26.52920 15465.18000
33270000 105.00000 212.14610 26.32590 1332.01000
33281000 27.00000 221.40750 26.02670 24096.01000
33286000 22.00000 213.79540 25.52770 25382.44000
33290000 16.00000 211.70810 25.32640 25685.92000
33321000 144.00000 308.19460 23.27410 4509.10300
33330000 124.00000 245.22260 24.85590 3610.73900
33380000 16.00000 211.69170 29.46050 20359.21000
33450000 207.00000 379.30480 32.17630 5793.19200
33460000 193.00000 358.37480 31.33480 6895.58700
33480000 135.00000 365.00680 34.22590 14955.43000
33520000 121.00000 281.66090 34.24410 5308.43000
33530000 97.00000 307.79680 31.35650 27258.15000
33550000 62.00000 282.22930 29.26910 32625.93000
33620000 48.00000 123.22890 18.20520 5493.11300
33630000 33.00000 238.43790 25.98650 43754.68000
33680000 20.00000 217.78040 24.57520 49821.12000
33730000 22.00000 88.45710 16.44700 4226.61400
33760000 50.00000 88.13150 10.11770 3977.09700
33780000 20.00000 82.59290 14.85380 12610.42000
34020000 276.00000 471.57890 31.66340 12958.82000
34060000 199.00000 446.65610 31.49460 31450.87000
34070000 184.00000 439.11380 30.57380 35393.50000
34090000 185.00000 474.87720 27.54600 15632.27000
34130000 240.00000 456.66010 28.46250 8993.61800
34170000 178.00000 382.82550 26.20660 24771.65000
34251000 249.00000 475.97060 29.01430 31120.60000
34311000 108.00000 417.59820 28.41600 140746.60000
34571000 143.00000 388.74370 22.80310 34622.28000
34660000 85.00000 392.77800 26.84280 236206.30000
34690000 60.00000 390.48970 26.81270 238641.90000
34730000 542.00000 777.32190 38.81050 1009.62000
34750000 126.00000 419.38350 30.21360 19171.48000
