year month day streamflow_m3s qual_control_by_ana qual_flag
1965 08 01 36.799000 1 1
1965 08 02 35.917000 1 1
1965 08 03 35.917000 1 1
1965 08 04 35.917000 1 1
1965 08 05 36.357000 1 1
1965 08 06 37.690000 1 1
1965 08 07 37.690000 1 1
1965 08 08 36.357000 1 1
1965 08 09 35.479000 1 1
1965 08 10 35.043000 1 1
1965 08 11 34.609000 1 1
1965 08 12 34.609000 1 1
1965 08 13 34.177000 1 1
1965 08 14 33.747000 1 1
1965 08 15 33.747000 1 1
1965 08 16 32.894000 1 1
1965 08 17 32.471000 1 1
1965 08 18 32.049000 1 1
1965 08 19 32.049000 1 1
1965 08 20 31.630000 1 1
1965 08 21 31.213000 1 1
1965 08 22 29.975000 1 1
1965 08 23 29.566000 1 1
1965 08 24 29.566000 1 1
1965 08 25 28.756000 1 1
1965 08 26 29.160000 1 1
1965 08 27 29.160000 1 1
1965 08 28 28.756000 1 1
1965 08 29 28.354000 1 1
1965 08 30 28.354000 1 1
1965 08 31 28.354000 1 1
1965 09 01 27.954000 1 1
1965 09 02 27.161000 1 1
1965 09 03 26.768000 1 1
1965 09 04 26.768000 1 1
1965 09 05 26.377000 1 1
1965 09 06 26.377000 1 1
1965 09 07 25.988000 1 1
1965 09 08 25.601000 1 1
1965 09 09 25.601000 1 1
1965 09 10 25.217000 1 1
1965 09 11 25.217000 1 1
1965 09 12 24.835000 1 1
1965 09 13 24.078000 1 1
1965 09 14 24.078000 1 1
1965 09 15 24.078000 1 1
1965 09 16 24.078000 1 1
1965 09 17 23.702000 1 1
1965 09 18 23.702000 1 1
1965 09 19 23.329000 1 1
1965 09 20 23.329000 1 1
1965 09 21 23.329000 1 1
1965 09 22 23.329000 1 1
1965 09 23 23.329000 1 1
1965 09 24 24.078000 1 1
1965 09 25 27.954000 1 1
1965 09 26 32.471000 1 1
1965 09 27 31.213000 1 1
1965 09 28 32.049000 1 1
1965 09 29 45.105000 1 1
1965 09 30 51.501000 1 1
1965 10 01 55.597000 1 1
1965 10 02 73.158000 1 1
1965 10 03 156.631000 1 1
1965 10 04 98.275000 1 1
1965 10 05 65.247000 1 1
1965 10 06 41.798000 1 1
1965 10 07 35.043000 1 1
1965 10 08 32.894000 1 1
1965 10 09 31.213000 1 1
1965 10 10 29.975000 1 1
1965 10 11 29.566000 1 1
1965 10 12 29.566000 1 1
1965 10 13 30.798000 1 1
1965 10 14 37.243000 1 1
1965 10 15 46.068000 1 1
1965 10 16 56.640000 1 1
1965 10 17 82.620000 1 1
1965 10 18 52.006000 1 1
1965 10 19 39.952000 1 1
1965 10 20 37.243000 1 1
1965 10 21 35.043000 1 1
1965 10 22 34.609000 1 1
1965 10 23 54.561000 1 1
1965 10 24 45.585000 1 1
1965 10 25 35.479000 1 1
1965 10 26 43.203000 1 1
1965 10 27 47.038000 1 1
1965 10 28 85.667000 1 1
1965 10 29 66.356000 1 1
1965 10 30 55.078000 1 1
1965 10 31 69.159000 1 1
1965 11 01 138.480000 1 1
1965 11 02 124.021000 1 1
1965 11 03 68.595000 1 1
1965 11 04 52.006000 1 1
1965 11 05 43.676000 1 1
1965 11 06 39.041000 1 1
1965 11 07 35.479000 1 1
1965 11 08 35.043000 1 1
1965 11 09 34.609000 1 1
1965 11 10 34.609000 1 1
1965 11 11 34.609000 1 1
1965 11 12 65.247000 1 1
1965 11 13 47.526000 1 1
1965 11 14 54.561000 1 1
1965 11 15 59.813000 1 1
1965 11 16 105.490000 1 1
1965 11 17 101.530000 1 1
1965 11 18 91.888000 1 1
1965 11 19 95.700000 1 1
1965 11 20 112.900000 1 1
