year month day simulated_streamflow_m3s
1980 01 01 13529.3721
1980 01 02 13596.5186
1980 01 03 13746.6396
1980 01 04 14025.4561
1980 01 05 14529.3213
1980 01 06 15409.1768
1980 01 07 16366.0020
1980 01 08 17049.1016
1980 01 09 17316.7422
1980 01 10 17451.4961
1980 01 11 17660.3965
1980 01 12 18424.2930
1980 01 13 19850.0801
1980 01 14 21145.5508
1980 01 15 22464.0176
1980 01 16 23771.8359
1980 01 17 24339.0957
1980 01 18 24735.7051
1980 01 19 25208.7754
1980 01 20 25394.7754
1980 01 21 25578.0352
1980 01 22 25663.9883
1980 01 23 25584.6152
1980 01 24 24869.3828
1980 01 25 23703.6289
1980 01 26 22511.7266
1980 01 27 21660.2578
1980 01 28 21540.9062
1980 01 29 21925.4297
1980 01 30 22543.9492
1980 01 31 23049.1953
1980 02 01 23377.5293
1980 02 02 23643.9570
1980 02 03 24520.6094
1980 02 04 25976.0371
1980 02 05 27337.0020
1980 02 06 28397.5332
1980 02 07 29715.8281
1980 02 08 30687.8242
1980 02 09 31428.9414
1980 02 10 32232.9102
1980 02 11 33281.0898
1980 02 12 34078.2695
1980 02 13 35246.2812
1980 02 14 36431.5391
1980 02 15 37505.2617
1980 02 16 39146.8672
1980 02 17 40593.3828
1980 02 18 41680.3672
1980 02 19 42894.6875
1980 02 20 44555.5703
1980 02 21 46253.8516
1980 02 22 48199.8164
1980 02 23 50056.7383
1980 02 24 51791.6680
1980 02 25 53362.4258
1980 02 26 54733.7422
1980 02 27 56104.6680
1980 02 28 57869.1094
1980 02 29 58947.2773
1980 03 01 59678.2930
1980 03 02 60509.7656
1980 03 03 60792.1289
1980 03 04 60675.9805
1980 03 05 60585.2617
1980 03 06 60146.0352
1980 03 07 59447.3438
1980 03 08 58620.1367
1980 03 09 57644.5352
1980 03 10 56503.0703
1980 03 11 55322.9570
1980 03 12 54197.9492
1980 03 13 52947.4766
1980 03 14 51508.6133
1980 03 15 49834.4375
1980 03 16 47987.3867
1980 03 17 45644.3320
1980 03 18 42840.9570
1980 03 19 40672.0859
1980 03 20 38944.6875
1980 03 21 37535.8438
1980 03 22 36431.7852
1980 03 23 35621.4922
1980 03 24 34925.2266
1980 03 25 34194.1289
1980 03 26 33349.4336
1980 03 27 32535.6738
1980 03 28 31737.3262
1980 03 29 31019.8457
1980 03 30 30304.4492
1980 03 31 29669.6133
1980 04 01 29097.6582
1980 04 02 28594.7246
1980 04 03 28306.7344
1980 04 04 28260.2188
1980 04 05 28531.6719
1980 04 06 29054.2129
1980 04 07 29697.6797
1980 04 08 30453.7520
1980 04 09 30969.7949
1980 04 10 31509.3750
1980 04 11 32037.6523
1980 04 12 32223.5234
1980 04 13 32286.4629
1980 04 14 32091.4590
1980 04 15 32057.3613
1980 04 16 31860.6738
1980 04 17 31614.0977
1980 04 18 31258.7188
1980 04 19 30808.0625
1980 04 20 30167.9258
1980 04 21 29460.5059
1980 04 22 28728.1074
1980 04 23 28007.7031
1980 04 24 27290.6777
1980 04 25 26613.6523
1980 04 26 26009.8242
1980 04 27 25869.7656
1980 04 28 25430.7578
1980 04 29 24788.0898
1980 04 30 24088.0195
1980 05 01 23362.4863
1980 05 02 22624.1445
1980 05 03 21978.5762
1980 05 04 21442.6816
1980 05 05 20898.3398
1980 05 06 20630.1094
1980 05 07 20295.6465
1980 05 08 19958.2246
1980 05 09 19653.3574
1980 05 10 19339.3008
1980 05 11 18983.4297
1980 05 12 18542.1875
1980 05 13 18059.0234
1980 05 14 17572.7344
1980 05 15 17095.4668
1980 05 16 16645.6777
1980 05 17 16281.9951
