year month day precipitation_mswep
1980 01 01 0.324
1980 01 02 0.000
1980 01 03 0.000
1980 01 04 0.000
1980 01 05 0.000
1980 01 06 1.383
1980 01 07 24.769
1980 01 08 6.343
1980 01 09 4.048
1980 01 10 1.561
1980 01 11 4.159
1980 01 12 6.567
1980 01 13 0.000
1980 01 14 0.000
1980 01 15 0.000
1980 01 16 5.577
1980 01 17 1.424
1980 01 18 31.190
1980 01 19 2.647
1980 01 20 0.045
1980 01 21 0.005
1980 01 22 0.000
1980 01 23 0.794
1980 01 24 31.094
1980 01 25 0.000
1980 01 26 0.000
1980 01 27 0.000
1980 01 28 3.426
1980 01 29 0.025
1980 01 30 2.792
1980 01 31 9.390
1980 02 01 3.314
1980 02 02 0.104
1980 02 03 0.000
1980 02 04 0.000
1980 02 05 7.375
1980 02 06 12.425
1980 02 07 0.859
1980 02 08 0.000
1980 02 09 0.000
1980 02 10 16.305
1980 02 11 7.240
1980 02 12 0.000
1980 02 13 0.760
1980 02 14 0.000
1980 02 15 1.609
1980 02 16 0.436
1980 02 17 54.789
1980 02 18 0.984
1980 02 19 0.084
1980 02 20 0.269
1980 02 21 0.965
1980 02 22 10.169
1980 02 23 36.095
1980 02 24 17.880
1980 02 25 17.062
1980 02 26 25.521
1980 02 27 8.245
1980 02 28 0.000
1980 02 29 10.235
1980 03 01 13.088
1980 03 02 7.314
1980 03 03 5.280
1980 03 04 9.276
1980 03 05 3.938
1980 03 06 11.364
1980 03 07 14.393
1980 03 08 2.737
1980 03 09 0.504
1980 03 10 0.083
1980 03 11 4.751
1980 03 12 11.415
1980 03 13 5.662
1980 03 14 0.031
1980 03 15 0.000
1980 03 16 0.001
1980 03 17 0.465
1980 03 18 0.050
1980 03 19 0.000
1980 03 20 0.000
1980 03 21 0.000
1980 03 22 0.000
1980 03 23 0.000
1980 03 24 5.105
1980 03 25 6.635
1980 03 26 16.916
1980 03 27 2.172
1980 03 28 0.726
1980 03 29 5.166
1980 03 30 0.405
1980 03 31 0.005
1980 04 01 0.000
1980 04 02 0.009
1980 04 03 0.000
1980 04 04 0.185
1980 04 05 0.000
1980 04 06 0.052
1980 04 07 0.001
1980 04 08 0.000
1980 04 09 0.006
1980 04 10 6.987
1980 04 11 0.105
1980 04 12 23.370
1980 04 13 14.799
1980 04 14 27.302
1980 04 15 0.000
1980 04 16 0.000
1980 04 17 0.000
1980 04 18 0.864
1980 04 19 0.209
1980 04 20 0.026
1980 04 21 0.007
1980 04 22 0.000
1980 04 23 0.000
1980 04 24 0.000
1980 04 25 0.000
1980 04 26 0.000
1980 04 27 0.030
1980 04 28 0.000
1980 04 29 0.000
1980 04 30 0.000
1980 05 01 50.221
1980 05 02 2.922
1980 05 03 3.607
1980 05 04 0.000
1980 05 05 0.000
1980 05 06 0.974
1980 05 07 22.639
1980 05 08 8.412
1980 05 09 6.751
1980 05 10 19.545
1980 05 11 0.041
1980 05 12 0.000
1980 05 13 0.000
1980 05 14 0.000
1980 05 15 0.000
1980 05 16 0.974
1980 05 17 1.909
1980 05 18 0.007
1980 05 19 0.820
1980 05 20 2.741
1980 05 21 4.973
1980 05 22 2.189
1980 05 23 0.010
1980 05 24 0.000
1980 05 25 0.025
1980 05 26 0.000
1980 05 27 0.000
1980 05 28 0.449
1980 05 29 1.897
1980 05 30 1.340
1980 05 31 2.344
1980 06 01 3.072
1980 06 02 0.000
1980 06 03 0.005
1980 06 04 0.000
1980 06 05 0.000
1980 06 06 0.000
1980 06 07 0.000
1980 06 08 0.000
1980 06 09 0.000
1980 06 10 0.000
1980 06 11 0.223
1980 06 12 0.417
1980 06 13 8.801
1980 06 14 0.133
1980 06 15 0.000
1980 06 16 0.000
1980 06 17 0.000
1980 06 18 0.000
1980 06 19 4.649
1980 06 20 3.776
1980 06 21 1.320
1980 06 22 0.010
1980 06 23 0.000
1980 06 24 13.681
1980 06 25 16.509
1980 06 26 6.184
1980 06 27 0.000
1980 06 28 0.000
1980 06 29 0.000
1980 06 30 11.043
1980 07 01 0.249
1980 07 02 0.050
1980 07 03 3.385
1980 07 04 0.829
1980 07 05 0.000
1980 07 06 0.000
1980 07 07 0.000
1980 07 08 21.521
1980 07 09 0.000
1980 07 10 0.000
1980 07 11 0.000
1980 07 12 0.001
1980 07 13 4.186
1980 07 14 6.779
1980 07 15 0.000
1980 07 16 0.000
1980 07 17 0.000
1980 07 18 0.000
1980 07 19 0.000
1980 07 20 6.575
1980 07 21 0.445
1980 07 22 0.000
1980 07 23 0.000
1980 07 24 0.000
1980 07 25 0.000
1980 07 26 9.850
1980 07 27 3.118
1980 07 28 17.379
1980 07 29 128.312
1980 07 30 13.805
1980 07 31 0.000
1980 08 01 0.000
1980 08 02 0.000
1980 08 03 0.000
1980 08 04 0.000
1980 08 05 3.388
1980 08 06 8.231
1980 08 07 0.335
1980 08 08 0.000
1980 08 09 0.000
1980 08 10 0.000
1980 08 11 0.000
1980 08 12 0.000
1980 08 13 0.000
1980 08 14 0.000
1980 08 15 0.000
1980 08 16 0.000
1980 08 17 15.806
1980 08 18 39.491
1980 08 19 57.398
1980 08 20 27.834
1980 08 21 49.304
1980 08 22 58.860
1980 08 23 0.000
1980 08 24 0.000
1980 08 25 0.000
1980 08 26 0.214
1980 08 27 0.000
1980 08 28 0.000
1980 08 29 0.000
1980 08 30 0.000
1980 08 31 4.506
1980 09 01 30.523
1980 09 02 1.799
1980 09 03 0.000
1980 09 04 0.000
1980 09 05 0.000
1980 09 06 0.000
1980 09 07 0.000
1980 09 08 8.706
1980 09 09 17.460
1980 09 10 0.001
1980 09 11 0.000
1980 09 12 0.000
1980 09 13 0.000
1980 09 14 0.650
1980 09 15 17.155
1980 09 16 0.642
1980 09 17 0.000
1980 09 18 0.043
1980 09 19 0.546
1980 09 20 11.244
1980 09 21 16.304
1980 09 22 0.005
1980 09 23 0.000
1980 09 24 0.000
1980 09 25 0.000
1980 09 26 0.000
1980 09 27 0.000
1980 09 28 24.540
1980 09 29 0.601
1980 09 30 0.000
1980 10 01 0.000
1980 10 02 0.000
1980 10 03 0.000
1980 10 04 12.656
1980 10 05 0.018
1980 10 06 0.000
1980 10 07 0.000
1980 10 08 7.750
1980 10 09 0.000
1980 10 10 0.006
1980 10 11 1.001
1980 10 12 0.714
1980 10 13 0.000
1980 10 14 0.018
1980 10 15 0.000
1980 10 16 0.000
1980 10 17 0.000
1980 10 18 26.486
1980 10 19 10.902
1980 10 20 34.837
1980 10 21 7.840
1980 10 22 28.429
1980 10 23 0.703
1980 10 24 0.000
1980 10 25 0.000
1980 10 26 14.784
1980 10 27 25.185
1980 10 28 17.101
1980 10 29 1.089
1980 10 30 14.189
1980 10 31 0.000
1980 11 01 0.000
1980 11 02 0.000
1980 11 03 0.000
1980 11 04 0.000
1980 11 05 1.011
1980 11 06 45.587
1980 11 07 1.366
1980 11 08 5.671
1980 11 09 43.572
1980 11 10 5.866
1980 11 11 0.016
1980 11 12 0.000
1980 11 13 0.000
1980 11 14 0.000
1980 11 15 0.000
1980 11 16 0.136
1980 11 17 0.000
1980 11 18 0.000
1980 11 19 1.604
1980 11 20 9.086
1980 11 21 6.371
1980 11 22 21.909
1980 11 23 2.229
1980 11 24 0.004
1980 11 25 0.000
1980 11 26 0.000
1980 11 27 0.000
1980 11 28 0.824
1980 11 29 13.995
1980 11 30 29.601
1980 12 01 11.666
1980 12 02 37.907
1980 12 03 15.363
1980 12 04 9.510
1980 12 05 4.247
1980 12 06 0.059
1980 12 07 0.000
1980 12 08 0.000
1980 12 09 0.030
1980 12 10 43.955
1980 12 11 19.207
1980 12 12 6.258
1980 12 13 0.611
1980 12 14 0.816
1980 12 15 0.000
1980 12 16 0.000
1980 12 17 0.000
1980 12 18 12.062
1980 12 19 35.441
1980 12 20 45.881
1980 12 21 6.141
