year month day precipitation_cpc
1980 01 01 13.009
1980 01 02 44.325
1980 01 03 42.692
1980 01 04 1.305
1980 01 05 1.188
1980 01 06 0.578
1980 01 07 5.734
1980 01 08 1.261
1980 01 09 1.760
1980 01 10 0.695
1980 01 11 0.740
1980 01 12 16.797
1980 01 13 10.809
1980 01 14 22.576
1980 01 15 33.421
1980 01 16 28.148
1980 01 17 22.772
1980 01 18 5.121
1980 01 19 0.362
1980 01 20 0.180
1980 01 21 3.702
1980 01 22 7.388
1980 01 23 0.086
1980 01 24 0.000
1980 01 25 0.442
1980 01 26 3.055
1980 01 27 9.830
1980 01 28 10.370
1980 01 29 13.723
1980 01 30 11.881
1980 01 31 0.352
1980 02 01 0.000
1980 02 02 0.157
1980 02 03 23.438
1980 02 04 14.375
1980 02 05 1.565
1980 02 06 0.061
1980 02 07 0.000
1980 02 08 0.661
1980 02 09 1.097
1980 02 10 5.466
1980 02 11 0.031
1980 02 12 0.131
1980 02 13 0.299
1980 02 14 2.896
1980 02 15 9.623
1980 02 16 10.768
1980 02 17 7.489
1980 02 18 8.861
1980 02 19 5.382
1980 02 20 10.353
1980 02 21 13.170
1980 02 22 9.589
1980 02 23 0.183
1980 02 24 2.529
1980 02 25 4.790
1980 02 26 0.422
1980 02 27 2.730
1980 02 28 5.230
1980 02 29 2.122
1980 03 01 1.384
1980 03 02 1.928
1980 03 03 5.724
1980 03 04 3.911
1980 03 05 3.225
1980 03 06 2.056
1980 03 07 0.745
1980 03 08 0.807
1980 03 09 0.028
1980 03 10 0.000
1980 03 11 0.000
1980 03 12 0.010
1980 03 13 0.000
1980 03 14 0.429
1980 03 15 21.971
1980 03 16 3.995
1980 03 17 0.208
1980 03 18 0.130
1980 03 19 0.055
1980 03 20 0.188
1980 03 21 0.666
1980 03 22 0.792
1980 03 23 2.202
1980 03 24 1.409
1980 03 25 0.000
1980 03 26 0.000
1980 03 27 0.161
1980 03 28 0.000
1980 03 29 0.000
1980 03 30 0.405
1980 03 31 8.062
1980 04 01 24.444
1980 04 02 4.885
1980 04 03 2.493
1980 04 04 3.431
1980 04 05 0.000
1980 04 06 0.235
1980 04 07 4.472
1980 04 08 18.717
1980 04 09 1.238
1980 04 10 10.104
1980 04 11 4.416
1980 04 12 2.001
1980 04 13 0.016
1980 04 14 33.974
1980 04 15 0.427
1980 04 16 17.873
1980 04 17 24.883
1980 04 18 27.110
1980 04 19 2.104
1980 04 20 1.728
1980 04 21 3.362
1980 04 22 0.735
1980 04 23 2.943
1980 04 24 2.353
1980 04 25 2.083
1980 04 26 1.437
1980 04 27 3.349
1980 04 28 1.309
1980 04 29 1.033
1980 04 30 0.448
1980 05 01 0.132
1980 05 02 0.172
1980 05 03 1.830
1980 05 04 25.813
1980 05 05 0.424
1980 05 06 1.030
1980 05 07 0.007
1980 05 08 0.009
1980 05 09 0.000
1980 05 10 0.000
1980 05 11 0.033
1980 05 12 0.250
1980 05 13 2.569
1980 05 14 6.551
1980 05 15 3.491
1980 05 16 1.523
1980 05 17 0.395
1980 05 18 2.990
1980 05 19 6.611
1980 05 20 7.376
1980 05 21 1.615
1980 05 22 0.095
1980 05 23 0.000
1980 05 24 0.811
1980 05 25 1.065
1980 05 26 0.992
1980 05 27 1.313
1980 05 28 0.059
1980 05 29 0.028
1980 05 30 0.011
1980 05 31 2.229
1980 06 01 0.591
1980 06 02 3.218
1980 06 03 0.053
1980 06 04 0.195
1980 06 05 0.157
1980 06 06 0.585
1980 06 07 0.780
1980 06 08 0.517
1980 06 09 2.739
1980 06 10 1.724
1980 06 11 3.257
1980 06 12 0.000
1980 06 13 0.000
1980 06 14 0.000
1980 06 15 0.636
1980 06 16 1.273
1980 06 17 1.258
1980 06 18 0.588
1980 06 19 0.937
1980 06 20 0.258
1980 06 21 2.091
1980 06 22 2.401
1980 06 23 7.769
1980 06 24 0.408
1980 06 25 0.031
1980 06 26 0.052
1980 06 27 0.787
1980 06 28 0.017
1980 06 29 0.000
1980 06 30 0.000
1980 07 01 0.000
1980 07 02 0.000
1980 07 03 0.108
1980 07 04 0.000
1980 07 05 0.483
1980 07 06 0.914
1980 07 07 0.143
1980 07 08 0.675
1980 07 09 11.257
1980 07 10 0.391
1980 07 11 0.089
1980 07 12 0.202
1980 07 13 0.000
1980 07 14 0.000
1980 07 15 0.000
1980 07 16 0.566
1980 07 17 0.036
1980 07 18 0.000
1980 07 19 0.000
1980 07 20 0.007
1980 07 21 0.000
1980 07 22 0.000
1980 07 23 0.505
1980 07 24 5.062
1980 07 25 0.099
1980 07 26 0.000
1980 07 27 0.011
1980 07 28 0.013
1980 07 29 0.107
1980 07 30 2.077
1980 07 31 0.027
1980 08 01 2.144
1980 08 02 3.185
1980 08 03 0.465
1980 08 04 4.032
1980 08 05 6.069
1980 08 06 2.392
1980 08 07 0.149
1980 08 08 0.000
1980 08 09 0.185
1980 08 10 1.520
1980 08 11 0.684
1980 08 12 4.609
1980 08 13 2.569
1980 08 14 0.702
1980 08 15 1.183
1980 08 16 1.042
1980 08 17 0.514
1980 08 18 0.106
1980 08 19 1.054
1980 08 20 0.000
1980 08 21 0.000
1980 08 22 0.000
1980 08 23 0.000
1980 08 24 0.034
1980 08 25 0.000
1980 08 26 0.039
1980 08 27 1.108
1980 08 28 1.833
1980 08 29 1.077
1980 08 30 0.346
1980 08 31 0.000
1980 09 01 0.000
1980 09 02 0.000
1980 09 03 0.000
1980 09 04 0.000
1980 09 05 0.876
1980 09 06 0.914
1980 09 07 0.263
1980 09 08 0.376
1980 09 09 0.232
1980 09 10 0.000
1980 09 11 0.297
1980 09 12 0.468
1980 09 13 0.869
1980 09 14 0.000
1980 09 15 0.000
1980 09 16 0.223
1980 09 17 1.783
1980 09 18 1.652
1980 09 19 3.552
1980 09 20 0.421
1980 09 21 0.000
1980 09 22 0.512
1980 09 23 1.871
1980 09 24 0.102
1980 09 25 0.776
1980 09 26 6.653
1980 09 27 0.257
1980 09 28 0.038
1980 09 29 0.000
1980 09 30 0.376
1980 10 01 5.469
1980 10 02 6.063
1980 10 03 2.079
1980 10 04 0.383
1980 10 05 0.134
1980 10 06 1.151
1980 10 07 0.109
1980 10 08 0.597
1980 10 09 0.648
1980 10 10 0.093
1980 10 11 0.624
1980 10 12 5.870
1980 10 13 8.221
1980 10 14 1.495
1980 10 15 0.963
1980 10 16 1.758
1980 10 17 1.447
1980 10 18 0.993
1980 10 19 0.763
1980 10 20 0.089
1980 10 21 0.000
1980 10 22 0.000
1980 10 23 0.334
1980 10 24 0.320
1980 10 25 1.700
1980 10 26 0.000
1980 10 27 0.000
1980 10 28 0.000
1980 10 29 0.000
1980 10 30 0.799
1980 10 31 0.721
1980 11 01 10.826
1980 11 02 7.312
1980 11 03 0.927
1980 11 04 0.262
1980 11 05 2.157
1980 11 06 1.511
1980 11 07 0.000
1980 11 08 0.000
1980 11 09 2.748
1980 11 10 5.449
1980 11 11 0.637
1980 11 12 0.523
1980 11 13 12.349
1980 11 14 9.284
1980 11 15 0.064
1980 11 16 0.237
1980 11 17 1.113
1980 11 18 8.949
1980 11 19 0.730
1980 11 20 0.000
1980 11 21 0.692
1980 11 22 4.379
1980 11 23 3.387
1980 11 24 2.439
1980 11 25 11.616
1980 11 26 25.205
1980 11 27 0.586
1980 11 28 1.109
1980 11 29 0.240
1980 11 30 0.278
1980 12 01 3.531
1980 12 02 23.898
1980 12 03 37.358
1980 12 04 48.237
1980 12 05 3.514
1980 12 06 23.309
1980 12 07 11.070
1980 12 08 13.647
1980 12 09 31.410
1980 12 10 29.946
1980 12 11 1.465
1980 12 12 6.511
1980 12 13 14.109
1980 12 14 35.245
1980 12 15 5.418
1980 12 16 6.732
1980 12 17 2.019
1980 12 18 0.000
1980 12 19 0.093
1980 12 20 2.442
1980 12 21 0.049
1980 12 22 0.000
1980 12 23 0.572
1980 12 24 0.542
1980 12 25 0.288
1980 12 26 0.112
1980 12 27 4.334
1980 12 28 2.137
1980 12 29 0.026
1980 12 30 8.752
1980 12 31 17.078
1981 01 01 42.940
1981 01 02 3.815
1981 01 03 0.633
1981 01 04 0.306
1981 01 05 0.358
1981 01 06 0.328
1981 01 07 0.007
1981 01 08 1.784
1981 01 09 8.147
1981 01 10 14.549
1981 01 11 2.107
1981 01 12 5.172
1981 01 13 17.118
1981 01 14 3.346
1981 01 15 0.660
1981 01 16 0.226
1981 01 17 0.037
1981 01 18 0.126
1981 01 19 0.016
1981 01 20 0.029
1981 01 21 0.000
1981 01 22 2.064
1981 01 23 6.165
1981 01 24 3.574
1981 01 25 8.957
1981 01 26 21.940
1981 01 27 7.185
1981 01 28 10.175
1981 01 29 6.832
1981 01 30 9.907
1981 01 31 4.434
1981 02 01 2.774
1981 02 02 0.563
1981 02 03 0.037
1981 02 04 0.000
1981 02 05 0.000
1981 02 06 0.643
1981 02 07 0.351
1981 02 08 1.268
1981 02 09 0.211
1981 02 10 3.567
1981 02 11 27.661
1981 02 12 8.200
1981 02 13 1.926
1981 02 14 0.274
1981 02 15 2.747
1981 02 16 6.763
1981 02 17 3.956
1981 02 18 2.274
1981 02 19 4.694
1981 02 20 4.157
1981 02 21 5.114
1981 02 22 5.288
1981 02 23 4.691
1981 02 24 2.662
1981 02 25 2.877
1981 02 26 3.117
1981 02 27 8.953
1981 02 28 2.239
1981 03 01 2.880
1981 03 02 7.028
1981 03 03 0.547
1981 03 04 1.143
1981 03 05 3.508
1981 03 06 2.669
1981 03 07 2.348
1981 03 08 4.414
1981 03 09 11.791
1981 03 10 23.673
1981 03 11 6.983
1981 03 12 3.577
1981 03 13 6.862
1981 03 14 0.857
1981 03 15 0.091
1981 03 16 0.217
1981 03 17 0.170
1981 03 18 0.499
1981 03 19 12.451
1981 03 20 26.325
1981 03 21 13.463
1981 03 22 13.728
1981 03 23 1.711
1981 03 24 1.714
1981 03 25 12.886
1981 03 26 6.518
1981 03 27 13.504
1981 03 28 9.002
1981 03 29 4.762
1981 03 30 4.596
1981 03 31 7.652
1981 04 01 20.274
1981 04 02 1.969
1981 04 03 4.131
1981 04 04 1.568
1981 04 05 0.647
1981 04 06 4.646
1981 04 07 2.506
1981 04 08 2.598
1981 04 09 8.352
1981 04 10 10.923
1981 04 11 0.250
1981 04 12 0.881
1981 04 13 1.466
1981 04 14 0.073
1981 04 15 0.145
1981 04 16 0.406
1981 04 17 1.237
1981 04 18 11.184
1981 04 19 2.424
1981 04 20 0.100
1981 04 21 0.438
1981 04 22 1.013
1981 04 23 0.953
1981 04 24 1.129
1981 04 25 0.130
1981 04 26 0.268
1981 04 27 1.930
1981 04 28 0.337
1981 04 29 0.265
1981 04 30 0.496
1981 05 01 2.716
1981 05 02 0.438
1981 05 03 0.459
1981 05 04 0.068
1981 05 05 0.072
1981 05 06 0.107
1981 05 07 1.498
1981 05 08 1.631
1981 05 09 3.980
1981 05 10 4.496
1981 05 11 1.026
1981 05 12 0.045
1981 05 13 0.000
1981 05 14 0.000
1981 05 15 0.000
1981 05 16 0.000
1981 05 17 0.080
1981 05 18 9.999
1981 05 19 14.953
1981 05 20 1.309
1981 05 21 0.529
1981 05 22 6.443
1981 05 23 1.026
1981 05 24 2.842
1981 05 25 3.153
1981 05 26 7.741
1981 05 27 0.415
1981 05 28 2.287
1981 05 29 6.315
1981 05 30 6.074
1981 05 31 0.848
1981 06 01 1.970
1981 06 02 2.499
1981 06 03 6.019
1981 06 04 2.468
1981 06 05 6.843
1981 06 06 0.227
1981 06 07 0.910
1981 06 08 1.672
1981 06 09 0.125
1981 06 10 0.370
1981 06 11 0.811
1981 06 12 0.075
1981 06 13 0.121
1981 06 14 0.140
1981 06 15 0.445
1981 06 16 0.412
1981 06 17 0.227
1981 06 18 0.045
1981 06 19 0.532
1981 06 20 0.494
1981 06 21 1.825
1981 06 22 0.400
1981 06 23 0.187
1981 06 24 0.581
1981 06 25 1.961
1981 06 26 0.336
1981 06 27 2.671
1981 06 28 0.613
1981 06 29 0.209
1981 06 30 0.010
1981 07 01 0.000
1981 07 02 0.095
1981 07 03 0.137
1981 07 04 0.574
1981 07 05 0.974
1981 07 06 1.388
1981 07 07 3.597
1981 07 08 2.542
1981 07 09 2.236
1981 07 10 1.045
1981 07 11 0.880
1981 07 12 0.226
1981 07 13 0.191
1981 07 14 0.000
1981 07 15 0.090
1981 07 16 0.943
1981 07 17 0.227
1981 07 18 0.041
1981 07 19 0.158
1981 07 20 0.018
1981 07 21 0.000
1981 07 22 0.064
1981 07 23 0.053
1981 07 24 0.000
1981 07 25 0.141
1981 07 26 0.054
1981 07 27 0.116
1981 07 28 0.171
1981 07 29 0.272
1981 07 30 0.000
1981 07 31 0.000
1981 08 01 0.202
1981 08 02 1.400
1981 08 03 3.650
1981 08 04 1.794
1981 08 05 1.581
1981 08 06 0.216
1981 08 07 0.055
1981 08 08 0.039
1981 08 09 0.013
1981 08 10 0.000
1981 08 11 0.300
1981 08 12 0.432
1981 08 13 1.692
1981 08 14 11.654
1981 08 15 10.325
1981 08 16 0.937
1981 08 17 4.115
1981 08 18 0.683
1981 08 19 21.767
1981 08 20 1.280
1981 08 21 0.152
1981 08 22 0.285
1981 08 23 0.471
1981 08 24 0.000
1981 08 25 0.000
1981 08 26 0.000
1981 08 27 0.000
1981 08 28 0.292
1981 08 29 0.000
1981 08 30 0.000
1981 08 31 0.181
1981 09 01 1.529
1981 09 02 3.188
1981 09 03 0.000
1981 09 04 0.000
1981 09 05 0.000
1981 09 06 0.008
1981 09 07 0.109
1981 09 08 0.236
1981 09 09 0.121
1981 09 10 0.117
1981 09 11 0.223
1981 09 12 0.000
1981 09 13 0.000
