year month day evapotransp_gleam
1980 01 01 3.281
1980 01 02 3.478
1980 01 03 4.851
1980 01 04 4.708
1980 01 05 3.940
1980 01 06 4.076
1980 01 07 4.514
1980 01 08 3.085
1980 01 09 3.871
1980 01 10 3.279
1980 01 11 4.515
1980 01 12 4.121
1980 01 13 4.286
1980 01 14 3.952
1980 01 15 3.037
1980 01 16 4.585
1980 01 17 2.497
1980 01 18 2.636
1980 01 19 3.549
1980 01 20 3.908
1980 01 21 2.843
1980 01 22 4.469
1980 01 23 4.025
1980 01 24 3.937
1980 01 25 2.679
1980 01 26 1.526
1980 01 27 2.810
1980 01 28 4.537
1980 01 29 5.169
1980 01 30 3.926
1980 01 31 4.499
1980 02 01 3.361
1980 02 02 4.512
1980 02 03 4.057
1980 02 04 3.216
1980 02 05 4.195
1980 02 06 4.457
1980 02 07 4.868
1980 02 08 3.672
1980 02 09 3.104
1980 02 10 4.263
1980 02 11 3.770
1980 02 12 2.535
1980 02 13 3.543
1980 02 14 3.925
1980 02 15 4.819
1980 02 16 4.700
1980 02 17 3.914
1980 02 18 2.512
1980 02 19 2.466
1980 02 20 4.052
1980 02 21 2.925
1980 02 22 3.942
1980 02 23 3.597
1980 02 24 2.373
1980 02 25 4.097
1980 02 26 2.811
1980 02 27 1.444
1980 02 28 2.862
1980 02 29 3.072
1980 03 01 4.664
1980 03 02 4.314
1980 03 03 4.141
1980 03 04 3.821
1980 03 05 4.177
1980 03 06 4.383
1980 03 07 4.618
1980 03 08 4.435
1980 03 09 4.646
1980 03 10 3.739
1980 03 11 3.821
1980 03 12 4.251
1980 03 13 3.088
1980 03 14 2.830
1980 03 15 1.846
1980 03 16 2.573
1980 03 17 2.905
1980 03 18 3.184
1980 03 19 3.730
1980 03 20 3.327
1980 03 21 3.734
1980 03 22 3.611
1980 03 23 3.670
1980 03 24 3.555
1980 03 25 3.623
1980 03 26 3.777
1980 03 27 3.749
1980 03 28 3.389
1980 03 29 2.389
1980 03 30 2.629
1980 03 31 2.419
1980 04 01 2.673
1980 04 02 1.974
1980 04 03 2.263
1980 04 04 3.581
1980 04 05 2.515
1980 04 06 2.785
1980 04 07 3.139
1980 04 08 2.746
1980 04 09 3.424
1980 04 10 3.220
1980 04 11 3.228
1980 04 12 2.677
1980 04 13 2.122
1980 04 14 3.035
1980 04 15 1.173
1980 04 16 0.927
1980 04 17 1.863
1980 04 18 3.002
1980 04 19 2.441
1980 04 20 3.107
1980 04 21 2.834
1980 04 22 2.765
1980 04 23 2.723
1980 04 24 2.326
1980 04 25 2.259
1980 04 26 2.285
1980 04 27 2.215
1980 04 28 2.255
1980 04 29 2.414
1980 04 30 2.231
1980 05 01 2.639
1980 05 02 1.342
1980 05 03 1.576
1980 05 04 1.754
1980 05 05 1.968
1980 05 06 1.972
1980 05 07 1.944
1980 05 08 1.302
1980 05 09 2.222
1980 05 10 1.961
1980 05 11 2.283
1980 05 12 2.201
1980 05 13 2.337
1980 05 14 2.292
1980 05 15 2.054
1980 05 16 2.118
1980 05 17 1.728
1980 05 18 2.085
1980 05 19 2.161
1980 05 20 2.100
1980 05 21 1.746
1980 05 22 1.239
1980 05 23 1.127
1980 05 24 1.614
1980 05 25 1.682
1980 05 26 1.733
1980 05 27 1.532
1980 05 28 1.536
1980 05 29 1.535
1980 05 30 1.544
1980 05 31 1.581
1980 06 01 1.468
1980 06 02 0.943
1980 06 03 1.155
1980 06 04 1.202
1980 06 05 0.679
1980 06 06 1.462
1980 06 07 1.514
1980 06 08 1.351
1980 06 09 1.643
1980 06 10 1.600
1980 06 11 1.366
1980 06 12 1.105
1980 06 13 1.575
1980 06 14 1.254
1980 06 15 0.995
1980 06 16 1.083
1980 06 17 1.292
1980 06 18 1.209
1980 06 19 1.317
1980 06 20 1.744
1980 06 21 1.055
1980 06 22 0.829
1980 06 23 1.234
1980 06 24 0.793
1980 06 25 1.540
1980 06 26 2.129
1980 06 27 1.120
1980 06 28 1.126
1980 06 29 1.644
1980 06 30 1.498
1980 07 01 1.290
1980 07 02 1.424
1980 07 03 0.967
1980 07 04 1.005
1980 07 05 1.158
1980 07 06 1.169
1980 07 07 1.239
1980 07 08 1.561
1980 07 09 0.679
1980 07 10 1.471
1980 07 11 1.573
1980 07 12 1.751
1980 07 13 1.439
1980 07 14 1.583
1980 07 15 0.501
1980 07 16 1.170
1980 07 17 1.756
1980 07 18 1.203
1980 07 19 1.846
1980 07 20 1.745
1980 07 21 1.145
1980 07 22 0.515
1980 07 23 1.494
1980 07 24 1.296
1980 07 25 1.668
1980 07 26 1.716
1980 07 27 1.675
1980 07 28 1.748
1980 07 29 1.876
1980 07 30 0.986
1980 07 31 1.713
1980 08 01 1.646
1980 08 02 1.792
1980 08 03 1.828
1980 08 04 2.170
1980 08 05 1.830
1980 08 06 1.053
1980 08 07 1.903
1980 08 08 1.822
1980 08 09 1.676
1980 08 10 2.357
1980 08 11 2.245
1980 08 12 1.148
1980 08 13 1.781
1980 08 14 2.064
1980 08 15 2.041
1980 08 16 2.743
1980 08 17 1.134
1980 08 18 1.697
1980 08 19 2.575
1980 08 20 2.817
1980 08 21 3.108
1980 08 22 2.862
1980 08 23 0.989
1980 08 24 1.329
1980 08 25 2.864
1980 08 26 1.170
1980 08 27 0.844
1980 08 28 2.083
1980 08 29 1.481
1980 08 30 2.335
1980 08 31 2.909
1980 09 01 2.017
1980 09 02 2.622
1980 09 03 1.894
1980 09 04 2.245
1980 09 05 1.779
1980 09 06 2.233
1980 09 07 2.252
1980 09 08 2.900
1980 09 09 2.031
1980 09 10 1.097
1980 09 11 1.106
1980 09 12 1.378
1980 09 13 1.729
1980 09 14 1.755
1980 09 15 1.787
1980 09 16 1.111
1980 09 17 1.654
1980 09 18 1.587
1980 09 19 2.430
1980 09 20 2.251
1980 09 21 1.277
1980 09 22 2.371
1980 09 23 2.175
1980 09 24 2.521
1980 09 25 2.775
