year month day evapotransp_mgb
1980 01 01 2.803
1980 01 02 2.879
1980 01 03 3.367
1980 01 04 2.617
1980 01 05 2.699
1980 01 06 2.758
1980 01 07 3.339
1980 01 08 3.891
1980 01 09 3.971
1980 01 10 4.013
1980 01 11 3.708
1980 01 12 3.748
1980 01 13 2.841
1980 01 14 2.840
1980 01 15 2.818
1980 01 16 2.861
1980 01 17 3.645
1980 01 18 3.780
1980 01 19 3.821
1980 01 20 3.897
1980 01 21 2.822
1980 01 22 3.295
1980 01 23 3.799
1980 01 24 3.837
1980 01 25 4.041
1980 01 26 4.042
1980 01 27 3.441
1980 01 28 3.961
1980 01 29 3.859
1980 01 30 2.950
1980 01 31 3.229
1980 02 01 3.890
1980 02 02 3.496
1980 02 03 3.186
1980 02 04 2.650
1980 02 05 2.624
1980 02 06 2.600
1980 02 07 3.751
1980 02 08 3.612
1980 02 09 3.024
1980 02 10 3.670
1980 02 11 3.702
1980 02 12 3.813
1980 02 13 3.717
1980 02 14 3.443
1980 02 15 3.697
1980 02 16 3.765
1980 02 17 3.758
1980 02 18 3.753
1980 02 19 3.509
1980 02 20 3.422
1980 02 21 3.009
1980 02 22 3.241
1980 02 23 3.622
1980 02 24 3.618
1980 02 25 3.648
1980 02 26 3.664
1980 02 27 3.708
1980 02 28 3.767
1980 02 29 3.764
1980 03 01 3.771
1980 03 02 3.513
1980 03 03 3.188
1980 03 04 3.694
1980 03 05 3.660
1980 03 06 3.545
1980 03 07 3.669
1980 03 08 3.652
1980 03 09 3.641
1980 03 10 3.660
1980 03 11 3.661
1980 03 12 3.642
1980 03 13 3.647
1980 03 14 3.650
1980 03 15 3.644
1980 03 16 3.639
1980 03 17 3.573
1980 03 18 3.222
1980 03 19 3.275
1980 03 20 2.416
1980 03 21 2.377
1980 03 22 2.348
1980 03 23 2.458
1980 03 24 2.300
1980 03 25 2.309
1980 03 26 2.256
1980 03 27 2.164
1980 03 28 2.376
1980 03 29 3.201
1980 03 30 2.704
1980 03 31 2.011
1980 04 01 1.812
1980 04 02 1.690
1980 04 03 2.391
1980 04 04 2.724
1980 04 05 2.950
1980 04 06 1.790
1980 04 07 1.734
1980 04 08 1.820
1980 04 09 2.284
1980 04 10 2.242
1980 04 11 1.852
1980 04 12 2.715
1980 04 13 2.767
1980 04 14 3.183
1980 04 15 3.022
1980 04 16 2.138
1980 04 17 2.229
1980 04 18 2.032
1980 04 19 2.021
1980 04 20 1.998
1980 04 21 1.961
1980 04 22 1.929
1980 04 23 1.894
1980 04 24 1.854
1980 04 25 1.813
1980 04 26 1.776
1980 04 27 1.721
1980 04 28 1.669
1980 04 29 1.615
1980 04 30 1.560
1980 05 01 2.416
1980 05 02 2.440
1980 05 03 2.284
1980 05 04 1.341
1980 05 05 1.300
1980 05 06 1.266
1980 05 07 1.355
1980 05 08 2.324
1980 05 09 2.234
1980 05 10 2.402
1980 05 11 2.551
1980 05 12 1.824
1980 05 13 1.600
1980 05 14 2.200
1980 05 15 2.014
1980 05 16 1.816
1980 05 17 1.896
1980 05 18 2.526
1980 05 19 2.548
1980 05 20 2.580
1980 05 21 2.631
1980 05 22 2.695
1980 05 23 1.660
1980 05 24 1.602
1980 05 25 1.583
1980 05 26 1.611
1980 05 27 1.586
1980 05 28 1.651
1980 05 29 2.333
1980 05 30 1.740
1980 05 31 2.264
1980 06 01 2.205
1980 06 02 2.017
1980 06 03 1.482
1980 06 04 1.336
1980 06 05 1.321
1980 06 06 1.305
1980 06 07 1.289
1980 06 08 1.280
1980 06 09 1.253
1980 06 10 1.234
1980 06 11 1.213
1980 06 12 1.190
1980 06 13 2.214
