year month day potential_evapotransp_gleam
1980 01 01 3.249
1980 01 02 4.731
1980 01 03 4.943
1980 01 04 5.072
1980 01 05 4.591
1980 01 06 2.860
1980 01 07 4.670
1980 01 08 3.380
1980 01 09 4.625
1980 01 10 4.763
1980 01 11 4.470
1980 01 12 4.717
1980 01 13 4.405
1980 01 14 5.251
1980 01 15 4.762
1980 01 16 4.859
1980 01 17 5.150
1980 01 18 4.779
1980 01 19 5.038
1980 01 20 5.019
1980 01 21 4.844
1980 01 22 5.032
1980 01 23 4.198
1980 01 24 1.719
1980 01 25 4.629
1980 01 26 4.601
1980 01 27 4.311
1980 01 28 3.554
1980 01 29 4.304
1980 01 30 3.798
1980 01 31 2.650
1980 02 01 3.226
1980 02 02 3.429
1980 02 03 4.119
1980 02 04 2.745
1980 02 05 1.747
1980 02 06 4.321
1980 02 07 4.548
1980 02 08 4.491
1980 02 09 4.694
1980 02 10 0.728
1980 02 11 4.635
1980 02 12 4.236
1980 02 13 4.367
1980 02 14 4.265
1980 02 15 4.867
1980 02 16 3.028
1980 02 17 1.515
1980 02 18 2.778
1980 02 19 3.637
1980 02 20 3.018
1980 02 21 2.782
1980 02 22 3.634
1980 02 23 3.641
1980 02 24 2.372
1980 02 25 3.618
1980 02 26 3.938
1980 02 27 3.964
1980 02 28 4.033
1980 02 29 3.633
1980 03 01 2.855
1980 03 02 1.474
1980 03 03 0.971
1980 03 04 2.648
1980 03 05 4.202
1980 03 06 3.543
1980 03 07 2.526
1980 03 08 2.499
1980 03 09 3.600
1980 03 10 2.642
1980 03 11 1.421
1980 03 12 1.142
1980 03 13 2.774
1980 03 14 3.322
1980 03 15 3.728
1980 03 16 3.386
1980 03 17 3.234
1980 03 18 3.641
1980 03 19 3.881
1980 03 20 3.819
1980 03 21 3.766
1980 03 22 3.714
1980 03 23 3.657
1980 03 24 3.575
1980 03 25 3.083
1980 03 26 0.385
1980 03 27 0.458
1980 03 28 1.769
1980 03 29 2.135
1980 03 30 1.863
1980 03 31 2.748
1980 04 01 2.675
1980 04 02 1.975
1980 04 03 3.157
1980 04 04 3.011
1980 04 05 2.964
1980 04 06 2.769
1980 04 07 2.549
1980 04 08 1.426
1980 04 09 1.855
1980 04 10 1.475
1980 04 11 1.443
1980 04 12 0.812
1980 04 13 1.532
1980 04 14 0.920
1980 04 15 1.767
1980 04 16 1.905
1980 04 17 1.718
1980 04 18 0.825
1980 04 19 0.346
1980 04 20 1.723
1980 04 21 2.399
1980 04 22 2.573
1980 04 23 2.483
1980 04 24 2.458
1980 04 25 2.193
1980 04 26 2.113
1980 04 27 2.258
1980 04 28 2.241
1980 04 29 2.097
1980 04 30 0.272
1980 05 01 1.521
1980 05 02 1.308
1980 05 03 1.107
1980 05 04 1.050
1980 05 05 1.336
1980 05 06 1.464
1980 05 07 0.836
1980 05 08 0.856
1980 05 09 0.448
1980 05 10 0.781
1980 05 11 1.904
1980 05 12 2.013
1980 05 13 1.862
1980 05 14 1.658
1980 05 15 1.557
1980 05 16 0.162
1980 05 17 0.567
1980 05 18 0.386
1980 05 19 1.394
1980 05 20 0.460
1980 05 21 0.369
1980 05 22 0.790
1980 05 23 0.891
1980 05 24 1.032
1980 05 25 0.845
1980 05 26 1.174
1980 05 27 1.176
1980 05 28 0.288
1980 05 29 0.627
1980 05 30 0.471
1980 05 31 0.216
1980 06 01 1.308
1980 06 02 0.637
1980 06 03 0.732
1980 06 04 0.734
1980 06 05 0.649
1980 06 06 0.833
1980 06 07 1.085
1980 06 08 1.089
1980 06 09 1.007
1980 06 10 0.761
1980 06 11 0.086
1980 06 12 0.236
1980 06 13 0.295
1980 06 14 0.687
1980 06 15 0.882
1980 06 16 0.711
1980 06 17 0.622
1980 06 18 0.539
1980 06 19 0.445
1980 06 20 0.591
1980 06 21 0.674
1980 06 22 0.775
1980 06 23 0.707
1980 06 24 0.146
1980 06 25 0.559
1980 06 26 0.358
1980 06 27 0.576
1980 06 28 0.646
1980 06 29 0.755
1980 06 30 0.028
1980 07 01 0.962
1980 07 02 0.541
1980 07 03 0.475
1980 07 04 0.772
1980 07 05 0.919
1980 07 06 0.612
1980 07 07 0.654
1980 07 08 0.457
1980 07 09 0.670
1980 07 10 0.729
1980 07 11 0.764
1980 07 12 0.755
1980 07 13 0.472
1980 07 14 1.162
1980 07 15 0.532
1980 07 16 0.727
1980 07 17 1.117
1980 07 18 1.057
1980 07 19 0.803
1980 07 20 -0.035
1980 07 21 0.814
1980 07 22 0.950
1980 07 23 1.071
1980 07 24 0.976
1980 07 25 0.849
1980 07 26 0.450
1980 07 27 1.343
1980 07 28 0.658
1980 07 29 1.049
1980 07 30 0.795
1980 07 31 0.786
1980 08 01 1.057
1980 08 02 1.079
1980 08 03 1.140
1980 08 04 1.041
1980 08 05 0.525
1980 08 06 0.438
1980 08 07 1.870
1980 08 08 1.221
1980 08 09 1.297
1980 08 10 1.112
1980 08 11 1.432
1980 08 12 1.264
1980 08 13 1.142
1980 08 14 1.589
1980 08 15 1.924
1980 08 16 1.903
1980 08 17 1.392
1980 08 18 1.322
1980 08 19 0.255
1980 08 20 0.648
1980 08 21 0.349
1980 08 22 0.556
1980 08 23 1.384
1980 08 24 1.660
1980 08 25 1.440
1980 08 26 1.725
1980 08 27 1.517
1980 08 28 1.778
1980 08 29 1.877
1980 08 30 2.264
1980 08 31 0.701
1980 09 01 1.991
1980 09 02 1.635
1980 09 03 2.221
1980 09 04 1.788
1980 09 05 1.880
1980 09 06 2.172
1980 09 07 2.390
1980 09 08 0.391
1980 09 09 2.493
1980 09 10 2.116
1980 09 11 2.370
1980 09 12 2.446
1980 09 13 2.601
1980 09 14 1.282
1980 09 15 1.507
1980 09 16 1.522
1980 09 17 1.781
1980 09 18 2.701
1980 09 19 1.315
1980 09 20 2.067
1980 09 21 3.022
1980 09 22 2.201
1980 09 23 2.499
1980 09 24 2.709
1980 09 25 2.333
1980 09 26 2.720
1980 09 27 1.338
1980 09 28 0.570
1980 09 29 2.814
1980 09 30 3.509
1980 10 01 2.558
1980 10 02 1.941
1980 10 03 0.495
1980 10 04 0.234
1980 10 05 3.006
1980 10 06 2.844
1980 10 07 2.989
1980 10 08 0.497
1980 10 09 1.721
1980 10 10 2.330
1980 10 11 1.569
1980 10 12 2.719
1980 10 13 3.094
1980 10 14 3.375
1980 10 15 3.509
1980 10 16 3.756
1980 10 17 2.963
1980 10 18 1.439
1980 10 19 2.953
1980 10 20 1.051
1980 10 21 1.367
1980 10 22 2.730
1980 10 23 3.031
1980 10 24 3.958
1980 10 25 4.089
1980 10 26 3.373
1980 10 27 1.306
1980 10 28 3.690
1980 10 29 2.701
1980 10 30 3.007
1980 10 31 3.887
1980 11 01 3.870
1980 11 02 4.257
1980 11 03 4.838
1980 11 04 4.833
1980 11 05 2.810
1980 11 06 1.158
1980 11 07 3.000
1980 11 08 2.668
1980 11 09 0.687
1980 11 10 2.371
1980 11 11 2.852
1980 11 12 4.109
1980 11 13 4.434
1980 11 14 4.395
1980 11 15 4.478
1980 11 16 4.084
1980 11 17 4.440
1980 11 18 2.655
1980 11 19 1.547
1980 11 20 2.633
1980 11 21 2.151
1980 11 22 0.662
1980 11 23 3.776
1980 11 24 4.613
1980 11 25 4.560
1980 11 26 4.648
1980 11 27 4.164
1980 11 28 1.684
1980 11 29 2.995
1980 11 30 3.077
1980 12 01 3.918
1980 12 02 2.539
1980 12 03 2.053
1980 12 04 4.013
1980 12 05 3.778
1980 12 06 4.873
1980 12 07 4.478
1980 12 08 5.270
1980 12 09 5.181
1980 12 10 4.899
1980 12 11 3.092
1980 12 12 4.809
1980 12 13 3.602
1980 12 14 4.821
1980 12 15 4.830
1980 12 16 5.215
1980 12 17 3.036
1980 12 18 0.499
1980 12 19 4.642
1980 12 20 3.128
1980 12 21 3.378
1980 12 22 3.144
1980 12 23 2.978
1980 12 24 3.953
1980 12 25 4.818
1980 12 26 4.729
1980 12 27 2.299
1980 12 28 4.217
1980 12 29 4.196
1980 12 30 3.980
1980 12 31 4.606
1981 01 01 5.300
1981 01 02 2.325
1981 01 03 3.380
1981 01 04 4.734
1981 01 05 4.829
1981 01 06 1.130
1981 01 07 5.325
1981 01 08 4.685
1981 01 09 5.110
1981 01 10 4.403
1981 01 11 3.604
1981 01 12 4.421
1981 01 13 4.535
1981 01 14 4.278
1981 01 15 2.686
1981 01 16 4.342
1981 01 17 3.950
1981 01 18 4.198
1981 01 19 3.985
1981 01 20 3.784
1981 01 21 4.932
1981 01 22 4.527
1981 01 23 4.426
1981 01 24 4.632
1981 01 25 3.753
1981 01 26 3.261
1981 01 27 4.612
1981 01 28 3.946
1981 01 29 1.264
1981 01 30 4.549
1981 01 31 3.923
1981 02 01 3.126
1981 02 02 2.747
1981 02 03 2.338
1981 02 04 3.023
1981 02 05 4.093
1981 02 06 3.558
1981 02 07 4.410
1981 02 08 3.846
1981 02 09 3.784
1981 02 10 3.056
1981 02 11 3.832
1981 02 12 4.110
1981 02 13 1.706
1981 02 14 0.915
1981 02 15 1.575
1981 02 16 3.258
1981 02 17 4.222
1981 02 18 2.380
1981 02 19 3.231
1981 02 20 3.923
1981 02 21 4.803
1981 02 22 4.530
1981 02 23 4.583
1981 02 24 4.685
1981 02 25 4.454
1981 02 26 4.162
1981 02 27 4.591
1981 02 28 3.464
1981 03 01 3.868
1981 03 02 3.851
1981 03 03 2.879
1981 03 04 3.497
1981 03 05 2.623
1981 03 06 2.848
1981 03 07 2.096
1981 03 08 2.715
1981 03 09 3.179
1981 03 10 3.481
1981 03 11 2.325
1981 03 12 2.849
1981 03 13 2.886
1981 03 14 1.164
1981 03 15 3.657
1981 03 16 2.991
1981 03 17 2.794
1981 03 18 3.081
1981 03 19 2.598
1981 03 20 3.166
1981 03 21 2.671
1981 03 22 2.787
1981 03 23 2.821
1981 03 24 2.636
1981 03 25 2.763
1981 03 26 2.884
1981 03 27 2.751
1981 03 28 2.900
1981 03 29 2.728
1981 03 30 2.123
1981 03 31 1.520
1981 04 01 2.741
1981 04 02 2.520
1981 04 03 2.122
1981 04 04 2.408
1981 04 05 2.369
1981 04 06 2.300
1981 04 07 2.254
1981 04 08 2.617
1981 04 09 2.400
1981 04 10 1.673
1981 04 11 0.987
1981 04 12 2.074
1981 04 13 1.233
1981 04 14 0.562
1981 04 15 1.610
1981 04 16 2.022
1981 04 17 1.355
1981 04 18 1.941
1981 04 19 1.672
1981 04 20 1.475
1981 04 21 2.120
1981 04 22 1.849
1981 04 23 2.098
1981 04 24 1.687
1981 04 25 0.118
1981 04 26 1.367
1981 04 27 1.168
1981 04 28 0.689
1981 04 29 1.848
1981 04 30 1.241
1981 05 01 1.610
1981 05 02 1.582
1981 05 03 1.324
1981 05 04 1.530
1981 05 05 1.237
1981 05 06 1.137
1981 05 07 2.025
1981 05 08 1.862
1981 05 09 1.364
1981 05 10 0.794
1981 05 11 1.310
1981 05 12 1.633
1981 05 13 1.251
1981 05 14 0.761
1981 05 15 0.516
1981 05 16 1.318
1981 05 17 1.058
1981 05 18 1.131
1981 05 19 1.630
1981 05 20 1.373
1981 05 21 1.106
1981 05 22 1.583
1981 05 23 1.464
1981 05 24 1.414
1981 05 25 -0.014
1981 05 26 0.290
1981 05 27 0.890
1981 05 28 1.023
1981 05 29 1.100
1981 05 30 1.077
1981 05 31 1.088
1981 06 01 0.387
1981 06 02 0.270
1981 06 03 0.979
1981 06 04 0.680
1981 06 05 0.491
1981 06 06 0.000
1981 06 07 0.770
1981 06 08 0.546
1981 06 09 0.822
1981 06 10 0.002
1981 06 11 0.860
1981 06 12 0.766
1981 06 13 0.816
1981 06 14 0.497
1981 06 15 0.687
1981 06 16 0.441
1981 06 17 0.359
1981 06 18 0.685
1981 06 19 0.548
1981 06 20 0.654
1981 06 21 0.606
1981 06 22 -0.135
1981 06 23 0.710
1981 06 24 0.828
1981 06 25 0.568
1981 06 26 0.976
1981 06 27 1.059
1981 06 28 0.640
1981 06 29 0.915
1981 06 30 0.087
1981 07 01 0.784
1981 07 02 0.788
1981 07 03 0.456
1981 07 04 0.718
1981 07 05 0.768
1981 07 06 0.795
1981 07 07 0.755
1981 07 08 0.859
1981 07 09 0.850
1981 07 10 0.082
1981 07 11 0.360
1981 07 12 0.714
1981 07 13 0.768
1981 07 14 1.081
1981 07 15 0.452
1981 07 16 0.108
1981 07 17 0.293
1981 07 18 0.176
1981 07 19 0.138
1981 07 20 0.388
1981 07 21 0.968
1981 07 22 0.691
1981 07 23 0.489
1981 07 24 0.360
1981 07 25 1.162
1981 07 26 0.940
1981 07 27 1.143
1981 07 28 0.957
1981 07 29 0.808
1981 07 30 1.450
1981 07 31 0.633
1981 08 01 1.715
1981 08 02 1.479
1981 08 03 1.584
1981 08 04 1.679
1981 08 05 1.868
1981 08 06 0.751
1981 08 07 0.563
1981 08 08 1.375
1981 08 09 1.057
1981 08 10 1.221
1981 08 11 1.400
1981 08 12 1.141
1981 08 13 1.636
1981 08 14 1.381
1981 08 15 1.594
1981 08 16 1.767
1981 08 17 1.810
1981 08 18 1.672
1981 08 19 1.702
1981 08 20 1.635
1981 08 21 1.704
1981 08 22 1.841
1981 08 23 1.936
1981 08 24 2.069
1981 08 25 2.146
1981 08 26 0.196
1981 08 27 0.469
1981 08 28 1.486
1981 08 29 0.521
1981 08 30 1.804
1981 08 31 1.566
1981 09 01 0.277
1981 09 02 0.318
1981 09 03 0.244
1981 09 04 1.531
1981 09 05 2.205
1981 09 06 2.298
1981 09 07 2.500
1981 09 08 2.789
1981 09 09 3.310
1981 09 10 0.549
1981 09 11 1.211
1981 09 12 0.809
1981 09 13 0.186
1981 09 14 0.399
1981 09 15 0.816
1981 09 16 2.295
1981 09 17 2.514
1981 09 18 2.392
1981 09 19 0.424
1981 09 20 1.163
1981 09 21 2.414
1981 09 22 1.477
1981 09 23 0.536
1981 09 24 1.138
1981 09 25 1.081
1981 09 26 1.933
