year month day temperature_min
1980 01 01 17.189
1980 01 02 18.143
1980 01 03 17.512
1980 01 04 18.685
1980 01 05 17.844
1980 01 06 20.293
1980 01 07 16.345
1980 01 08 18.324
1980 01 09 18.887
1980 01 10 20.067
1980 01 11 19.795
1980 01 12 18.711
1980 01 13 18.660
1980 01 14 17.326
1980 01 15 16.774
1980 01 16 18.678
1980 01 17 19.196
1980 01 18 16.790
1980 01 19 20.323
1980 01 20 20.595
1980 01 21 19.635
1980 01 22 19.004
1980 01 23 21.700
1980 01 24 20.270
1980 01 25 20.145
1980 01 26 22.282
1980 01 27 20.831
1980 01 28 19.418
1980 01 29 20.527
1980 01 30 16.259
1980 01 31 18.316
1980 02 01 21.090
1980 02 02 21.905
1980 02 03 21.692
1980 02 04 20.329
1980 02 05 17.542
1980 02 06 21.839
1980 02 07 18.237
1980 02 08 17.525
1980 02 09 19.581
1980 02 10 20.915
1980 02 11 21.062
1980 02 12 20.874
1980 02 13 20.763
1980 02 14 17.915
1980 02 15 17.460
1980 02 16 17.316
1980 02 17 17.235
1980 02 18 19.754
1980 02 19 18.422
1980 02 20 19.265
1980 02 21 17.745
1980 02 22 19.025
1980 02 23 19.085
1980 02 24 17.737
1980 02 25 19.756
1980 02 26 19.248
1980 02 27 18.045
1980 02 28 20.746
1980 02 29 22.456
1980 03 01 20.831
1980 03 02 20.390
1980 03 03 18.500
1980 03 04 20.240
1980 03 05 18.972
1980 03 06 19.797
1980 03 07 18.737
1980 03 08 21.094
1980 03 09 22.839
1980 03 10 20.298
1980 03 11 19.928
1980 03 12 19.021
1980 03 13 21.678
1980 03 14 20.375
1980 03 15 20.833
1980 03 16 21.596
1980 03 17 22.099
1980 03 18 22.249
1980 03 19 20.965
1980 03 20 19.203
1980 03 21 16.954
1980 03 22 21.296
1980 03 23 21.122
1980 03 24 19.334
1980 03 25 22.121
1980 03 26 20.797
1980 03 27 18.960
1980 03 28 20.226
1980 03 29 21.006
1980 03 30 19.543
1980 03 31 18.540
1980 04 01 18.155
1980 04 02 18.814
1980 04 03 19.171
1980 04 04 20.035
1980 04 05 19.337
1980 04 06 17.403
1980 04 07 19.020
1980 04 08 19.046
1980 04 09 19.706
1980 04 10 19.295
1980 04 11 15.516
1980 04 12 20.496
1980 04 13 20.842
1980 04 14 17.612
1980 04 15 19.287
1980 04 16 17.587
1980 04 17 18.491
1980 04 18 19.287
1980 04 19 18.349
1980 04 20 14.647
1980 04 21 18.156
1980 04 22 17.833
1980 04 23 18.814
1980 04 24 16.677
1980 04 25 16.725
1980 04 26 17.320
1980 04 27 17.229
1980 04 28 17.839
1980 04 29 17.683
1980 04 30 15.928
1980 05 01 14.958
1980 05 02 17.867
1980 05 03 17.602
1980 05 04 15.388
1980 05 05 13.122
1980 05 06 10.216
1980 05 07 13.060
1980 05 08 15.224
1980 05 09 17.367
1980 05 10 16.560
1980 05 11 16.997
1980 05 12 19.003
1980 05 13 15.622
1980 05 14 15.720
1980 05 15 12.318
1980 05 16 13.553
1980 05 17 16.254
1980 05 18 17.645
1980 05 19 18.220
1980 05 20 16.469
1980 05 21 16.700
1980 05 22 17.550
1980 05 23 18.116
1980 05 24 15.626
1980 05 25 15.344
1980 05 26 15.058
1980 05 27 12.363
1980 05 28 11.056
1980 05 29 13.271
1980 05 30 14.668
1980 05 31 13.156
1980 06 01 16.767
1980 06 02 16.051
1980 06 03 13.852
1980 06 04 12.879
1980 06 05 13.099
1980 06 06 11.051
1980 06 07 11.441
1980 06 08 12.320
1980 06 09 14.168
1980 06 10 14.221
1980 06 11 13.218
1980 06 12 17.642
1980 06 13 16.257
1980 06 14 15.984
1980 06 15 10.273
1980 06 16 10.778
1980 06 17 12.156
1980 06 18 12.748
1980 06 19 11.572
1980 06 20 13.871
1980 06 21 12.320
1980 06 22 12.757
1980 06 23 10.390
1980 06 24 13.741
1980 06 25 13.326
1980 06 26 14.363
1980 06 27 9.920
1980 06 28 8.967
1980 06 29 10.668
1980 06 30 8.021
1980 07 01 12.927
1980 07 02 12.417
1980 07 03 14.467
1980 07 04 14.264
1980 07 05 14.332
1980 07 06 13.802
1980 07 07 11.683
1980 07 08 11.495
1980 07 09 12.085
1980 07 10 11.633
1980 07 11 15.139
1980 07 12 14.726
1980 07 13 11.351
1980 07 14 12.150
1980 07 15 14.415
1980 07 16 13.189
1980 07 17 10.752
1980 07 18 12.454
1980 07 19 16.059
1980 07 20 13.904
1980 07 21 10.075
1980 07 22 15.646
1980 07 23 14.383
1980 07 24 14.615
1980 07 25 13.295
1980 07 26 12.465
1980 07 27 12.119
1980 07 28 13.903
1980 07 29 16.710
1980 07 30 12.114
1980 07 31 13.389
1980 08 01 11.080
1980 08 02 11.258
1980 08 03 11.887
1980 08 04 14.012
1980 08 05 13.941
1980 08 06 13.142
1980 08 07 13.206
1980 08 08 13.807
1980 08 09 16.162
1980 08 10 16.415
1980 08 11 17.105
1980 08 12 15.480
1980 08 13 13.602
1980 08 14 14.302
1980 08 15 15.583
1980 08 16 13.093
1980 08 17 13.108
1980 08 18 15.134
1980 08 19 16.475
1980 08 20 15.725
1980 08 21 18.000
1980 08 22 17.583
1980 08 23 17.603
1980 08 24 16.246
1980 08 25 17.887
1980 08 26 18.153
1980 08 27 12.712
1980 08 28 12.660
1980 08 29 12.414
1980 08 30 10.945
1980 08 31 10.525
1980 09 01 12.024
1980 09 02 15.688
1980 09 03 15.977
1980 09 04 14.953
1980 09 05 12.667
1980 09 06 13.274
1980 09 07 14.897
1980 09 08 16.198
1980 09 09 17.644
1980 09 10 17.917
1980 09 11 14.342
1980 09 12 16.220
1980 09 13 16.017
1980 09 14 16.718
1980 09 15 18.067
1980 09 16 19.610
1980 09 17 10.415
1980 09 18 10.654
1980 09 19 12.170
1980 09 20 16.065
1980 09 21 16.150
1980 09 22 14.105
1980 09 23 11.629
1980 09 24 15.128
1980 09 25 14.177
1980 09 26 10.727
1980 09 27 13.762
1980 09 28 11.374
1980 09 29 16.402
1980 09 30 16.228
1980 10 01 17.282
1980 10 02 17.564
1980 10 03 15.709
1980 10 04 12.896
1980 10 05 12.956
1980 10 06 13.039
1980 10 07 12.853
1980 10 08 13.532
1980 10 09 18.087
1980 10 10 15.722
1980 10 11 14.123
1980 10 12 14.015
1980 10 13 15.579
1980 10 14 14.949
1980 10 15 13.814
1980 10 16 15.062
1980 10 17 14.312
1980 10 18 15.778
1980 10 19 16.383
1980 10 20 21.831
1980 10 21 18.556
1980 10 22 22.011
1980 10 23 20.167
1980 10 24 19.559
1980 10 25 18.896
1980 10 26 20.769
1980 10 27 21.362
1980 10 28 23.125
1980 10 29 24.326
1980 10 30 18.805
1980 10 31 20.221
1980 11 01 15.505
1980 11 02 16.343
1980 11 03 17.788
1980 11 04 16.923
1980 11 05 17.345
1980 11 06 23.170
1980 11 07 18.655
1980 11 08 18.554
1980 11 09 19.692
1980 11 10 20.315
1980 11 11 19.540
1980 11 12 16.613
1980 11 13 15.509
1980 11 14 14.800
1980 11 15 16.934
1980 11 16 13.820
1980 11 17 19.068
1980 11 18 19.094
1980 11 19 17.211
1980 11 20 18.201
1980 11 21 19.755
1980 11 22 19.604
1980 11 23 18.982
1980 11 24 19.588
1980 11 25 19.313
1980 11 26 18.416
1980 11 27 13.721
1980 11 28 16.392
1980 11 29 16.423
1980 11 30 17.725
1980 12 01 18.668
1980 12 02 19.570
1980 12 03 19.158
1980 12 04 21.586
1980 12 05 19.653
1980 12 06 19.458
1980 12 07 19.735
1980 12 08 20.369
1980 12 09 19.511
1980 12 10 20.818
1980 12 11 19.621
1980 12 12 18.383
1980 12 13 20.340
1980 12 14 20.995
1980 12 15 19.047
1980 12 16 19.787
1980 12 17 19.549
1980 12 18 20.427
1980 12 19 18.975
1980 12 20 20.031
1980 12 21 19.832
1980 12 22 18.740
1980 12 23 18.483
1980 12 24 19.839
1980 12 25 19.223
1980 12 26 18.198
1980 12 27 21.912
1980 12 28 19.426
1980 12 29 20.793
1980 12 30 21.060
1980 12 31 19.508
1981 01 01 nan
1981 01 02 nan
1981 01 03 22.607
1981 01 04 22.281
1981 01 05 21.440
1981 01 06 19.464
1981 01 07 19.791
1981 01 08 22.551
1981 01 09 20.514
1981 01 10 21.165
1981 01 11 20.127
1981 01 12 20.585
1981 01 13 20.973
1981 01 14 20.766
1981 01 15 21.413
1981 01 16 18.368
1981 01 17 20.818
1981 01 18 19.674
1981 01 19 19.478
1981 01 20 19.138
1981 01 21 19.640
1981 01 22 19.900
1981 01 23 17.598
1981 01 24 19.235
1981 01 25 19.340
1981 01 26 19.885
1981 01 27 21.871
1981 01 28 18.780
1981 01 29 18.892
1981 01 30 20.842
1981 01 31 20.672
1981 02 01 16.952
1981 02 02 20.429
1981 02 03 19.955
1981 02 04 22.106
1981 02 05 20.737
1981 02 06 19.958
1981 02 07 20.032
1981 02 08 19.746
1981 02 09 19.959
1981 02 10 19.131
1981 02 11 19.842
1981 02 12 20.927
1981 02 13 20.483
1981 02 14 21.672
1981 02 15 18.236
1981 02 16 23.097
1981 02 17 18.708
1981 02 18 19.039
1981 02 19 20.402
1981 02 20 20.718
1981 02 21 18.693
1981 02 22 19.954
1981 02 23 19.541
1981 02 24 20.055
1981 02 25 18.777
1981 02 26 18.393
1981 02 27 16.916
1981 02 28 18.937
1981 03 01 19.969
1981 03 02 16.573
1981 03 03 18.584
1981 03 04 20.028
1981 03 05 19.749
1981 03 06 21.227
1981 03 07 21.504
1981 03 08 21.691
1981 03 09 20.763
1981 03 10 19.562
1981 03 11 19.489
1981 03 12 20.254
1981 03 13 20.895
1981 03 14 20.760
1981 03 15 18.501
1981 03 16 21.690
1981 03 17 18.335
1981 03 18 19.529
1981 03 19 18.454
1981 03 20 16.156
1981 03 21 19.796
1981 03 22 18.940
1981 03 23 17.544
1981 03 24 17.759
1981 03 25 19.130
1981 03 26 18.488
1981 03 27 20.145
1981 03 28 18.175
1981 03 29 18.962
1981 03 30 17.496
1981 03 31 19.295
1981 04 01 18.735
1981 04 02 19.175
1981 04 03 17.098
1981 04 04 19.481
1981 04 05 19.955
1981 04 06 17.358
1981 04 07 17.106
1981 04 08 18.896
1981 04 09 18.112
1981 04 10 14.852
1981 04 11 16.077
1981 04 12 15.843
1981 04 13 13.742
1981 04 14 14.879
1981 04 15 14.519
1981 04 16 16.307
1981 04 17 16.862
1981 04 18 14.173
1981 04 19 15.340
1981 04 20 10.861
1981 04 21 14.643
1981 04 22 15.665
1981 04 23 16.191
1981 04 24 16.685
1981 04 25 17.550
1981 04 26 18.426
1981 04 27 16.019
1981 04 28 17.454
1981 04 29 16.919
1981 04 30 15.966
1981 05 01 14.100
1981 05 02 15.711
1981 05 03 17.600
1981 05 04 16.726
1981 05 05 16.150
1981 05 06 17.697
1981 05 07 14.855
1981 05 08 16.765
1981 05 09 14.748
1981 05 10 15.628
1981 05 11 15.512
1981 05 12 17.357
1981 05 13 10.933
1981 05 14 14.296
1981 05 15 16.177
1981 05 16 14.940
1981 05 17 15.292
1981 05 18 18.439
1981 05 19 17.025
1981 05 20 16.731
1981 05 21 17.823
1981 05 22 11.924
1981 05 23 16.589
1981 05 24 13.780
1981 05 25 12.754
1981 05 26 13.612
1981 05 27 13.995
1981 05 28 14.886
1981 05 29 14.747
1981 05 30 14.447
1981 05 31 14.017
1981 06 01 14.159
1981 06 02 13.539
1981 06 03 10.370
1981 06 04 14.739
1981 06 05 15.150
1981 06 06 13.357
1981 06 07 16.629
1981 06 08 12.491
1981 06 09 6.738
1981 06 10 11.657
1981 06 11 8.323
1981 06 12 13.236
1981 06 13 10.383
1981 06 14 12.112
1981 06 15 15.992
1981 06 16 13.162
1981 06 17 11.220
1981 06 18 12.827
1981 06 19 11.902
1981 06 20 12.257
1981 06 21 9.110
1981 06 22 13.264
1981 06 23 13.514
1981 06 24 8.745
1981 06 25 12.989
1981 06 26 11.311
1981 06 27 9.218
1981 06 28 11.777
1981 06 29 11.754
1981 06 30 11.947
1981 07 01 10.231
1981 07 02 11.633
1981 07 03 12.703
1981 07 04 9.171
1981 07 05 10.924
1981 07 06 7.412
1981 07 07 11.957
1981 07 08 7.737
1981 07 09 12.088
1981 07 10 8.463
1981 07 11 9.394
1981 07 12 9.064
1981 07 13 9.299
1981 07 14 8.822
1981 07 15 13.235
1981 07 16 9.651
1981 07 17 10.305
1981 07 18 12.929
1981 07 19 12.533
1981 07 20 12.718
1981 07 21 10.018
1981 07 22 6.869
1981 07 23 7.712
1981 07 24 12.567
1981 07 25 13.456
1981 07 26 12.635
1981 07 27 11.432
1981 07 28 10.185
1981 07 29 12.754
1981 07 30 9.687
1981 07 31 7.018
1981 08 01 8.833
1981 08 02 7.215
1981 08 03 10.349
1981 08 04 14.488
1981 08 05 10.380
1981 08 06 9.910
1981 08 07 9.214
1981 08 08 9.698
1981 08 09 13.660
1981 08 10 14.037
1981 08 11 13.810
1981 08 12 12.837
1981 08 13 18.733
1981 08 14 14.756
1981 08 15 15.451
1981 08 16 14.828
1981 08 17 14.303
1981 08 18 14.960
1981 08 19 12.533
1981 08 20 10.970
1981 08 21 10.330
1981 08 22 13.052
1981 08 23 10.879
1981 08 24 10.066
1981 08 25 8.800
1981 08 26 11.877
1981 08 27 10.757
1981 08 28 13.218
1981 08 29 17.512
1981 08 30 15.779
1981 08 31 16.797
1981 09 01 12.643
1981 09 02 15.153
1981 09 03 13.785
1981 09 04 15.030
1981 09 05 14.967
1981 09 06 12.058
1981 09 07 13.181
1981 09 08 10.272
1981 09 09 15.416
1981 09 10 11.255
1981 09 11 12.007
1981 09 12 12.636
1981 09 13 11.944
1981 09 14 12.870
1981 09 15 16.612
1981 09 16 13.980
1981 09 17 13.392
1981 09 18 13.184
1981 09 19 19.401
1981 09 20 14.673
1981 09 21 15.771
1981 09 22 16.957
1981 09 23 17.408
1981 09 24 16.211
1981 09 25 16.252
1981 09 26 16.645
1981 09 27 17.150
1981 09 28 13.527
1981 09 29 16.106
1981 09 30 15.167
