year month day temperature_mean
1980 01 01 16.177
1980 01 02 19.281
1980 01 03 21.866
1980 01 04 24.385
1980 01 05 24.244
1980 01 06 26.113
1980 01 07 26.240
1980 01 08 26.145
1980 01 09 24.056
1980 01 10 23.385
1980 01 11 24.868
1980 01 12 24.770
1980 01 13 24.587
1980 01 14 25.952
1980 01 15 25.374
1980 01 16 24.651
1980 01 17 26.363
1980 01 18 27.679
1980 01 19 26.821
1980 01 20 24.827
1980 01 21 23.467
1980 01 22 26.810
1980 01 23 30.746
1980 01 24 26.322
1980 01 25 20.378
1980 01 26 21.060
1980 01 27 25.425
1980 01 28 26.658
1980 01 29 24.470
1980 01 30 27.208
1980 01 31 27.647
1980 02 01 24.314
1980 02 02 23.497
1980 02 03 25.333
1980 02 04 28.115
1980 02 05 26.175
1980 02 06 24.834
1980 02 07 24.927
1980 02 08 24.425
1980 02 09 25.312
1980 02 10 28.432
1980 02 11 20.540
1980 02 12 23.703
1980 02 13 25.072
1980 02 14 26.846
1980 02 15 27.462
1980 02 16 29.397
1980 02 17 25.899
1980 02 18 21.517
1980 02 19 21.921
1980 02 20 22.415
1980 02 21 21.383
1980 02 22 21.939
1980 02 23 25.239
1980 02 24 24.591
1980 02 25 21.994
1980 02 26 25.993
1980 02 27 26.256
1980 02 28 27.310
1980 02 29 28.579
1980 03 01 28.306
1980 03 02 26.639
1980 03 03 24.045
1980 03 04 22.464
1980 03 05 27.070
1980 03 06 26.103
1980 03 07 24.579
1980 03 08 24.519
1980 03 09 26.205
1980 03 10 28.339
1980 03 11 26.980
1980 03 12 24.368
1980 03 13 23.919
1980 03 14 22.843
1980 03 15 24.492
1980 03 16 25.724
1980 03 17 26.347
1980 03 18 26.012
1980 03 19 24.093
1980 03 20 28.859
1980 03 21 29.169
1980 03 22 30.025
1980 03 23 29.797
1980 03 24 29.464
1980 03 25 28.758
1980 03 26 25.363
1980 03 27 24.005
1980 03 28 23.408
1980 03 29 23.597
1980 03 30 20.064
1980 03 31 19.759
1980 04 01 21.039
1980 04 02 22.542
1980 04 03 22.824
1980 04 04 24.503
1980 04 05 24.287
1980 04 06 23.641
1980 04 07 23.130
1980 04 08 22.714
1980 04 09 23.486
1980 04 10 25.351
1980 04 11 26.530
1980 04 12 23.307
1980 04 13 15.011
1980 04 14 14.052
1980 04 15 11.654
1980 04 16 12.703
1980 04 17 16.625
1980 04 18 21.046
1980 04 19 21.649
1980 04 20 19.563
1980 04 21 23.126
1980 04 22 25.731
1980 04 23 25.634
1980 04 24 26.974
1980 04 25 26.700
1980 04 26 25.851
1980 04 27 24.055
1980 04 28 24.521
1980 04 29 24.895
1980 04 30 24.716
1980 05 01 16.698
1980 05 02 12.891
1980 05 03 12.548
1980 05 04 12.001
1980 05 05 13.431
1980 05 06 15.354
1980 05 07 16.145
1980 05 08 15.900
1980 05 09 18.455
1980 05 10 18.473
1980 05 11 21.315
1980 05 12 23.634
1980 05 13 24.640
1980 05 14 25.353
1980 05 15 24.436
1980 05 16 22.498
1980 05 17 16.863
1980 05 18 18.863
1980 05 19 19.599
1980 05 20 20.117
1980 05 21 21.392
1980 05 22 18.218
1980 05 23 16.345
1980 05 24 16.358
1980 05 25 17.510
1980 05 26 16.995
1980 05 27 19.618
1980 05 28 22.016
1980 05 29 19.513
1980 05 30 20.319
1980 05 31 21.449
1980 06 01 16.861
1980 06 02 9.814
1980 06 03 7.965
1980 06 04 5.116
1980 06 05 6.583
1980 06 06 12.712
1980 06 07 16.702
1980 06 08 20.401
1980 06 09 21.132
1980 06 10 22.400
1980 06 11 20.354
1980 06 12 17.080
1980 06 13 14.955
1980 06 14 10.373
1980 06 15 9.451
1980 06 16 11.833
1980 06 17 16.538
1980 06 18 19.695
1980 06 19 16.799
1980 06 20 11.503
1980 06 21 11.928
1980 06 22 13.850
1980 06 23 14.561
1980 06 24 15.639
1980 06 25 12.752
1980 06 26 8.839
1980 06 27 5.254
1980 06 28 8.086
1980 06 29 17.382
1980 06 30 20.559
1980 07 01 11.878
1980 07 02 5.671
1980 07 03 4.860
1980 07 04 9.014
1980 07 05 11.098
1980 07 06 15.756
