year month day temperature_max
1980 01 01 27.129
1980 01 02 24.733
1980 01 03 21.698
1980 01 04 27.380
1980 01 05 26.987
1980 01 06 26.987
1980 01 07 26.297
1980 01 08 27.553
1980 01 09 26.382
1980 01 10 28.285
1980 01 11 27.527
1980 01 12 25.056
1980 01 13 22.627
1980 01 14 21.389
1980 01 15 24.384
1980 01 16 24.097
1980 01 17 22.909
1980 01 18 26.376
1980 01 19 28.240
1980 01 20 29.288
1980 01 21 30.303
1980 01 22 30.029
1980 01 23 26.857
1980 01 24 29.640
1980 01 25 28.954
1980 01 26 29.009
1980 01 27 29.047
1980 01 28 28.853
1980 01 29 30.209
1980 01 30 27.599
1980 01 31 27.021
1980 02 01 28.584
1980 02 02 29.618
1980 02 03 28.726
1980 02 04 28.522
1980 02 05 28.390
1980 02 06 30.289
1980 02 07 30.786
1980 02 08 30.739
1980 02 09 30.116
1980 02 10 28.782
1980 02 11 28.860
1980 02 12 28.535
1980 02 13 30.240
1980 02 14 28.428
1980 02 15 28.302
1980 02 16 26.980
1980 02 17 24.378
1980 02 18 27.219
1980 02 19 23.245
1980 02 20 25.739
1980 02 21 27.246
1980 02 22 28.664
1980 02 23 28.732
1980 02 24 29.018
1980 02 25 28.814
1980 02 26 28.137
1980 02 27 29.229
1980 02 28 28.965
1980 02 29 28.309
1980 03 01 28.021
1980 03 02 27.755
1980 03 03 28.601
1980 03 04 28.713
1980 03 05 26.999
1980 03 06 26.976
1980 03 07 28.827
1980 03 08 29.156
1980 03 09 26.177
1980 03 10 29.123
1980 03 11 24.606
1980 03 12 28.880
1980 03 13 28.849
1980 03 14 28.605
1980 03 15 30.359
1980 03 16 28.890
1980 03 17 28.645
1980 03 18 28.074
1980 03 19 28.471
1980 03 20 27.946
1980 03 21 28.596
1980 03 22 29.746
1980 03 23 30.685
1980 03 24 30.017
1980 03 25 28.855
1980 03 26 29.073
1980 03 27 29.241
1980 03 28 29.899
1980 03 29 29.631
1980 03 30 31.232
1980 03 31 32.749
1980 04 01 28.595
1980 04 02 25.752
1980 04 03 25.569
1980 04 04 27.142
1980 04 05 26.064
1980 04 06 25.698
1980 04 07 26.267
1980 04 08 26.740
1980 04 09 26.044
1980 04 10 28.742
1980 04 11 27.667
1980 04 12 29.160
1980 04 13 29.831
1980 04 14 28.573
1980 04 15 28.213
1980 04 16 27.457
1980 04 17 26.249
1980 04 18 24.574
1980 04 19 25.939
1980 04 20 26.255
1980 04 21 25.290
1980 04 22 26.918
1980 04 23 27.572
1980 04 24 25.938
1980 04 25 25.279
1980 04 26 26.018
1980 04 27 24.933
1980 04 28 25.967
1980 04 29 25.317
1980 04 30 25.596
1980 05 01 25.998
1980 05 02 28.291
1980 05 03 28.596
1980 05 04 27.899
1980 05 05 26.082
1980 05 06 27.252
1980 05 07 27.183
1980 05 08 26.237
1980 05 09 25.724
1980 05 10 25.945
1980 05 11 25.270
1980 05 12 26.211
1980 05 13 25.679
1980 05 14 25.463
1980 05 15 25.395
1980 05 16 25.015
1980 05 17 26.936
1980 05 18 26.474
1980 05 19 25.187
1980 05 20 26.632
1980 05 21 26.624
1980 05 22 25.903
1980 05 23 26.212
1980 05 24 25.701
1980 05 25 23.907
1980 05 26 24.574
1980 05 27 24.423
1980 05 28 24.114
1980 05 29 24.741
1980 05 30 25.721
1980 05 31 25.998
1980 06 01 26.072
1980 06 02 26.096
1980 06 03 25.955
1980 06 04 25.519
1980 06 05 22.077
1980 06 06 22.364
1980 06 07 24.542
1980 06 08 25.542
1980 06 09 24.911
1980 06 10 24.741
1980 06 11 24.760
1980 06 12 26.132
1980 06 13 25.156
1980 06 14 26.241
1980 06 15 25.476
1980 06 16 24.128
1980 06 17 22.681
1980 06 18 21.840
1980 06 19 22.810
1980 06 20 23.536
1980 06 21 24.368
1980 06 22 21.636
1980 06 23 25.997
1980 06 24 22.021
1980 06 25 22.327
1980 06 26 23.680
1980 06 27 18.246
1980 06 28 23.715
1980 06 29 20.740
1980 06 30 23.018
1980 07 01 24.928
1980 07 02 25.854
1980 07 03 24.434
1980 07 04 23.681
1980 07 05 23.334
1980 07 06 22.784
1980 07 07 20.132
1980 07 08 22.738
1980 07 09 20.553
1980 07 10 26.667
1980 07 11 24.626
1980 07 12 24.903
1980 07 13 25.835
1980 07 14 25.185
1980 07 15 26.835
1980 07 16 26.144
1980 07 17 19.290
1980 07 18 23.478
1980 07 19 25.323
1980 07 20 24.507
1980 07 21 25.470
1980 07 22 28.299
1980 07 23 27.088
1980 07 24 26.212
1980 07 25 23.815
1980 07 26 23.673
1980 07 27 25.254
1980 07 28 26.029
1980 07 29 25.738
1980 07 30 25.553
1980 07 31 27.051
1980 08 01 25.438
1980 08 02 20.836
1980 08 03 21.499
1980 08 04 22.808
1980 08 05 23.451
1980 08 06 25.114
1980 08 07 27.139
1980 08 08 25.365
1980 08 09 25.963
1980 08 10 26.354
1980 08 11 26.164
1980 08 12 22.480
1980 08 13 22.630
1980 08 14 25.271
1980 08 15 24.048
1980 08 16 25.546
1980 08 17 28.892
1980 08 18 29.479
1980 08 19 27.072
1980 08 20 28.461
1980 08 21 27.036
1980 08 22 27.997
1980 08 23 29.639
1980 08 24 25.960
1980 08 25 28.454
1980 08 26 30.455
1980 08 27 21.316
1980 08 28 18.774
1980 08 29 18.780
1980 08 30 23.086
1980 08 31 26.164
1980 09 01 27.065
1980 09 02 28.080
1980 09 03 31.258
1980 09 04 30.586
1980 09 05 19.221
1980 09 06 20.602
1980 09 07 23.680
1980 09 08 26.302
1980 09 09 27.447
1980 09 10 27.176
1980 09 11 27.132
1980 09 12 23.822
1980 09 13 24.038
1980 09 14 24.737
1980 09 15 26.424
1980 09 16 29.097
1980 09 17 22.554
1980 09 18 19.799
1980 09 19 23.772
1980 09 20 28.963
1980 09 21 29.059
1980 09 22 26.455
1980 09 23 20.327
1980 09 24 20.136
1980 09 25 19.108
1980 09 26 18.907
1980 09 27 22.164
1980 09 28 21.060
1980 09 29 27.986
1980 09 30 26.130
1980 10 01 24.435
1980 10 02 24.990
1980 10 03 25.914
1980 10 04 26.453
1980 10 05 29.684
1980 10 06 25.838
1980 10 07 22.980
1980 10 08 25.022
1980 10 09 26.330
1980 10 10 30.091
1980 10 11 21.928
1980 10 12 20.283
1980 10 13 26.690
1980 10 14 24.916
1980 10 15 24.468
1980 10 16 23.618
1980 10 17 27.192
1980 10 18 28.339
1980 10 19 29.512
1980 10 20 29.137
1980 10 21 31.002
1980 10 22 32.696
1980 10 23 30.693
1980 10 24 28.097
1980 10 25 27.587
1980 10 26 30.139
1980 10 27 31.358
1980 10 28 33.428
1980 10 29 34.865
1980 10 30 34.492
1980 10 31 32.632
1980 11 01 21.388
1980 11 02 20.104
1980 11 03 24.631
1980 11 04 27.106
1980 11 05 27.100
1980 11 06 29.242
1980 11 07 30.782
1980 11 08 27.642
1980 11 09 25.222
1980 11 10 27.588
1980 11 11 28.243
1980 11 12 25.134
1980 11 13 21.196
1980 11 14 24.548
1980 11 15 26.261
1980 11 16 27.175
1980 11 17 26.989
1980 11 18 27.134
1980 11 19 27.107
1980 11 20 27.736
1980 11 21 29.369
1980 11 22 28.384
1980 11 23 24.974
1980 11 24 25.462
1980 11 25 26.728
1980 11 26 26.439
1980 11 27 27.319
1980 11 28 26.872
1980 11 29 25.251
1980 11 30 27.110
1980 12 01 23.822
1980 12 02 22.873
1980 12 03 25.678
1980 12 04 28.069
1980 12 05 27.132
1980 12 06 27.919
1980 12 07 27.358
1980 12 08 29.429
1980 12 09 26.591
1980 12 10 27.001
1980 12 11 31.241
1980 12 12 29.862
1980 12 13 27.534
1980 12 14 25.546
1980 12 15 28.767
1980 12 16 27.515
1980 12 17 28.066
1980 12 18 27.948
1980 12 19 28.325
1980 12 20 27.672
1980 12 21 28.995
1980 12 22 29.661
1980 12 23 29.353
1980 12 24 29.390
1980 12 25 28.802
1980 12 26 29.643
1980 12 27 29.369
1980 12 28 29.281
1980 12 29 27.940
1980 12 30 25.673
1980 12 31 23.741
1981 01 01 nan
1981 01 02 nan
1981 01 03 27.453
1981 01 04 30.455
1981 01 05 30.385
1981 01 06 28.552
1981 01 07 30.116
1981 01 08 29.791
1981 01 09 28.268
1981 01 10 23.125
1981 01 11 27.109
1981 01 12 23.195
1981 01 13 26.176
1981 01 14 28.085
1981 01 15 28.658
1981 01 16 29.605
1981 01 17 30.193
1981 01 18 29.127
1981 01 19 28.401
1981 01 20 27.931
1981 01 21 30.104
1981 01 22 27.245
1981 01 23 24.659
1981 01 24 26.316
1981 01 25 26.529
1981 01 26 25.626
1981 01 27 26.214
1981 01 28 27.151
1981 01 29 28.402
1981 01 30 29.143
1981 01 31 27.927
1981 02 01 29.910
1981 02 02 29.329
1981 02 03 30.115
1981 02 04 30.441
1981 02 05 31.115
1981 02 06 29.331
1981 02 07 28.042
1981 02 08 28.816
1981 02 09 30.616
1981 02 10 27.688
1981 02 11 28.003
1981 02 12 28.795
1981 02 13 29.047
1981 02 14 28.021
1981 02 15 27.901
1981 02 16 28.686
1981 02 17 27.814
1981 02 18 28.885
1981 02 19 29.521
1981 02 20 27.900
1981 02 21 28.359
1981 02 22 28.208
1981 02 23 26.647
1981 02 24 28.136
1981 02 25 27.227
1981 02 26 27.042
1981 02 27 29.486
1981 02 28 29.165
1981 03 01 30.567
1981 03 02 30.084
1981 03 03 31.138
1981 03 04 32.089
1981 03 05 29.744
1981 03 06 32.391
1981 03 07 28.820
1981 03 08 28.532
1981 03 09 27.173
1981 03 10 26.868
1981 03 11 30.242
1981 03 12 30.930
1981 03 13 30.124
1981 03 14 28.098
1981 03 15 31.080
1981 03 16 30.659
1981 03 17 30.550
1981 03 18 28.593
1981 03 19 26.399
1981 03 20 28.017
1981 03 21 26.241
1981 03 22 25.778
1981 03 23 26.885
1981 03 24 25.215
1981 03 25 25.872
1981 03 26 24.968
1981 03 27 23.868
1981 03 28 22.191
1981 03 29 25.453
1981 03 30 26.797
1981 03 31 29.529
1981 04 01 27.018
1981 04 02 27.006
1981 04 03 25.549
1981 04 04 27.977
1981 04 05 27.691
1981 04 06 26.690
1981 04 07 26.210
1981 04 08 26.076
1981 04 09 25.358
1981 04 10 23.764
1981 04 11 25.686
1981 04 12 26.108
1981 04 13 25.199
1981 04 14 25.403
1981 04 15 26.081
1981 04 16 24.196
1981 04 17 24.564
1981 04 18 21.994
1981 04 19 23.220
1981 04 20 24.534
1981 04 21 23.713
1981 04 22 24.140
1981 04 23 25.871
1981 04 24 26.346
1981 04 25 26.291
1981 04 26 25.750
1981 04 27 24.795
1981 04 28 25.828
1981 04 29 25.533
1981 04 30 24.090
1981 05 01 24.402
1981 05 02 23.631
1981 05 03 24.484
1981 05 04 26.560
1981 05 05 27.341
1981 05 06 26.378
1981 05 07 24.963
1981 05 08 25.369
1981 05 09 24.715
1981 05 10 24.989
1981 05 11 26.705
1981 05 12 26.780
1981 05 13 26.924
1981 05 14 25.421
1981 05 15 27.965
1981 05 16 27.260
1981 05 17 25.912
1981 05 18 22.744
1981 05 19 22.918
1981 05 20 24.631
1981 05 21 24.581
1981 05 22 24.288
1981 05 23 23.081
1981 05 24 21.192
1981 05 25 19.983
1981 05 26 24.502
1981 05 27 24.667
1981 05 28 24.809
1981 05 29 20.466
1981 05 30 22.981
1981 05 31 22.705
1981 06 01 23.933
1981 06 02 23.362
1981 06 03 24.778
1981 06 04 23.024
1981 06 05 21.816
1981 06 06 20.596
1981 06 07 19.436
1981 06 08 21.518
1981 06 09 22.799
1981 06 10 22.909
1981 06 11 24.125
1981 06 12 24.844
1981 06 13 21.877
1981 06 14 25.165
1981 06 15 24.602
1981 06 16 22.851
1981 06 17 25.765
1981 06 18 25.169
1981 06 19 25.516
1981 06 20 22.536
1981 06 21 24.338
1981 06 22 24.104
1981 06 23 22.414
1981 06 24 22.985
1981 06 25 21.682
1981 06 26 22.796
1981 06 27 22.952
1981 06 28 24.140
1981 06 29 25.412
1981 06 30 25.438
1981 07 01 26.674
1981 07 02 26.687
1981 07 03 22.886
1981 07 04 19.746
1981 07 05 18.875
1981 07 06 18.754
1981 07 07 19.224
1981 07 08 19.552
1981 07 09 20.594
1981 07 10 24.336
1981 07 11 23.431
1981 07 12 24.881
1981 07 13 25.808
1981 07 14 24.654
1981 07 15 24.757
1981 07 16 23.941
1981 07 17 24.700
1981 07 18 25.321
1981 07 19 23.901
1981 07 20 23.774
1981 07 21 25.119
1981 07 22 25.281
1981 07 23 22.989
1981 07 24 21.328
1981 07 25 22.202
1981 07 26 25.700
1981 07 27 24.828
1981 07 28 24.027
1981 07 29 22.925
1981 07 30 23.142
1981 07 31 22.312
1981 08 01 23.381
1981 08 02 24.621
1981 08 03 23.031
1981 08 04 25.561
1981 08 05 24.612
1981 08 06 23.381
1981 08 07 23.562
1981 08 08 25.903
1981 08 09 25.500
1981 08 10 24.522
1981 08 11 21.829
1981 08 12 24.508
1981 08 13 26.512
1981 08 14 26.865
1981 08 15 23.524
1981 08 16 23.876
1981 08 17 25.815
1981 08 18 21.957
1981 08 19 23.823
1981 08 20 21.522
1981 08 21 21.934
1981 08 22 21.964
1981 08 23 22.422
1981 08 24 22.569
1981 08 25 25.846
1981 08 26 26.830
1981 08 27 29.188
1981 08 28 28.669
1981 08 29 27.763
1981 08 30 28.291
1981 08 31 29.262
1981 09 01 20.940
1981 09 02 23.303
1981 09 03 23.414
1981 09 04 27.242
1981 09 05 24.041
1981 09 06 20.291
1981 09 07 24.854
1981 09 08 23.617
1981 09 09 26.563
1981 09 10 27.412
1981 09 11 29.074
1981 09 12 28.084
1981 09 13 30.762
1981 09 14 29.226
1981 09 15 26.881
1981 09 16 25.164
1981 09 17 22.261
1981 09 18 25.766
1981 09 19 28.204
1981 09 20 28.846
1981 09 21 28.246
1981 09 22 24.433
1981 09 23 27.035
1981 09 24 28.239
1981 09 25 23.308
1981 09 26 25.263
1981 09 27 26.395
1981 09 28 29.835
1981 09 29 31.752
1981 09 30 25.092
1981 10 01 20.706
1981 10 02 19.895
1981 10 03 21.938
1981 10 04 24.956
1981 10 05 26.201
1981 10 06 31.601
1981 10 07 26.515
1981 10 08 29.222
1981 10 09 21.613
1981 10 10 19.297
1981 10 11 19.073
1981 10 12 20.148
1981 10 13 25.915
1981 10 14 24.463
1981 10 15 21.723
1981 10 16 25.478
1981 10 17 28.252
1981 10 18 22.100
1981 10 19 19.492
1981 10 20 21.792
1981 10 21 27.255
1981 10 22 23.948
1981 10 23 24.548
1981 10 24 24.114
1981 10 25 28.840
1981 10 26 29.228
1981 10 27 26.196
1981 10 28 21.740
1981 10 29 19.620
1981 10 30 21.548
1981 10 31 21.828
1981 11 01 20.361
1981 11 02 20.506
1981 11 03 23.998
1981 11 04 25.783
1981 11 05 28.452
1981 11 06 28.879
1981 11 07 29.930
1981 11 08 29.416
1981 11 09 29.319
1981 11 10 24.274
1981 11 11 22.084
1981 11 12 21.961
1981 11 13 23.690
1981 11 14 22.587
1981 11 15 27.431
1981 11 16 29.104
1981 11 17 28.069
1981 11 18 28.314
1981 11 19 27.682
