gauge_id geol_class_1st geol_class_1st_perc geol_class_2nd geol_class_2nd_perc carb_rocks_perc geol_porosity geol_permeability
10500000 siliciclastic_sedimentary_rocks 54.97000 mixed_sedimentary_rocks 31.01000 0.04000 0.19420 -11.98900
11400000 mixed_sedimentary_rocks 34.16000 unconsolidated_sediments 25.08000 7.52000 0.16530 -13.19260
11500000 mixed_sedimentary_rocks 35.08000 unconsolidated_sediments 24.74000 6.74000 0.16810 -13.26740
12370000 mixed_sedimentary_rocks 55.68000 siliciclastic_sedimentary_rocks 41.40000 0.00000 0.19090 -13.16590
12500000 siliciclastic_sedimentary_rocks 59.75000 mixed_sedimentary_rocks 26.77000 0.04000 0.19400 -11.87580
12520000 siliciclastic_sedimentary_rocks 60.87000 unconsolidated_sediments 20.77000 0.03000 0.19620 -11.49410
12700000 siliciclastic_sedimentary_rocks 71.17000 unconsolidated_sediments 19.92000 0.01000 0.19600 -10.99120
13150000 unconsolidated_sediments 34.17000 siliciclastic_sedimentary_rocks 27.19000 5.03000 0.17880 -12.82010
13470000 siliciclastic_sedimentary_rocks 64.60000 mixed_sedimentary_rocks 35.38000 0.00000 0.21100 -12.18970
13600002 siliciclastic_sedimentary_rocks 81.49000 mixed_sedimentary_rocks 10.90000 0.00000 0.19890 -11.03640
13710001 siliciclastic_sedimentary_rocks 68.73000 unconsolidated_sediments 17.66000 0.00000 0.19680 -11.16200
13750000 siliciclastic_sedimentary_rocks 72.75000 unconsolidated_sediments 17.93000 0.00000 0.19640 -10.97860
13870000 siliciclastic_sedimentary_rocks 61.30000 unconsolidated_sediments 27.28000 0.00000 0.19070 -11.09040
13880000 siliciclastic_sedimentary_rocks 58.86000 unconsolidated_sediments 30.13000 0.00000 0.19190 -11.09280
14100000 unconsolidated_sediments 38.97000 siliciclastic_sedimentary_rocks 28.42000 4.07000 0.18350 -12.50230
14110000 acid_plutonic_rocks 51.90000 metamorphics 24.38000 0.00000 0.05540 -13.72940
14230000 metamorphics 40.76000 acid_plutonic_rocks 30.92000 0.00000 0.06940 -12.91050
14250000 acid_plutonic_rocks 44.23000 metamorphics 28.73000 0.00000 0.06410 -13.36870
14260000 siliciclastic_sedimentary_rocks 54.15000 metamorphics 25.24000 5.89000 0.12870 -13.90880
14280001 siliciclastic_sedimentary_rocks 49.04000 metamorphics 22.88000 5.34000 0.13290 -13.71830
14310000 acid_plutonic_rocks 73.44000 metamorphics 16.33000 0.00000 0.02960 -13.03490
14330000 acid_plutonic_rocks 33.64000 metamorphics 26.18000 1.21000 0.08710 -13.31320
14350000 unconsolidated_sediments 87.53000 metamorphics 8.05000 0.00000 0.19380 -11.63300
14440000 acid_plutonic_rocks 67.30000 metamorphics 25.44000 0.00000 0.02300 -13.14260
14515000 metamorphics 46.21000 acid_plutonic_rocks 26.22000 0.00000 0.04220 -13.65650
14526000 metamorphics 88.88000 siliciclastic_sedimentary_rocks 6.28000 0.00000 0.02500 -13.36070
14680001 metamorphics 88.88000 acid_plutonic_rocks 7.60000 0.00000 0.01010 -14.03490
15030000 unconsolidated_sediments 39.46000 siliciclastic_sedimentary_rocks 23.93000 3.14000 0.16860 -12.52550
15130000 unconsolidated_sediments 40.21000 acid_plutonic_rocks 21.43000 0.00000 0.14220 -12.90240
15400000 mixed_sedimentary_rocks 60.47000 acid_plutonic_rocks 13.22000 0.29000 0.16610 -12.29690
15550000 metamorphics 63.29000 unconsolidated_sediments 19.57000 0.00000 0.06030 -13.10450
15700000 mixed_sedimentary_rocks 51.97000 unconsolidated_sediments 14.80000 0.25000 0.16200 -12.36130
15800000 acid_plutonic_rocks 46.13000 siliciclastic_sedimentary_rocks 17.28000 0.00000 0.08210 -13.08340
15910000 siliciclastic_sedimentary_rocks 81.16000 intermediate_volcanic_rocks 10.43000 0.00000 0.20620 -13.49940
15930000 intermediate_volcanic_rocks 69.42000 siliciclastic_sedimentary_rocks 28.77000 0.00000 0.13730 -12.95430
17050001 unconsolidated_sediments 30.87000 mixed_sedimentary_rocks 22.66000 2.01000 0.16430 -12.52340
17090000 acid_plutonic_rocks 83.44000 siliciclastic_sedimentary_rocks 8.12000 0.00000 0.03280 -13.15660
17200000 siliciclastic_sedimentary_rocks 92.96000 unconsolidated_sediments 5.49000 1.55000 0.20790 -14.38250
17345000 siliciclastic_sedimentary_rocks 100.00000 nan 0.00000 0.00000 0.19000 -15.20000
17350000 intermediate_volcanic_rocks 70.45000 siliciclastic_sedimentary_rocks 29.43000 0.00000 0.11940 -13.30150
18200000 acid_plutonic_rocks 78.46000 siliciclastic_sedimentary_rocks 19.90000 0.00000 0.04820 -13.71310
18850000 metamorphics 28.23000 unconsolidated_sediments 27.48000 0.00000 0.11110 -12.93550
19150000 acid_plutonic_rocks 54.93000 metamorphics 37.67000 0.00000 0.01660 -13.14490
20200000 acid_plutonic_rocks 46.61000 metamorphics 39.77000 0.00000 0.02790 -12.99300
20250000 metamorphics 50.23000 acid_plutonic_rocks 37.41000 0.00000 0.02070 -13.23840
21500000 unconsolidated_sediments 37.84000 carbonate_sedimentary_rocks 18.63000 18.63000 0.16090 -12.92440
21750000 mixed_sedimentary_rocks 30.48000 siliciclastic_sedimentary_rocks 27.35000 11.28000 0.14180 -13.16890
22050001 metamorphics 46.80000 unconsolidated_sediments 14.44000 6.64000 0.07070 -13.47210
22500000 metamorphics 50.08000 unconsolidated_sediments 14.05000 5.27000 0.06840 -13.36570
22680000 siliciclastic_sedimentary_rocks 83.14000 mixed_sedimentary_rocks 16.78000 0.00000 0.19260 -11.63150
22700000 siliciclastic_sedimentary_rocks 84.02000 mixed_sedimentary_rocks 15.91000 0.00000 0.19250 -11.85340
22850000 siliciclastic_sedimentary_rocks 58.38000 mixed_sedimentary_rocks 41.16000 0.00000 0.19110 -14.99430
22900000 siliciclastic_sedimentary_rocks 77.53000 mixed_sedimentary_rocks 18.47000 0.03000 0.18740 -13.27830
23100000 metamorphics 38.91000 siliciclastic_sedimentary_rocks 23.31000 4.03000 0.09620 -13.41220
23150000 siliciclastic_sedimentary_rocks 81.78000 unconsolidated_sediments 10.80000 0.00000 0.19320 -14.69850
23220000 mixed_sedimentary_rocks 100.00000 nan 0.00000 0.00000 0.19000 -13.00000
23230000 mixed_sedimentary_rocks 61.73000 siliciclastic_sedimentary_rocks 36.77000 0.00000 0.19050 -14.51780
23250000 mixed_sedimentary_rocks 81.54000 siliciclastic_sedimentary_rocks 16.23000 0.00000 0.19070 -13.76510
23300000 metamorphics 34.54000 siliciclastic_sedimentary_rocks 24.02000 3.56000 0.10740 -13.50800
23600000 metamorphics 32.81000 siliciclastic_sedimentary_rocks 25.02000 3.38000 0.11090 -13.46950
23700000 metamorphics 31.97000 siliciclastic_sedimentary_rocks 25.96000 3.30000 0.11230 -13.48070
23710000 metamorphics 31.96000 siliciclastic_sedimentary_rocks 25.97000 3.30000 0.11230 -13.48060
24050000 siliciclastic_sedimentary_rocks 85.06000 unconsolidated_sediments 12.39000 0.00000 0.25620 -12.69830
24200000 siliciclastic_sedimentary_rocks 90.21000 unconsolidated_sediments 5.03000 0.76000 0.20100 -12.97400
24500000 siliciclastic_sedimentary_rocks 87.65000 unconsolidated_sediments 9.72000 0.00000 0.19310 -14.58870
24700000 siliciclastic_sedimentary_rocks 90.31000 unconsolidated_sediments 5.25000 0.38000 0.19550 -13.82970
24750000 siliciclastic_sedimentary_rocks 76.95000 metamorphics 11.28000 0.10000 0.16000 -12.97510
24780000 siliciclastic_sedimentary_rocks 80.11000 metamorphics 11.37000 0.00000 0.16020 -13.00000
24800000 siliciclastic_sedimentary_rocks 55.09000 metamorphics 24.64000 0.05000 0.13050 -12.94050
24850000 siliciclastic_sedimentary_rocks 80.87000 unconsolidated_sediments 7.04000 0.29000 0.17940 -13.57300
24900000 siliciclastic_sedimentary_rocks 76.86000 metamorphics 18.56000 0.00000 0.15540 -12.99000
24950000 metamorphics 51.41000 siliciclastic_sedimentary_rocks 30.12000 0.00000 0.07620 -12.98020
25100000 metamorphics 51.74000 acid_plutonic_rocks 48.26000 0.00000 0.01000 -13.00000
25130000 acid_plutonic_rocks 67.32000 metamorphics 31.60000 0.00000 0.01180 -12.98700
25200000 siliciclastic_sedimentary_rocks 59.99000 unconsolidated_sediments 14.75000 0.19000 0.15540 -13.09950
25700000 siliciclastic_sedimentary_rocks 50.24000 unconsolidated_sediments 20.75000 0.16000 0.14960 -12.86970
25950000 siliciclastic_sedimentary_rocks 39.89000 metamorphics 22.14000 0.15000 0.13200 -12.85010
26040000 unconsolidated_sediments 90.22000 siliciclastic_sedimentary_rocks 9.78000 0.00000 0.21710 -13.21610
26050000 unconsolidated_sediments 57.39000 siliciclastic_sedimentary_rocks 42.53000 0.00000 0.20710 -13.93470
26100000 siliciclastic_sedimentary_rocks 56.56000 unconsolidated_sediments 41.46000 0.00000 0.19890 -14.12530
26200000 unconsolidated_sediments 47.59000 siliciclastic_sedimentary_rocks 43.74000 0.01000 0.18870 -13.18260
26300000 unconsolidated_sediments 51.74000 siliciclastic_sedimentary_rocks 40.83000 0.01000 0.19280 -12.74200
26350000 unconsolidated_sediments 37.71000 siliciclastic_sedimentary_rocks 36.40000 0.11000 0.15790 -12.60950
26720000 metamorphics 83.74000 siliciclastic_sedimentary_rocks 6.67000 0.00000 0.03190 -12.88400
27500000 unconsolidated_sediments 39.72000 metamorphics 26.96000 0.07000 0.14060 -12.47550
27550000 siliciclastic_sedimentary_rocks 64.65000 metamorphics 23.59000 0.00000 0.19280 -13.22280
28150000 siliciclastic_sedimentary_rocks 52.49000 metamorphics 39.68000 0.00000 0.15770 -13.12450
28300000 unconsolidated_sediments 36.50000 metamorphics 28.90000 0.06000 0.13340 -12.62080
28850000 unconsolidated_sediments 35.55000 metamorphics 28.57000 0.06000 0.13440 -12.66200
29050000 metamorphics 29.61000 siliciclastic_sedimentary_rocks 25.84000 1.44000 0.12600 -13.02900
