gauge_id crop_perc crop_mosaic_perc forest_perc shrub_perc grass_perc barren_perc imperv_perc wet_perc snow_perc dom_land_cover dom_land_cover_perc
10500000 0.00000 1.23610 97.14650 0.13790 0.04030 0.00000 0.00000 1.43930 0.00000 forest 97.14650
11400000 1.12480 4.67340 73.63130 8.25590 5.37820 0.41320 0.01230 6.36600 0.14500 forest 73.63130
11500000 1.02600 4.56920 75.03090 7.39970 4.80180 0.37130 0.01100 6.65060 0.13950 forest 75.03090
12370000 0.00000 0.39870 98.87630 0.13160 0.00000 0.00000 0.00000 0.59350 0.00000 forest 98.87630
12500000 0.00000 0.56130 98.66610 0.13470 0.00400 0.00000 0.00000 0.63400 0.00000 forest 98.66610
12520000 0.00000 0.95630 98.20280 0.13890 0.02300 0.00000 0.00000 0.67890 0.00000 forest 98.20280
12700000 0.00050 1.22590 96.67340 0.59610 0.12280 0.00000 0.00000 1.38140 0.00000 forest 96.67340
13150000 0.67790 3.81540 80.11900 4.98810 3.15570 0.24250 0.00700 6.90340 0.09090 forest 80.11900
13470000 0.00000 0.72180 98.17540 0.76960 0.01680 0.00000 0.00000 0.31630 0.00000 forest 98.17540
13600002 0.00000 1.94320 95.84600 1.87200 0.02540 0.00000 0.00480 0.30860 0.00000 forest 95.84600
13710001 0.00100 1.13950 96.90320 1.34570 0.07270 0.00000 0.00110 0.53670 0.00000 forest 96.90320
13750000 0.00070 0.91440 96.59150 1.11760 0.57680 0.00000 0.00070 0.79830 0.00000 forest 96.59150
13870000 0.00090 1.06170 95.51910 1.43050 0.52480 0.00000 0.00050 1.46240 0.00000 forest 95.51910
13880000 0.00090 1.02820 95.19550 1.42440 0.50530 0.00000 0.00050 1.84530 0.00000 forest 95.19550
14100000 0.54990 3.23270 82.28660 4.23190 2.62130 0.19650 0.00580 6.80170 0.07370 forest 82.28660
14110000 0.00170 1.55420 90.40030 0.64710 0.03260 0.00370 0.00000 7.36000 0.00040 forest 90.40030
14230000 0.00000 1.58040 93.59360 1.21160 0.07230 0.00000 0.00000 3.54220 0.00000 forest 93.59360
14250000 0.00100 1.69170 91.65480 0.72970 0.04210 0.00220 0.00000 5.87830 0.00020 forest 91.65480
14260000 0.00840 1.93320 93.56040 0.38720 0.08410 0.00000 0.00000 4.02680 0.00000 forest 93.56040
14280001 0.00760 1.79310 93.62950 0.42030 0.07900 0.00000 0.00000 4.07050 0.00000 forest 93.62950
14310000 0.00000 1.50920 97.36730 0.39810 0.00630 0.00000 0.00000 0.71920 0.00000 forest 97.36730
14330000 0.00240 1.61700 92.40990 0.66220 0.04830 0.00140 0.00000 5.25870 0.00010 forest 92.40990
14350000 0.00000 0.43410 94.81900 2.58270 0.03670 0.00000 0.00000 2.12740 0.00000 forest 94.81900
14440000 0.00000 0.15290 98.99010 0.01180 0.00160 0.00000 0.00000 0.84380 0.00000 forest 98.99010
14515000 0.00000 3.97950 81.39180 12.43710 0.83860 0.00000 0.00000 1.35300 0.00000 forest 81.39180
14526000 0.00000 3.37470 47.29220 46.18560 1.45560 0.00000 0.00000 1.69210 0.00000 forest 47.29220
14680001 0.00000 1.09920 97.56140 0.08590 0.00910 0.00000 0.00000 1.24440 0.00000 forest 97.56140
15030000 0.41340 2.78740 83.03990 4.40780 2.09440 0.14790 0.01100 7.04300 0.05540 forest 83.03990
15130000 6.29800 26.27720 58.38410 6.63830 0.07240 0.00680 0.00000 2.32330 0.00000 forest 58.38410
15400000 2.30360 9.64780 70.68440 7.32310 3.02370 0.22160 0.03980 6.69400 0.06200 forest 70.68440
15550000 0.63540 27.38560 71.17760 0.59290 0.13190 0.00000 0.00000 0.07650 0.00000 forest 71.17760
15700000 1.98500 11.03030 71.67710 6.37780 2.59550 0.19280 0.03570 6.05300 0.05290 forest 71.67710
15800000 0.00000 5.65790 93.88220 0.11230 0.00110 0.00000 0.00000 0.34650 0.00000 forest 93.88220
15910000 0.00000 0.03260 99.85810 0.01040 0.00000 0.00000 0.00000 0.09880 0.00000 forest 99.85810
15930000 0.00000 1.36140 98.41860 0.00560 0.00000 0.00000 0.00000 0.21440 0.00000 forest 98.41860
17050001 0.75280 4.70380 81.25710 4.47590 1.98550 0.14130 0.01580 6.62020 0.04760 forest 81.25710
17090000 0.00000 0.32810 98.61840 0.08050 0.13830 0.00000 0.00000 0.83460 0.00000 forest 98.61840
17200000 6.35990 34.65570 25.00600 31.14940 0.01100 0.02630 0.00000 2.79180 0.00000 crop_mosaic 34.65570
17345000 0.00000 2.66310 87.80680 5.93490 0.32340 0.00000 0.00000 3.27180 0.00000 forest 87.80680
17350000 0.00000 8.42360 84.90240 2.67520 0.00930 0.00000 0.00000 3.98960 0.00000 forest 84.90240
18200000 0.00000 0.70140 98.57270 0.32010 0.16580 0.00000 0.00000 0.23990 0.00000 forest 98.57270
18850000 1.16870 8.89360 83.89480 3.59960 0.05160 0.00130 0.00000 2.39040 0.00000 forest 83.89480
19150000 0.00330 0.63860 93.40550 4.20480 0.13090 0.00000 0.00000 1.61680 0.00000 forest 93.40550
20200000 49.62970 23.60810 24.70760 2.03720 0.00000 0.00000 0.00000 0.01750 0.00000 crop 49.62970
20250000 46.68270 21.77730 29.12230 2.41090 0.00000 0.00000 0.00000 0.00690 0.00000 crop 46.68270
21500000 9.28210 40.13920 30.57740 19.81210 0.03140 0.07830 0.00000 0.07950 0.00000 crop_mosaic 40.13920
21750000 7.98450 33.88060 23.83320 34.08680 0.01720 0.19770 0.00000 0.00000 0.00000 shrub 34.08680
22050001 13.70400 30.87620 35.57040 18.82960 0.05420 0.03630 0.00240 0.92690 0.00000 forest 35.57040
22500000 11.12960 32.68650 36.36050 18.89800 0.14150 0.02720 0.00250 0.75430 0.00000 forest 36.36050
22680000 13.72370 27.18330 16.17160 42.72560 0.02980 0.16440 0.00000 0.00170 0.00000 shrub 42.72560
22700000 13.01840 26.63950 17.12570 43.03270 0.02790 0.15420 0.00000 0.00160 0.00000 shrub 43.03270
22850000 1.29540 25.77690 20.25470 52.63910 0.00800 0.02590 0.00000 0.00000 0.00000 shrub 52.63910
22900000 7.66640 25.52810 27.83720 38.84750 0.01340 0.09100 0.00000 0.01660 0.00000 shrub 38.84750
23100000 10.26350 31.17830 35.14880 22.64060 0.11270 0.03730 0.00190 0.61690 0.00000 forest 35.14880
23150000 1.54980 14.45490 35.56310 48.42880 0.00000 0.00330 0.00000 0.00000 0.00000 shrub 48.42880
