gauge_id q_quality_control_perc q_stream_stage_perc
10500000 98.631 98.631
11400000 97.536 97.536
11500000 96.728 96.728
12370000 97.782 89.062
12500000 97.372 97.372
12520000 98.275 98.275
12700000 95.565 95.565
13150000 98.439 98.439
13470000 77.290 57.289
13600002 95.866 95.866
13710001 97.714 97.714
13750000 99.220 99.220
13870000 99.726 99.726
13880000 100.000 100.000
14100000 89.268 98.398
14110000 84.997 74.073
14230000 80.000 81.533
14250000 89.993 91.239
14260000 79.589 72.676
14280001 89.993 90.007
14310000 82.519 71.691
14330000 89.993 91.677
14350000 89.993 92.019
14440000 80.000 79.247
14515000 86.324 89.678
14526000 83.628 82.916
14680001 87.926 89.186
15030000 89.993 94.469
15130000 82.697 84.942
15400000 89.993 96.058
15550000 77.043 80.671
15700000 88.597 95.086
15800000 84.709 61.533
15910000 84.216 61.944
15930000 84.750 62.669
17050001 89.993 98.795
17090000 88.200 95.113
17200000 96.578 79.425
17345000 99.589 93.566
17350000 100.000 97.769
18200000 88.090 97.632
18850000 83.888 92.060
19150000 89.446 97.810
20200000 100.000 99.891
20250000 100.000 95.715
21500000 95.154 82.382
21750000 98.741 96.140
22050001 100.000 92.936
22500000 100.000 79.206
22680000 100.000 90.294
22700000 100.000 92.320
22850000 100.000 63.217
22900000 100.000 96.236
23100000 100.000 88.446
23150000 100.000 92.882
23220000 100.000 97.276
23230000 100.000 97.207
23250000 100.000 77.249
23300000 98.330 96.578
23600000 100.000 93.963
23700000 100.000 95.715
23710000 100.000 86.311
24050000 98.741 96.632
24200000 100.000 73.114
24500000 100.000 77.865
24700000 100.000 76.263
24750000 100.000 88.734
24780000 100.000 94.346
24800000 100.000 89.993
24850000 100.000 64.969
24900000 100.000 84.449
24950000 100.000 90.048
25100000 100.000 86.010
25130000 100.000 97.057
25200000 100.000 76.892
25700000 100.000 76.372
25950000 100.000 82.026
26040000 100.000 79.316
26050000 100.000 78.166
26100000 100.000 92.361
26200000 100.000 92.964
26300000 100.000 81.547
26350000 99.411 93.470
26720000 99.589 94.634
27500000 100.000 86.311
27550000 100.000 97.125
28150000 100.000 94.921
28300000 100.000 89.966
28850000 100.000 88.939
29050000 100.000 89.582
29100000 95.975 78.700
29700000 97.180 94.976
30080000 78.152 93.867
30400000 83.573 95.373
31490000 100.000 96.632
31520000 100.000 98.015
31600000 80.000 94.456
31680000 100.000 85.955
31700000 100.000 95.674
32400000 80.000 91.472
32550000 100.000 96.441
32620000 100.000 94.223
32830000 99.261 96.783
33025000 95.387 78.905
33170000 98.111 93.812
33190000 100.000 94.647
33205000 100.000 92.183
33215000 100.000 98.549
33250000 100.000 91.964
